,nLayers,nPerLayer,weightPow,history,avg_err,QSO_err,GAL_err,STAR_err
0,1,8,0,"{'loss': [0.38708528876304626, 0.3615683615207672, 0.34656190872192383, 0.3386508822441101, 0.33552733063697815, 0.333967000246048, 0.3330293893814087, 0.33221814036369324, 0.33150023221969604, 0.33092689514160156], 'val_loss': [0.3673854172229767, 0.3569582998752594, 0.34254369139671326, 0.3408415913581848, 0.3362407684326172, 0.3361484110355377, 0.33325204253196716, 0.3344273567199707, 0.332468181848526, 0.3308362662792206]}",0.3277565311349666,0.7203390952733907,0.0831829834817921,0.18141322452262731
1,1,8,1,"{'loss': [0.31874334812164307, 0.25746309757232666, 0.24581125378608704, 0.23412299156188965, 0.22987313568592072, 0.22789065539836884, 0.2263907939195633, 0.22503867745399475, 0.22397059202194214, 0.22307169437408447], 'val_loss': [0.8312249779701233, 0.8622121214866638, 0.912517249584198, 0.902732789516449, 0.8902735710144043, 0.880852997303009, 0.8584356307983398, 0.8780936598777771, 0.8381422758102417, 0.8428817987442017]}",0.8412127483843092,0.41472295314550006,0.2268608361686107,1.8835007419769683
2,1,8,2,"{'loss': [0.6335121989250183, 0.5066376328468323, 0.4872952103614807, 0.4750041663646698, 0.46738728880882263, 0.4627428650856018, 0.460920125246048, 0.4594214856624603, 0.4571991264820099, 0.4553010165691376], 'val_loss': [1.4734736680984497, 1.4295614957809448, 1.3129998445510864, 1.3195343017578125, 1.3333561420440674, 1.311113715171814, 1.2759132385253906, 1.2673671245574951, 1.2843080759048462, 1.2705512046813965]}",1.2671517469184999,0.49217521255413,0.7030691723480204,2.6051697417020088
3,1,16,0,"{'loss': [0.38014280796051025, 0.3568200170993805, 0.34152644872665405, 0.32969993352890015, 0.32440558075904846, 0.32168644666671753, 0.31982704997062683, 0.3184877038002014, 0.3168666362762451, 0.3154243528842926], 'val_loss': [0.3658427596092224, 0.34776169061660767, 0.33737656474113464, 0.3256046175956726, 0.3230142295360565, 0.3225398361682892, 0.31997963786125183, 0.3231326639652252, 0.31694889068603516, 0.31615424156188965]}",0.31504768801164773,0.6600216471913526,0.08374235213145663,0.20443466285176773
4,1,16,1,"{'loss': [0.282227486371994, 0.2517499625682831, 0.2426128089427948, 0.23581719398498535, 0.2321612387895584, 0.22859399020671844, 0.22583283483982086, 0.22325323522090912, 0.22091162204742432, 0.2184447944164276], 'val_loss': [0.8891385793685913, 0.8717522025108337, 0.922342836856842, 0.8609856963157654, 0.8795176148414612, 0.8786638975143433, 0.8837074637413025, 0.9049480557441711, 0.8866835832595825, 0.8760727643966675]}",0.8717321603627687,0.42261260765503295,0.1794854350956216,2.009887229593866
5,1,16,2,"{'loss': [0.6114173531532288, 0.49884718656539917, 0.4797913730144501, 0.4705028235912323, 0.4653719365596771, 0.4624241590499878, 0.4596211314201355, 0.45753172039985657, 0.45506367087364197, 0.45405733585357666], 'val_loss': [1.3219331502914429, 1.3142366409301758, 1.301875114440918, 1.2845739126205444, 1.266799807548523, 1.2313272953033447, 1.3681570291519165, 1.2137622833251953, 1.2588143348693848, 1.2537144422531128]}",1.2530343508385993,0.4783791343958565,0.6939386013691023,2.5858261941690914
6,1,32,0,"{'loss': [0.3710903823375702, 0.3449401557445526, 0.3303828537464142, 0.3227749466896057, 0.3175268769264221, 0.3139946162700653, 0.31231188774108887, 0.3107738792896271, 0.3098472058773041, 0.3085513412952423], 'val_loss': [0.3544972240924835, 0.33782047033309937, 0.3245738744735718, 0.3189655542373657, 0.31709450483322144, 0.3114216923713684, 0.30712658166885376, 0.30892863869667053, 0.3104717433452606, 0.30711445212364197]}",0.3096751716605358,0.6358660420379538,0.07899229096022238,0.21466987967401258
7,1,32,1,"{'loss': [0.2778613567352295, 0.2475266009569168, 0.23770414292812347, 0.22851808369159698, 0.21953845024108887, 0.2148762047290802, 0.21217326819896698, 0.20948132872581482, 0.2073170244693756, 0.20584750175476074], 'val_loss': [0.888616681098938, 0.8601027727127075, 0.8859490752220154, 0.8823204636573792, 0.90688556432724, 0.9127979278564453, 0.9115806221961975, 0.938076376914978, 0.9025916457176208, 0.9067472815513611]}",0.9130154539602489,0.3932923203686372,0.18257890293740503,2.1625947659797893
8,1,32,2,"{'loss': [0.5788153409957886, 0.4902890622615814, 0.4699723422527313, 0.45942389965057373, 0.4520711302757263, 0.4462489187717438, 0.44178634881973267, 0.43777212500572205, 0.43603163957595825, 0.43385109305381775], 'val_loss': [1.3607600927352905, 1.2632660865783691, 1.2455801963806152, 1.2755523920059204, 1.3337955474853516, 1.2927567958831787, 1.276667833328247, 1.2069364786148071, 1.3029148578643799, 1.287587285041809]}",1.2924273898783605,0.45475735019556474,0.558884338992756,2.8665866305376984
9,1,64,0,"{'loss': [0.3636084198951721, 0.3269564211368561, 0.31106144189834595, 0.30560076236724854, 0.3022591173648834, 0.29971519112586975, 0.29663562774658203, 0.29422682523727417, 0.29253196716308594, 0.2914036810398102], 'val_loss': [0.3386050760746002, 0.3171166479587555, 0.3070201277732849, 0.3094000816345215, 0.3085785210132599, 0.2949748933315277, 0.2990707755088806, 0.2909994423389435, 0.2907898426055908, 0.28655654191970825]}",0.2847333447825843,0.5826634545803715,0.07161203448270999,0.20159873871158399
