Wavelength,Flux,BestFit,SkyFlux
4617.428,75.972,74.572,8.343
4618.490,76.535,74.856,8.208
4619.552,75.701,74.276,7.618
4620.618,72.528,73.022,7.442
4621.681,71.730,71.459,7.537
4622.746,69.710,69.351,7.778
4623.810,64.865,67.532,8.226
4624.876,64.309,66.356,8.206
4625.940,67.237,65.371,7.913
4627.004,66.728,65.203,8.206
4628.071,65.916,66.034,8.304
4629.136,67.428,66.394,7.823
4630.203,66.275,66.547,7.276
4631.268,66.271,66.823,7.430
4632.336,70.745,67.245,7.978
4633.402,66.334,69.364,8.580
4634.468,68.146,71.103,8.140
4635.537,75.515,72.535,8.110
4636.603,71.944,73.211,7.977
4637.672,73.857,73.114,7.124
4638.739,75.462,73.128,7.366
4639.809,72.922,73.375,7.700
4640.876,71.570,72.834,7.526
4641.944,71.181,72.173,7.744
4643.014,72.079,71.977,8.199
4644.082,70.082,71.909,7.874
4645.153,72.963,71.260,7.392
4646.222,73.196,70.643,7.247
4647.293,71.340,70.779,7.103
4648.362,73.608,70.736,7.289
4649.432,70.460,70.881,7.838
4650.504,70.908,71.276,8.012
4651.574,69.868,71.353,8.207
4652.646,72.359,72.205,8.054
4653.717,75.192,73.422,7.812
4654.790,76.639,74.782,8.172
4655.861,75.085,76.026,9.290
4656.934,75.107,76.765,8.913
4658.006,77.955,76.905,9.381
4659.077,75.063,77.234,10.143
4660.152,75.938,76.853,10.616
4661.224,73.232,75.560,10.753
4662.299,72.409,74.975,10.106
4663.371,74.120,75.389,9.642
4664.446,75.290,75.538,9.627
4665.520,79.039,76.466,9.810
4666.593,79.290,76.829,9.557
4667.669,81.390,77.232,9.153
4668.743,77.537,76.709,9.713
4669.819,72.845,75.701,10.332
4670.894,77.101,76.199,9.952
4671.971,75.990,76.667,9.923
4673.046,77.124,76.901,10.050
4674.121,77.617,76.749,10.256
4675.198,74.996,76.364,10.910
4676.274,75.246,75.703,10.341
4677.352,74.457,74.504,9.135
4678.428,77.570,73.157,9.499
4679.507,73.078,72.582,9.487
4680.584,71.525,72.437,8.615
4681.660,69.661,72.444,9.537
4682.740,75.886,72.695,8.793
4683.817,71.938,73.252,8.825
4684.897,75.420,73.624,9.250
4685.975,75.112,74.733,9.300
4687.056,73.388,75.433,9.834
4688.134,77.387,75.734,9.441
4689.212,75.193,75.531,8.780
4690.294,74.944,74.424,8.974
4691.373,77.375,73.988,9.160
4692.454,74.732,73.840,9.440
4693.534,69.536,72.916,9.469
4694.616,70.546,72.606,8.477
4695.696,73.074,73.426,8.014
4696.777,72.165,73.890,8.550
4697.860,74.792,74.037,9.041
4698.940,69.241,73.843,8.499
4700.024,76.841,74.032,8.107
4701.105,73.369,74.762,8.324
4702.189,74.642,75.307,8.572
4703.271,70.875,75.180,9.590
4704.353,74.057,76.077,8.780
4705.438,76.095,77.139,8.206
4706.520,80.506,78.092,8.599
4707.606,77.711,79.031,8.383
4708.689,75.774,79.703,8.903
4709.774,78.178,79.694,9.632
4710.858,76.286,79.565,9.861
4711.942,77.394,79.063,9.283
4713.028,78.519,78.881,8.496
4714.112,78.437,79.129,8.603
4715.199,80.740,79.552,8.509
4716.284,83.101,79.750,7.770
4717.372,83.098,79.194,7.760
4718.457,82.976,79.304,8.857
4719.542,81.265,79.711,9.762
4720.631,78.239,79.868,9.594
4721.717,80.088,79.775,8.962
4722.805,84.419,79.680,8.522
4723.892,84.414,79.294,8.233
4724.981,84.611,79.634,8.287
4726.068,85.222,79.393,8.599
4727.155,79.646,79.153,8.646
4728.246,80.054,79.106,7.792
4729.333,80.501,78.428,8.185
4730.424,76.645,78.549,10.068
4731.512,79.088,78.558,9.636
4732.603,78.985,77.691,9.344
4733.692,77.439,76.880,8.932
4734.781,81.704,76.533,8.792
4735.873,77.895,75.945,9.110
4736.962,75.146,75.612,8.693
4738.054,75.948,74.811,8.517
4739.144,75.203,74.587,9.098
4740.237,72.565,74.482,9.523
4741.328,73.193,74.359,10.037
4742.421,72.276,74.784,9.671
4743.512,71.788,74.139,9.624
4744.603,69.974,72.649,10.031
4745.697,68.402,71.709,9.409
4746.789,70.691,71.595,8.639
4747.884,70.757,71.846,8.436
4748.976,70.764,72.199,8.527
4750.071,74.260,73.175,8.923
4751.164,75.736,74.564,8.278
4752.257,76.436,75.402,8.308
4753.353,77.755,75.204,8.302
4754.446,72.838,74.867,8.208
4755.543,73.270,75.582,8.573
4756.637,77.285,75.895,8.140
4757.734,75.292,77.060,7.852
4758.828,79.711,78.525,7.582
4759.923,83.704,78.746,7.968
4761.020,76.389,77.888,7.724
4762.116,78.447,77.449,7.464
4763.214,74.773,75.970,8.077
4764.310,71.997,74.219,8.116
4765.408,74.026,72.493,7.450
4766.504,70.105,70.877,7.584
4767.601,67.684,69.664,8.286
4768.700,69.565,69.524,8.138
4769.797,72.453,70.982,7.774
4770.897,73.370,72.560,7.644
4771.995,76.297,73.888,7.416
4773.095,77.178,75.043,7.645
4774.193,76.979,75.567,8.250
4775.292,77.917,75.164,8.115
4776.393,76.468,75.781,7.902
4777.492,75.107,75.908,8.489
4778.593,75.098,75.328,8.404
4779.693,74.650,74.783,8.435
4780.795,75.328,74.495,8.536
4781.895,77.961,74.189,8.244
4782.995,75.203,74.841,8.365
4784.098,74.817,75.749,7.936
4785.198,74.697,76.217,8.092
4786.302,76.063,76.373,8.332
4787.403,75.272,76.508,6.895
4788.507,75.986,76.530,7.855
4789.608,75.901,76.178,8.772
4790.710,81.518,76.138,7.493
4791.815,78.398,75.749,7.527
4792.917,75.424,75.535,8.418
4794.022,73.010,75.794,8.885
4795.125,75.234,75.871,8.130
4796.231,79.077,75.892,7.777
4797.334,77.116,75.750,7.863
4798.438,73.684,75.307,7.932
4799.545,72.395,74.188,7.859
4800.649,77.290,73.030,7.894
4801.756,70.539,72.996,8.137
4802.860,72.597,72.768,8.388
4803.968,72.796,72.495,8.430
4805.073,69.013,72.371,8.148
4806.178,73.237,72.788,8.168
4807.287,73.311,73.283,8.425
4808.393,72.213,72.994,8.439
4809.501,73.561,73.302,8.025
4810.608,71.785,74.067,7.626
4811.717,74.722,74.541,7.908
4812.824,74.173,75.016,7.973
4813.931,74.059,75.471,8.258
4815.041,75.443,75.364,8.783
4816.149,79.367,75.837,8.783
4817.260,73.353,77.044,8.926
4818.368,81.761,78.049,8.910
4819.479,80.187,79.207,9.919
4820.588,83.346,80.462,10.146
4821.697,80.450,80.796,9.544
4822.809,79.047,80.782,9.810
4823.918,78.464,80.930,9.090
4825.030,82.411,80.516,9.570
4826.140,81.842,79.816,9.228
4827.253,74.071,79.123,9.278
4828.364,75.326,77.802,10.274
4829.477,79.460,75.325,9.647
4830.588,74.268,74.295,9.493
4831.699,74.544,73.985,8.532
4832.814,75.029,74.246,8.596
4833.925,74.760,75.215,10.095
4835.040,74.741,76.366,10.473
4836.152,76.482,76.959,9.631
4837.268,77.052,77.131,9.236
4838.380,74.331,77.556,9.919
4839.493,75.501,78.178,10.384
4840.609,78.041,78.524,9.899
4841.723,79.234,78.488,9.143
4842.840,78.569,78.899,8.960
4843.954,76.913,79.525,9.503
4845.071,79.295,79.778,9.358
4846.185,80.392,79.792,8.609
4847.300,81.158,80.456,9.378
4848.418,82.204,81.877,9.496
4849.533,82.110,81.169,9.128
4850.652,77.322,80.548,9.061
4851.767,78.224,81.199,8.002
4852.886,78.564,81.175,8.907
4854.003,76.957,79.843,9.105
4855.119,77.841,79.143,8.195
4856.239,76.959,78.424,8.303
4857.356,75.056,77.822,8.250
4858.476,78.730,78.403,7.144
4859.594,77.414,78.546,7.436
4860.714,83.933,78.172,8.131
4861.833,77.632,79.095,8.401
4862.951,76.912,77.941,8.248
4864.072,75.963,76.596,8.331
4865.191,72.433,75.484,8.624
4866.313,74.586,74.872,8.673
4867.433,75.942,74.690,8.376
4868.555,73.414,74.637,9.005
4869.675,73.998,75.399,8.759
4870.796,79.318,76.210,8.482
4871.919,79.553,76.974,8.422
4873.039,78.451,77.976,7.617
4874.163,77.458,78.941,7.205
4875.284,77.587,79.288,7.986
4876.409,79.776,79.945,8.601
4877.531,81.839,80.542,8.031
4878.653,83.327,80.701,7.775
4879.778,79.103,80.670,8.712
4880.900,76.983,80.782,9.653
4882.026,78.369,80.870,9.685
4883.149,77.794,80.218,9.300
4884.275,77.514,78.878,9.109
4885.398,76.222,78.282,8.773
4886.522,76.593,77.951,8.677
4887.649,75.889,77.519,9.157
4888.774,76.519,77.621,9.247
4889.901,76.430,77.408,8.453
4891.026,78.079,78.139,8.219
4892.154,76.267,78.620,8.293
4893.279,76.907,78.569,8.170
4894.405,79.995,79.173,8.103
4895.533,81.055,81.258,8.343
4896.660,84.568,82.186,8.593
4897.789,83.076,82.527,9.413
4898.916,81.697,82.966,8.983
4900.045,83.750,82.341,8.330
4901.172,81.254,81.030,8.591
4902.300,80.410,81.183,7.416
4903.430,79.964,80.864,8.148
4904.558,77.936,80.655,8.235
4905.689,81.353,81.202,7.332
4906.818,83.013,81.377,8.651
4907.950,81.926,80.765,8.872
4909.079,76.604,80.279,8.126
4910.208,80.112,78.928,7.975
4911.340,77.920,78.655,7.964
4912.470,79.300,79.500,7.697
4913.603,77.661,79.835,7.752
4914.733,79.915,79.560,8.278
4915.867,81.369,80.383,9.005
4916.997,82.996,81.088,8.695
4918.131,81.775,81.233,7.664
4919.263,80.850,81.616,7.469
4920.394,81.924,82.328,7.397
4921.529,81.502,82.970,8.147
4922.661,80.275,83.036,8.375
4923.796,79.606,81.999,7.695
4924.929,80.535,81.551,7.124
4926.065,78.770,80.950,7.406
4927.198,74.937,79.783,8.242
4928.331,76.988,79.030,8.355
4929.468,80.537,79.693,8.069
4930.602,80.518,79.639,8.226
4931.739,78.570,80.224,8.332
4932.873,78.011,79.812,8.103
4934.011,77.964,79.019,8.260
4935.146,76.711,79.008,8.543
4936.281,80.945,79.351,8.013
4937.420,80.031,79.157,7.564
4938.556,79.325,79.248,8.134
4939.694,77.818,79.691,8.391
4940.831,79.920,79.642,7.724
4941.970,80.051,78.930,7.921
4943.107,79.602,78.480,8.275
4944.244,77.985,78.305,8.115
4945.384,76.345,78.101,7.952
4946.522,78.129,78.160,7.859
4947.663,79.488,78.208,7.716
4948.801,80.522,78.255,8.238
4949.942,81.101,78.741,7.983
4951.081,77.933,78.864,8.157
4952.220,75.269,78.679,9.473
4953.362,78.164,78.190,8.850
4954.501,77.289,77.650,7.689
4955.644,80.077,77.186,7.757
4956.784,75.221,76.419,7.471
4957.927,76.406,74.768,7.132
4959.067,71.195,73.107,8.338
4960.208,66.979,71.767,8.196
4961.352,71.304,71.193,7.935
4962.493,79.130,72.297,8.394
4963.638,85.493,75.396,8.631
4964.779,84.367,77.809,8.720
4965.924,78.295,78.531,8.941
4967.067,75.097,77.691,8.984
4968.209,72.734,75.139,9.653
4969.355,75.569,72.278,9.070
4970.498,70.094,71.540,8.800
4971.644,71.005,71.126,9.502
4972.788,76.206,71.115,9.169
4973.935,71.027,71.715,8.875
4975.079,71.685,71.631,9.692
4976.224,71.583,71.144,9.543
4977.371,72.425,72.250,9.634
4978.516,74.450,72.835,10.652
4979.664,75.271,74.051,11.091
4980.810,80.205,75.258,11.105
4981.958,79.415,76.392,11.560
4983.104,77.236,77.550,11.455
4984.251,76.663,78.223,11.639
4985.400,74.822,77.957,11.867
4986.547,79.173,77.420,11.330
4987.697,80.059,77.313,10.907
4988.844,72.545,76.862,11.283
4989.995,71.560,75.616,10.467
4991.143,74.536,74.604,9.644
4992.291,74.710,74.612,10.139
4993.442,74.481,74.443,9.986
4994.591,71.053,74.274,9.528
4995.743,70.626,74.516,9.631
4996.892,74.566,75.662,9.329
4998.044,76.124,77.926,8.822
4999.194,79.142,80.107,8.939
5000.344,81.445,82.286,8.902
5001.497,80.981,83.428,8.740
5002.648,80.303,83.897,8.732
5003.801,80.898,83.876,8.283
5004.952,82.111,82.763,8.298
5006.106,81.995,82.014,8.936
5007.258,79.616,82.276,8.722
5008.413,77.480,82.063,8.394
5009.565,77.772,81.995,8.746
5010.717,81.507,82.579,8.599
5011.873,79.706,82.603,8.160
5013.026,78.722,81.918,7.669
5014.182,79.771,80.651,7.262
5015.335,76.425,79.738,7.863
5016.492,77.013,79.413,7.688
5017.646,78.420,79.820,7.467
5018.800,81.256,80.876,7.854
5019.958,81.130,80.645,8.178
5021.112,79.222,80.699,7.856
5022.270,76.597,79.840,7.539
5023.426,72.403,77.691,8.584
5024.584,72.003,75.063,8.005
5025.740,71.035,73.325,7.871
5026.896,69.179,73.616,7.975
5028.055,70.644,74.342,7.246
5029.212,72.636,75.672,8.480
5030.372,71.760,77.427,8.608
5031.529,78.501,79.277,7.821
5032.689,82.128,81.197,7.931
5033.847,79.710,82.884,8.823
5035.005,85.795,84.098,8.112
5036.166,82.825,84.232,7.693
5037.325,82.434,83.490,7.273
5038.486,83.912,82.292,7.569
5039.645,78.988,80.881,7.368
5040.807,76.500,79.976,7.089
5041.967,77.365,79.649,6.919
5043.127,76.371,78.638,6.293
5044.290,75.388,77.735,7.294
5045.450,75.281,78.162,7.905
5046.614,81.133,79.730,7.583
5047.775,77.378,81.479,7.275
5048.939,81.820,83.107,7.606
5050.100,85.252,84.105,7.405
5051.262,83.317,84.771,7.092
5052.427,83.525,85.449,7.782
5053.589,86.944,85.861,7.366
5054.754,84.751,85.768,7.565
5055.917,83.410,85.988,7.983
5057.083,87.218,86.125,8.306
5058.247,85.635,85.609,8.138
5059.410,81.221,84.592,7.250
5060.577,83.019,83.579,7.047
5061.741,81.347,81.661,7.396
5062.908,80.375,80.017,7.354
5064.073,80.444,77.812,7.656
5065.241,78.877,77.029,7.332
5066.406,81.074,79.123,8.243
5067.572,83.656,81.935,8.428
5068.740,82.522,82.642,7.833
5069.906,81.549,82.106,8.312
5071.075,80.921,81.273,8.879
5072.242,80.612,80.102,8.517
5073.412,77.855,79.123,8.010
5074.579,81.868,79.493,7.713
5075.746,80.487,79.861,7.316
5076.917,80.423,80.798,7.497
5078.084,80.997,81.486,7.648
5079.255,86.146,82.171,7.553
5080.424,85.148,82.809,7.960
5081.595,81.355,82.452,8.754
5082.764,84.343,81.955,10.007
5083.934,79.826,80.997,10.554
5085.106,80.629,79.828,10.099
5086.276,77.437,78.063,10.768
5087.449,77.575,75.983,10.499
5088.619,75.022,74.847,9.307
5089.793,72.280,74.130,8.812
5090.964,75.297,74.007,8.230
5092.135,77.173,75.152,8.230
5093.309,76.007,76.984,8.471
5094.481,78.981,78.411,8.038
5095.655,78.827,79.134,7.990
5096.828,79.158,80.112,8.090
5098.003,82.662,79.628,8.279
5099.176,77.674,79.626,8.705
5100.352,76.444,80.176,8.560
5101.525,79.754,80.194,8.113
5102.699,83.058,79.777,7.548
5103.875,81.101,80.470,6.935
5105.049,81.281,80.304,6.588
5106.227,80.923,79.152,7.076
5107.401,77.405,78.150,7.335
5108.579,76.548,77.799,7.264
5109.754,77.299,77.785,7.261
5110.930,78.399,79.160,7.531
5112.108,82.726,78.639,8.223
5113.284,86.746,76.868,8.499
5114.463,87.714,75.841,8.059
5115.640,84.747,77.151,7.963
5116.820,83.775,80.008,8.269
5117.997,77.896,79.273,7.889
5119.174,76.012,76.889,7.391
5120.355,73.982,74.896,7.719
5121.533,69.675,73.703,8.010
5122.714,71.132,73.128,7.646
5123.892,72.029,73.221,7.540
5125.074,72.359,73.722,7.448
5126.253,72.328,74.051,6.955
5127.432,73.955,74.745,6.903
5128.614,75.539,75.546,7.312
5129.794,74.309,76.037,7.084
5130.977,76.077,76.414,7.190
5132.157,72.786,76.847,8.068
5133.341,75.021,77.407,8.801
5134.522,74.409,77.563,8.639
5135.703,75.024,77.981,8.580
5136.887,78.237,79.023,8.501
5138.069,80.018,79.807,7.854
5139.254,82.253,80.253,8.219
5140.436,82.401,80.647,8.503
5141.621,80.043,80.755,8.467
5142.804,78.270,80.017,8.414
5143.987,75.846,78.536,8.195
5145.174,75.946,77.101,8.170
5146.357,72.295,75.321,8.549
5147.544,70.371,73.622,8.675
5148.728,69.130,73.201,8.190
5149.915,71.710,73.923,8.201
5151.100,74.416,75.353,8.531
5152.285,76.548,77.552,8.234
5153.473,78.970,79.657,9.233
5154.659,77.633,80.249,10.566
5155.847,79.673,79.953,9.982
5157.034,78.242,79.218,9.113
5158.223,75.607,78.507,8.603
5159.409,77.028,78.386,8.429
5160.596,79.266,78.110,7.982
5161.786,79.670,79.419,7.773
5162.974,78.314,80.838,8.230
5164.164,78.717,81.607,8.170
5165.352,81.858,82.200,7.988
5166.544,80.923,83.191,7.773
5167.732,83.453,83.923,6.658
5168.921,86.968,84.366,6.946
5170.113,86.856,83.946,7.247
5171.302,85.801,82.830,7.263
5172.495,78.983,81.444,7.287
5173.685,77.332,80.017,7.094
5174.878,76.208,79.151,6.853
5176.068,79.604,78.785,7.283
5177.259,74.548,79.034,8.105
5178.453,78.735,79.339,7.495
5179.644,81.387,79.250,6.906
5180.838,77.947,79.027,7.210
5182.030,79.390,78.872,7.556
5183.225,79.768,79.378,7.166
5184.418,81.206,78.634,5.962
5185.610,77.225,77.811,6.066
5186.806,75.142,77.527,7.304
5187.999,76.625,75.930,8.412
5189.196,74.110,75.259,7.930
5190.389,74.474,74.561,7.695
5191.586,73.195,74.653,7.949
5192.781,73.874,75.858,7.092
5193.978,80.376,77.353,7.258
5195.173,76.833,78.201,7.510
5196.368,81.115,79.556,8.171
5197.566,79.657,80.555,12.407
5198.762,78.868,80.779,16.741
5199.961,79.928,81.005,17.244
5201.157,80.412,81.671,15.344
5202.357,84.150,81.999,11.645
5203.553,83.113,81.640,9.524
5204.750,81.345,80.546,8.023
5205.951,77.990,79.062,7.562
5207.148,78.641,77.704,7.347
5208.349,80.399,76.978,7.318
5209.547,78.712,77.104,6.892
5210.748,73.975,77.559,8.300
5211.947,77.240,77.737,9.124
5213.146,75.856,77.655,7.434
5214.348,77.755,77.636,7.359
5215.548,75.211,77.724,7.736
5216.751,77.538,77.559,7.536
5217.951,77.586,77.258,8.163
5219.154,74.500,77.606,9.272
5220.355,74.302,77.944,8.292
5221.556,76.608,78.714,8.161
5222.760,80.491,79.995,8.755
5223.961,78.354,80.670,8.400
5225.166,85.264,81.448,8.564
5226.368,81.067,81.853,7.702
5227.573,81.627,81.934,7.827
5228.776,82.759,81.497,8.025
5229.978,83.701,80.365,6.977
5231.184,77.781,78.887,7.902
5232.388,77.242,77.800,7.970
5233.594,74.285,76.833,7.195
5234.798,73.490,75.370,7.108
5236.006,71.591,74.639,8.472
5237.210,74.447,75.157,8.186
5238.415,73.813,75.322,7.948
5239.623,74.634,75.432,9.817
5240.828,76.670,76.579,8.831
5242.037,80.538,77.545,7.748
5243.243,78.521,78.285,7.035
5244.452,75.871,78.878,6.939
5245.658,78.944,78.597,7.055
5246.865,79.133,78.312,7.253
5248.075,77.144,77.781,7.724
5249.282,78.390,76.918,7.940
5250.493,77.078,76.354,7.437
5251.701,76.049,76.257,6.950
5252.912,76.865,75.930,6.883
5254.120,72.531,75.888,7.317
5255.329,71.360,76.139,7.672
5256.541,76.706,76.005,8.320
5257.750,74.198,75.644,9.117
5258.962,73.504,75.516,8.464
5260.172,74.949,75.646,7.644
5261.385,75.316,75.836,7.552
5262.595,76.800,75.434,7.793
5263.806,74.956,75.906,8.027
5265.020,74.494,76.803,7.690
5266.231,75.708,77.645,6.896
5267.446,80.620,79.146,6.644
5268.657,82.340,79.510,6.562
5269.872,79.350,79.820,6.366
5271.085,80.426,79.473,6.676
5272.297,79.470,78.183,7.125
5273.513,78.007,76.094,7.201
5274.726,73.950,73.243,7.615
5275.942,69.380,69.722,8.601
5277.156,64.262,66.444,8.479
5278.373,63.678,63.844,7.581
5279.587,63.263,62.464,7.311
5280.805,60.842,62.191,7.660
5282.020,58.763,62.019,7.609
5283.235,62.054,62.092,7.101
5284.453,62.823,63.603,7.080
5285.669,64.315,66.524,7.117
5286.888,69.391,69.415,7.380
5288.104,75.542,71.284,7.074
5289.323,75.073,72.315,7.693
5290.540,72.038,71.627,7.845
5291.757,70.350,70.500,6.998
5292.977,66.499,68.304,7.325
5294.195,67.616,65.845,7.215
5295.416,66.737,65.113,7.678
5296.634,68.171,67.334,7.450
5297.856,70.353,70.781,7.468
5299.074,70.609,72.717,7.732
5300.293,76.646,74.650,7.102
5301.516,74.848,76.049,7.962
5302.735,73.932,75.838,8.931
5303.958,75.336,75.196,7.517
5305.178,72.768,75.886,7.271
5306.402,76.549,76.582,7.643
5307.622,79.434,77.977,7.519
5308.843,77.371,79.805,7.394
5310.067,78.249,81.140,8.052
5311.289,78.806,81.556,8.485
5312.514,84.801,80.981,7.436
5313.736,81.210,79.467,8.175
5314.961,78.630,77.858,8.241
5316.184,74.138,76.117,7.614
5317.407,73.397,74.139,7.870
5318.633,71.253,72.772,7.751
5319.857,69.337,72.964,8.046
5321.083,73.021,73.968,7.385
5322.308,74.969,75.805,7.624
5323.535,74.036,77.851,8.489
5324.760,79.470,79.235,8.311
5325.985,81.908,79.946,8.206
5327.213,80.890,81.141,8.433
5328.438,80.582,81.146,8.341
5329.667,81.997,81.877,8.516
5330.893,82.508,83.109,8.729
5332.122,83.561,83.425,9.191
5333.349,84.225,82.764,8.712
5334.576,84.174,81.991,8.451
5335.806,79.182,80.692,8.197
5337.033,77.800,78.300,7.696
5338.264,74.934,76.655,7.845
5339.492,76.491,77.073,7.976
5340.724,75.283,78.198,7.706
5341.952,77.124,79.571,8.157
5343.181,77.975,80.884,8.419
5344.413,80.230,81.630,8.556
5345.643,82.691,81.776,8.245
5346.875,84.765,81.981,8.493
5348.105,80.559,83.116,8.067
5349.339,83.942,84.629,7.953
5350.569,83.251,85.195,8.597
5351.800,83.805,85.708,8.451
5353.034,88.487,86.123,7.844
5354.266,87.405,86.076,7.265
5355.500,89.848,85.972,7.796
5356.732,80.962,85.658,8.224
5357.968,83.596,84.713,8.403
5359.200,88.904,83.706,7.557
5360.433,82.847,82.816,7.353
5361.669,81.520,82.147,7.590
5362.903,80.364,82.064,7.468
5364.139,80.000,82.204,7.618
5365.373,82.548,82.903,7.230
5366.611,83.373,83.594,7.735
5367.845,80.619,83.972,8.054
5369.080,84.920,84.376,7.781
5370.318,85.985,85.224,8.267
5371.554,87.551,85.508,7.672
5372.792,87.969,84.530,7.396
5374.028,82.489,82.278,7.901
5375.268,79.658,79.463,8.526
5376.504,77.477,76.970,8.195
5377.744,74.854,75.078,8.195
5378.981,73.685,73.064,8.039
5380.218,70.254,72.882,7.354
5381.459,70.045,72.979,7.728
5382.697,70.695,73.162,8.127
5383.938,73.201,74.300,7.224
5385.177,73.124,76.435,7.283
5386.419,75.662,78.744,7.327
5387.658,82.383,80.634,7.113
5388.897,81.687,82.118,7.120
5390.140,83.092,83.564,7.036
5391.380,85.585,84.838,7.307
5392.623,85.854,85.245,7.720
5393.864,84.393,85.340,7.808
5395.108,82.950,84.782,8.164
5396.349,85.619,84.649,7.637
5397.590,87.079,85.548,7.120
5398.835,86.059,87.187,7.603
5400.077,88.473,88.652,7.432
5401.322,91.747,89.149,6.689
5402.565,92.353,90.166,7.241
5403.810,93.050,90.951,6.944
5405.054,92.039,90.736,7.308
5406.297,92.032,89.766,7.061
5407.544,90.191,88.807,7.045
5408.788,88.067,87.241,7.883
5410.035,85.100,85.625,7.594
5411.280,83.754,84.039,7.326
5412.527,80.425,83.866,7.232
5413.773,82.201,85.338,7.439
5415.018,85.689,86.279,7.217
5416.267,87.341,87.281,7.438
5417.513,88.713,88.966,7.614
5418.762,89.495,90.142,7.250
5420.008,90.867,90.854,7.435
5421.258,93.410,91.487,6.849
5422.505,92.485,91.766,6.803
5423.753,93.013,92.683,7.549
5425.004,90.481,92.384,7.481
5426.252,89.613,91.842,7.775
5427.503,90.373,91.311,8.146
5428.752,89.844,90.608,7.601
5430.003,88.910,90.199,7.720
5431.253,89.685,89.927,7.529
5432.502,87.374,89.350,8.301
5433.755,95.130,88.726,8.000
5435.005,88.411,88.149,7.497
5436.258,88.586,87.386,7.573
5437.509,85.511,86.122,7.406
5438.763,83.095,84.372,7.831
5440.014,80.338,82.580,7.721
5441.265,77.984,80.926,7.676
5442.520,78.204,80.052,7.552
5443.772,78.191,80.622,7.711
5445.027,83.314,82.447,7.564
5446.280,84.181,84.225,7.941
5447.536,86.979,85.759,7.899
5448.789,87.612,87.033,7.727
5450.043,88.731,87.767,7.918
5451.299,90.071,87.898,8.208
5452.553,87.279,87.772,8.132
5453.811,87.107,87.100,7.833
5455.065,82.490,86.188,8.052
5456.323,85.757,86.036,7.323
5457.578,86.380,86.697,7.646
5458.834,88.874,87.228,10.388
5460.093,85.461,86.817,20.376
5461.349,87.058,86.726,33.163
5462.608,91.518,86.748,31.973
5463.865,80.428,87.225,24.274
5465.125,91.887,88.523,12.575
5466.382,89.186,90.102,10.751
5467.640,93.886,90.954,8.952
5468.900,93.967,92.497,9.799
5470.159,95.706,93.028,9.349
5471.420,91.433,93.457,7.983
5472.679,93.046,93.747,8.521
5473.941,93.229,93.536,8.654
5475.200,97.640,93.199,7.954
5476.463,91.885,91.690,8.261
5477.722,91.788,90.540,8.151
5478.982,92.337,89.762,7.279
5480.246,90.788,88.571,7.559
5481.507,87.019,87.125,8.544
5482.771,85.592,86.532,8.838
5484.032,86.021,85.226,9.008
5485.297,85.052,84.496,9.114
5486.558,83.192,84.803,9.068
5487.821,84.664,85.739,8.636
5489.086,86.047,86.988,8.470
5490.349,90.223,88.631,7.941
5491.615,86.228,89.886,7.861
5492.878,94.448,90.566,8.235
5494.145,93.014,90.865,8.139
5495.409,89.493,91.046,8.308
5496.673,92.714,90.964,8.208
5497.941,88.446,90.199,7.628
5499.205,94.978,89.623,8.372
5500.473,92.735,90.088,8.389
5501.739,96.012,90.309,7.830
5503.008,89.883,89.825,8.531
5504.274,95.222,88.829,7.773
5505.540,88.988,87.480,7.946
5506.809,86.645,86.901,8.251
5508.076,89.846,86.294,8.070
5509.346,86.894,85.918,8.362
5510.614,84.396,85.311,8.575
5511.884,85.097,84.554,8.455
5513.152,83.178,84.865,8.986
5514.421,84.853,84.756,9.673
5515.692,87.222,84.819,9.270
5516.961,84.799,85.174,9.358
5518.233,89.009,84.847,8.683
5519.503,84.866,83.608,8.259
5520.776,80.972,82.878,8.970
5522.046,79.940,82.460,8.666
5523.316,82.028,82.366,8.133
5524.590,80.104,82.949,8.761
5525.861,83.346,84.015,8.077
5527.135,86.090,85.266,8.365
5528.406,85.844,86.734,8.339
5529.681,91.782,87.954,8.091
5530.953,90.963,88.889,8.920
5532.226,92.772,89.650,8.031
5533.501,90.759,90.147,7.940
5534.774,91.765,90.270,7.610
5536.051,91.953,90.174,7.761
5537.324,91.968,90.171,7.982
5538.601,90.996,89.646,8.311
5539.875,88.048,89.268,8.498
5541.150,91.924,89.383,8.600
5542.428,89.046,89.515,8.610
5543.703,90.185,88.908,8.999
5544.981,89.776,87.956,9.504
5546.257,90.411,86.916,9.569
5547.536,89.864,86.543,8.694
5548.812,83.829,86.374,8.518
5550.088,84.394,85.888,8.605
5551.368,84.472,85.857,8.174
5552.645,90.625,86.913,7.819
5553.926,85.646,88.630,6.970
5555.203,90.383,90.324,7.087
5556.484,94.589,91.259,7.842
5557.763,96.166,91.656,7.805
5559.041,95.643,92.349,7.282
5560.323,94.415,91.076,7.741
5561.602,93.510,89.421,7.366
5562.885,90.464,87.975,7.627
5564.164,86.234,87.211,8.475
5565.447,85.114,87.368,8.600
5566.728,90.324,87.852,7.518
5568.008,88.627,87.773,7.092
5569.292,90.761,87.575,6.054
5570.574,91.184,87.241,6.922
5571.858,91.544,86.545,5.279
5573.140,86.629,86.274,6.554
5574.425,90.424,87.783,3.847
5575.707,80.228,88.578,74.607
5576.993,18.100,88.713,577.353
5578.276,139.779,88.688,975.511
