,i,r̄,Mfac,rFac,f1,f2,f3,f4,pa,Sα,phaseAmplitude,t_char,rBLR,FHWM
104544,3,4,2,1,2,5,4,4,4,2,2,1,2,1
135130,1,2,4,2,2,1,1,5,4,4,1,1,1,1
85199,4,5,5,5,5,5,3,4,2,3,1,3,5,1
95440,1,2,4,1,4,3,4,5,4,3,1,1,1,1
84266,5,4,2,3,2,3,3,5,1,3,2,1,1,1
88011,5,3,1,4,4,5,5,5,4,4,2,1,1,1
107632,5,4,5,4,2,1,2,5,2,5,3,3,4,1
12750,3,3,1,3,1,5,1,3,1,5,1,1,1,1
124505,2,5,3,4,2,4,4,5,1,1,3,2,3,1
89603,5,5,1,2,3,3,3,4,4,1,2,1,1,1
51586,2,5,4,1,4,4,1,2,5,4,1,3,4,1
121507,2,5,4,1,1,5,2,4,4,5,3,3,3,1
136984,3,3,1,5,2,5,3,3,5,4,2,1,1,1
89102,5,4,3,5,2,3,1,2,2,2,1,2,2,1
44343,3,3,5,3,4,1,2,1,3,1,1,3,3,1
26395,5,3,1,1,3,5,3,1,1,1,1,1,1,1
62228,3,4,2,4,1,4,1,1,2,3,2,1,2,1
114287,2,3,5,2,5,4,2,1,4,2,2,2,3,1
31370,5,5,1,3,1,3,1,3,5,5,3,1,1,1
89269,2,3,5,1,4,4,3,3,3,1,2,2,3,1
81037,3,2,2,5,5,2,1,3,2,2,1,1,1,1
32273,5,5,1,5,5,3,5,5,1,1,2,1,1,1
40637,1,2,1,2,4,3,2,4,5,4,1,1,1,1
104068,2,4,1,2,3,4,4,4,3,5,2,1,1,1
6959,1,3,5,3,1,5,5,5,1,3,1,2,3,1
45654,1,1,5,2,1,3,4,4,3,4,1,1,1,1
6419,1,3,3,5,5,1,5,3,5,1,1,1,2,1
33198,5,5,3,3,3,5,3,5,5,3,2,2,3,1
94563,2,4,5,2,4,3,5,1,1,3,2,2,3,1
107105,2,5,3,3,4,1,3,4,4,3,2,2,3,1
120941,5,4,2,1,1,2,3,5,1,3,2,2,2,1
78764,3,2,3,5,2,3,2,2,4,1,1,1,1,1
15690,3,3,5,1,5,1,5,3,3,5,1,3,3,1
44334,5,2,5,1,4,2,4,3,1,5,1,2,2,1
115870,1,2,5,1,5,4,2,5,3,4,1,1,2,1
100353,2,3,3,2,3,1,3,2,4,1,2,1,2,1
64217,5,1,5,4,2,4,1,3,4,4,1,1,1,2
90447,2,5,5,5,1,2,5,5,1,3,3,4,5,1
24247,5,1,3,5,3,1,1,3,1,1,1,1,1,3
117922,1,1,1,1,2,3,5,5,2,1,1,1,1,1
55522,4,4,1,4,3,5,2,3,4,5,2,1,1,1
15800,3,3,5,1,5,5,5,1,1,3,1,3,3,1
117473,5,2,1,1,3,5,1,4,2,5,1,1,1,1
117548,5,3,2,2,3,4,1,2,1,5,2,1,2,1
4662,1,3,1,1,1,1,3,5,3,1,1,1,1,1
39058,5,4,3,2,5,4,1,1,4,3,2,2,3,1
62714,2,4,3,2,5,5,4,4,4,2,2,2,2,1
13333,3,3,1,5,1,5,5,3,3,5,1,1,1,1
99716,3,5,4,1,3,1,3,3,3,3,2,3,4,1
70818,5,5,4,3,5,3,1,4,4,4,3,3,4,1
89440,5,1,5,3,2,1,4,2,3,5,1,1,1,1
4571,1,1,5,5,5,3,5,3,3,5,1,1,1,1
37173,5,1,2,5,3,1,3,2,4,3,1,1,1,5
82750,5,2,5,1,5,4,5,1,3,3,1,2,2,1
95044,2,2,1,2,2,5,4,5,3,4,1,1,1,1
143098,4,3,1,3,1,3,1,2,4,5,2,1,1,1
135158,2,5,5,5,1,3,1,1,5,5,2,3,5,1
135384,4,4,4,4,1,2,4,3,3,1,2,3,3,1
140298,4,2,1,1,3,3,4,4,2,5,1,1,1,1
23792,5,1,3,3,3,1,5,1,1,5,1,1,1,3
113995,4,1,1,4,4,4,3,2,4,5,1,1,1,1
118520,5,2,5,2,3,3,1,5,3,1,1,1,2,1
51893,5,5,2,5,5,3,3,1,5,5,1,2,2,1
15594,3,3,5,1,3,5,3,1,3,3,1,3,3,1
105567,5,2,5,3,5,4,1,4,5,5,1,2,2,1
72989,5,5,5,5,3,3,5,2,2,3,1,3,4,1
107722,2,4,5,3,1,1,1,2,5,3,2,3,4,1
6217,1,3,3,5,1,1,1,3,1,5,1,1,2,1
134352,5,3,1,1,3,3,2,5,5,4,1,1,1,1
12602,3,3,1,1,5,5,3,1,1,3,1,1,1,1
138393,3,2,2,5,3,5,5,1,5,3,1,1,1,1
152,1,1,1,1,1,5,5,5,3,1,1,1,1,1
65856,3,1,3,2,3,4,2,5,2,3,1,1,1,2
113375,1,1,4,4,2,5,2,4,4,4,1,1,1,1
64065,2,2,5,3,5,2,2,3,2,1,1,2,2,1
73231,3,1,1,2,1,4,3,1,4,1,1,1,1,1
16713,3,3,5,5,5,1,5,3,1,1,1,3,3,1
104754,4,1,5,1,5,1,5,5,2,3,1,1,1,1
130034,5,4,5,4,5,3,5,1,4,2,1,2,3,1
73121,2,5,5,3,2,5,5,4,1,1,3,4,5,1
91671,2,1,2,4,1,3,5,4,4,5,1,1,1,1
52996,1,2,3,5,3,4,5,2,5,1,1,1,1,1
38925,5,3,5,1,1,4,1,1,4,3,2,2,2,1
9710,3,1,3,3,3,3,3,1,1,3,1,1,1,5
73299,3,1,4,3,4,4,5,5,4,4,1,1,1,1
