,i,r̄,Mfac,rFac,f1,f2,f3,f4,pa,Sα,phaseAmplitude,t_char,rBLR,FHWM
89640,5,5,4,1,2,2,3,3,4,1,2,3,4,1
6624,1,3,5,1,3,1,3,5,5,3,1,2,3,1
72854,5,5,3,3,3,1,2,4,1,3,2,2,3,1
37434,5,2,5,1,1,3,4,4,4,5,1,1,1,1
1914,1,1,3,1,5,1,3,5,3,1,1,1,1,1
31942,5,5,1,5,1,5,1,3,3,3,3,1,1,1
96625,2,3,4,4,5,3,4,1,5,3,2,2,2,1
50445,2,1,4,5,5,3,4,5,1,2,1,1,1,1
118173,1,1,5,1,5,4,4,2,1,4,1,1,1,1
11214,3,1,5,3,1,5,3,5,5,3,1,1,1,5
80610,4,5,2,3,2,4,2,2,3,2,2,2,2,1
133478,5,2,4,2,2,5,5,3,3,1,1,1,1,1
8402,3,1,1,3,5,5,3,1,3,1,1,1,1,2
108274,3,5,3,3,3,2,1,5,1,5,3,2,3,1
90781,2,4,2,1,5,4,3,4,5,3,1,1,1,1
126034,3,1,5,3,1,2,4,4,1,1,1,1,1,2
84542,2,2,1,5,3,5,1,4,4,5,1,1,1,1
84813,1,2,2,2,1,5,4,2,3,2,1,1,1,1
126299,3,4,2,3,4,2,4,4,3,4,2,1,1,1
48279,1,5,3,1,4,4,2,5,1,4,1,2,3,1
82738,4,2,5,1,2,4,1,2,5,2,1,1,2,1
44783,3,2,2,3,4,1,1,3,3,4,1,1,1,1
113832,3,1,1,2,4,5,5,5,2,2,1,1,1,1
34702,5,5,5,3,3,3,3,5,3,1,2,4,5,1
59747,1,5,5,2,2,5,1,4,1,1,3,3,5,1
64182,4,4,4,4,1,4,5,4,3,1,1,3,3,1
80800,5,4,1,3,4,5,2,5,4,1,2,1,1,1
70668,5,2,4,4,1,3,4,1,2,2,1,1,2,1
64227,3,3,4,2,1,1,5,5,4,4,2,2,3,1
1968,1,1,3,1,5,3,3,1,5,5,1,1,1,1
50950,2,4,3,4,3,4,2,2,2,1,1,2,2,1
37666,1,4,3,3,3,3,1,3,3,2,2,2,3,1
124585,2,3,1,2,2,3,1,5,3,3,2,1,1,1
44387,1,1,3,2,4,5,2,2,3,5,1,1,1,1
107488,5,3,2,3,3,2,2,2,1,5,1,1,1,1
15384,3,3,5,1,1,3,5,3,1,5,1,2,3,1
25595,5,1,5,3,5,5,5,5,3,5,1,1,1,3
3570,1,1,5,1,5,5,1,3,5,1,1,1,1,1
10355,3,1,3,5,3,5,5,5,5,1,1,1,1,3
2070,1,1,3,3,1,1,3,1,5,1,1,1,1,1
48796,2,2,3,1,5,4,5,1,5,1,1,1,1,1
138096,4,4,3,1,3,4,3,5,1,4,2,2,2,1
88106,3,5,1,4,5,4,3,4,1,3,2,1,1,1
99381,4,4,4,3,3,3,1,1,2,2,1,2,3,1
122528,5,1,1,1,2,4,5,5,4,1,1,1,1,1
24171,5,1,3,5,1,3,3,3,5,5,1,1,1,2
11367,3,1,5,3,3,5,1,1,5,5,1,1,1,2
138791,2,2,3,2,1,4,3,3,3,2,1,1,1,1
6919,1,3,5,3,1,5,1,1,3,1,1,2,3,1
140667,5,3,1,1,1,1,2,1,3,1,2,1,1,1
97367,4,1,4,5,2,1,1,4,5,5,1,1,1,1
140072,3,4,5,3,2,4,4,5,2,5,2,3,4,1
139989,2,3,5,5,3,2,5,5,2,5,1,2,2,1
49157,4,1,3,5,3,3,5,3,3,5,1,1,1,1
120959,5,3,5,3,5,1,3,5,3,5,1,2,2,1
39911,3,4,4,3,4,4,3,1,5,4,1,2,3,1
58522,5,4,3,4,5,3,3,5,4,4,2,2,3,1
55480,2,4,1,3,2,3,2,2,3,5,2,1,1,1
54938,3,2,5,1,4,3,5,1,4,3,1,2,2,1
15671,3,3,5,1,5,1,3,3,5,5,1,2,3,1
115793,1,4,3,1,5,5,3,3,5,4,1,2,2,1
114391,3,3,3,2,5,4,2,1,5,3,1,1,2,1
103776,4,4,2,5,3,3,3,5,4,4,2,1,1,1
38522,2,3,3,1,4,3,1,2,2,3,1,1,2,1
391,1,1,1,1,5,3,1,3,1,1,1,1,1,1
128228,5,3,5,5,2,5,1,3,3,5,2,2,3,1
86358,4,1,3,5,5,5,5,4,1,1,1,1,1,1
36537,3,1,4,3,4,2,4,3,3,5,1,1,1,1
30037,5,3,5,3,3,5,1,5,1,3,1,2,3,1
126989,3,4,3,4,3,1,5,1,3,2,1,2,2,1
87736,4,2,5,5,3,3,1,5,2,2,1,1,2,1
114941,5,2,1,4,4,4,1,3,1,1,1,1,1,1
22813,5,1,1,5,3,3,3,3,3,1,1,1,1,3
85202,2,2,1,5,1,4,4,1,2,5,1,1,1,1
51587,3,1,3,1,5,1,3,3,3,1,1,1,1,1
30223,5,3,5,3,5,5,3,3,1,5,1,2,3,1
93102,4,1,3,3,3,1,5,1,2,5,1,1,1,1
118671,2,3,3,4,3,4,1,4,4,2,2,1,2,1
49250,5,5,4,4,1,4,2,3,3,5,4,3,4,1
26830,5,3,1,3,3,1,5,3,3,5,1,1,1,1
81175,2,2,1,4,5,4,2,1,5,5,1,1,1,1
86952,1,1,1,3,1,1,2,4,5,3,1,1,1,1
133271,5,1,4,2,1,1,3,4,3,5,1,1,1,1
95102,3,4,4,3,2,4,4,4,5,5,1,2,2,1
9939,3,1,3,3,5,5,1,1,3,1,1,1,1,2
24647,5,1,5,1,1,3,1,5,1,1,1,1,1,4
35270,5,5,5,5,3,5,1,5,5,1,2,4,5,1
69873,2,1,1,2,1,3,4,4,4,1,1,1,1,2
4080,1,1,5,3,5,5,1,5,3,3,1,1,1,1
41446,1,1,1,2,2,2,5,3,2,2,1,1,1,1
24764,5,1,5,1,3,1,1,3,5,5,1,1,1,3
4711,1,3,1,1,1,3,5,3,1,1,1,1,1,1
52027,4,1,2,3,3,2,3,2,4,5,1,1,1,1
10485,3,1,3,5,5,5,1,3,1,3,1,1,1,5
48221,3,4,3,4,1,2,2,4,4,4,3,2,2,1
57421,1,2,2,4,2,3,4,5,1,2,1,1,1,1
18921,3,5,3,3,1,1,1,3,1,1,3,2,3,1
56476,1,1,4,3,5,5,3,3,1,2,1,1,1,1
57780,3,5,1,2,3,1,1,3,3,1,3,1,1,1
22325,5,1,1,3,3,3,5,3,3,3,1,1,1,5
48622,5,1,2,2,5,3,5,3,3,3,1,1,1,1
67578,1,1,5,3,5,4,5,1,5,1,1,1,1,1
55245,1,4,1,5,3,1,3,4,4,2,2,1,1,1
124389,4,1,1,4,2,3,4,5,4,2,1,1,1,1
4645,1,3,1,1,1,1,1,3,5,3,1,1,1,1
31969,5,5,1,5,1,5,3,5,3,3,3,1,1,1
49009,5,4,3,4,3,4,1,2,2,2,2,1,2,1
114266,4,4,4,4,1,1,3,3,4,2,2,4,4,1
77496,4,1,2,3,5,1,1,5,1,4,1,1,1,1
48766,4,5,2,3,4,3,5,4,2,3,2,2,2,1
104196,4,5,3,3,4,1,1,1,1,4,3,2,2,1
12518,3,3,1,1,5,1,5,5,5,1,2,1,1,1
93203,4,1,1,1,1,3,1,3,5,4,1,1,1,1
56224,5,5,1,3,2,2,5,5,5,5,2,1,1,1
7815,3,1,1,1,5,3,3,1,1,1,1,1,1,2
57524,5,3,5,4,4,5,2,4,5,3,1,2,3,1
9590,3,1,3,3,1,5,1,5,1,5,1,1,1,4
123490,4,5,1,5,1,3,5,1,5,3,1,1,1,1
43824,2,1,1,3,5,4,3,2,3,3,1,1,1,1
41937,1,4,3,1,3,4,2,1,4,5,2,2,2,1
126853,3,2,4,1,5,3,5,3,1,5,1,2,2,1
142190,2,5,4,1,1,5,5,1,3,3,3,2,3,1
28636,5,3,3,3,5,5,1,1,5,5,1,1,2,1
135705,2,3,4,4,5,3,5,5,1,1,2,2,2,1
55788,5,2,1,1,1,1,4,5,4,1,1,1,1,1
53860,3,1,3,3,2,2,4,1,3,5,1,1,1,1
2182,1,1,3,3,1,5,3,1,1,1,1,1,1,1
109011,4,4,4,2,1,2,1,3,1,4,3,2,3,1
33328,5,5,3,3,5,5,1,1,3,1,2,2,3,1
75237,2,1,1,3,5,2,3,3,1,1,1,1,1,1
2547,1,1,3,3,5,5,1,5,1,1,1,1,1,1
82298,2,4,3,3,3,5,5,2,4,4,2,2,2,1
55456,2,3,1,5,3,1,3,5,3,3,2,1,1,1
87488,5,5,2,3,3,2,4,5,5,5,1,1,2,1
97135,5,4,2,4,2,1,1,2,5,4,1,1,2,1
4973,1,3,1,1,5,5,3,3,3,1,1,1,1,1
123329,1,2,3,1,3,3,5,2,5,3,1,1,2,1
103512,3,2,2,3,5,2,3,1,1,3,1,1,1,1
80603,3,1,5,3,5,2,4,2,5,5,1,1,1,2
76164,4,1,2,5,3,1,1,4,4,2,1,1,1,1
127909,2,3,3,2,2,2,3,2,5,4,2,1,2,1
114018,3,5,1,1,2,3,5,3,1,5,2,1,1,1
45246,4,3,1,5,5,4,4,3,1,3,2,1,1,1
5917,1,3,3,3,1,1,3,5,5,3,1,1,2,1
43775,2,5,1,2,4,1,5,4,2,5,2,1,1,1
30187,5,3,5,3,5,3,5,3,5,1,1,2,3,1
141927,1,4,1,3,1,3,4,2,3,1,3,1,1,1
41712,5,5,4,5,4,3,4,1,1,2,3,3,4,1
71935,1,5,1,4,3,5,2,3,5,3,1,1,1,1
127890,2,3,1,2,2,3,3,5,2,1,1,1,1,1
98616,3,1,1,2,5,5,3,2,2,2,1,1,1,2
134762,2,1,2,5,2,3,2,5,2,2,1,1,1,1
121871,4,4,4,3,4,3,1,1,3,5,2,2,3,1
127769,4,4,5,1,3,1,4,2,2,3,2,3,4,1
38988,4,2,2,1,3,5,1,2,4,3,1,1,1,1
80237,5,2,1,2,3,4,4,2,4,3,1,1,1,1
84719,3,1,1,3,2,2,2,3,3,2,1,1,1,1
20375,3,5,5,1,5,1,5,1,3,3,2,5,5,1
17555,3,5,1,3,3,1,1,5,5,5,2,1,1,1
62648,4,4,5,3,1,4,5,4,1,1,2,3,3,1
34752,5,5,5,3,3,5,3,3,5,5,2,4,5,1
74844,5,1,5,2,5,3,2,2,2,3,1,1,1,1
69222,2,4,2,5,2,4,4,5,1,4,3,1,2,1
138623,1,1,3,5,5,3,4,3,2,1,1,1,1,1
44718,3,3,1,5,4,2,3,3,3,1,2,1,1,1
84717,4,4,1,1,1,3,2,4,3,1,1,1,1,1
28538,5,3,3,3,5,1,3,3,3,5,1,1,2,1
100334,4,1,4,4,4,5,1,5,4,1,1,1,1,1
67884,2,4,4,5,4,4,4,5,3,1,1,2,3,1
71890,2,4,4,3,2,2,3,1,4,5,2,3,3,1
68883,4,5,3,3,3,1,2,3,1,1,2,2,2,1
131078,5,4,4,1,3,3,3,3,4,3,2,2,3,1
129632,1,3,5,3,2,3,5,3,5,5,1,2,3,1
14536,3,3,3,3,3,5,3,3,5,3,1,2,2,1
20613,3,5,5,3,1,3,5,5,5,1,3,5,5,1
104860,4,1,1,1,4,2,2,5,2,4,1,1,1,1
80602,3,3,4,5,1,2,4,1,2,2,2,2,2,1
81876,4,4,1,1,1,3,2,3,1,2,2,1,1,1
132618,5,5,3,5,5,4,3,3,4,1,1,2,3,1
38030,4,1,3,2,4,1,1,1,1,3,1,1,1,1
46448,3,4,4,1,1,3,3,4,1,1,3,3,3,1
120285,3,5,4,2,4,2,1,1,1,5,2,3,4,1
71428,5,2,3,2,5,1,2,4,4,1,1,1,1,1
37772,5,1,1,2,5,5,5,2,5,5,1,1,1,1
138297,2,2,5,1,4,3,5,2,2,4,1,2,2,1
102419,4,1,4,2,1,4,1,1,3,2,1,1,1,1
128240,2,5,1,3,1,4,3,1,2,5,1,1,1,1
119215,4,4,1,3,3,3,1,1,2,1,2,1,1,1
32780,5,5,3,1,5,3,3,1,1,5,2,2,3,1
86700,3,2,4,1,2,2,2,5,4,4,2,2,2,1
43984,2,2,5,3,2,4,4,3,4,3,1,2,2,1
64369,3,3,5,1,2,4,1,5,5,2,1,2,3,1
494,1,1,1,1,5,5,5,3,5,5,1,1,1,1
40185,3,3,1,3,2,3,4,1,3,1,1,1,1,1
71117,4,2,4,5,1,3,4,4,2,3,1,1,1,1
24318,5,1,3,5,3,3,3,3,1,1,1,1,1,3
60087,2,5,3,2,3,4,3,2,3,2,2,2,3,1
139142,5,1,2,4,3,3,1,4,3,1,1,1,1,2
26749,5,3,1,3,1,5,3,3,3,3,2,1,1,1
33248,5,5,3,3,5,1,3,3,3,3,2,2,3,1
86645,1,2,5,4,1,1,3,1,5,2,1,1,2,1
124212,3,5,5,4,1,4,3,5,4,2,3,4,4,1
64526,1,4,1,5,1,4,3,5,4,2,2,1,1,1
44797,4,2,1,5,1,2,1,3,1,2,2,1,1,1
122427,3,4,3,2,4,2,5,4,3,5,1,2,2,1
125887,4,3,4,3,3,3,2,5,1,2,2,2,2,1
83897,2,2,1,3,3,2,5,1,2,1,1,1,1,1
129407,1,5,2,2,5,3,5,2,1,2,3,2,2,1
81470,1,1,3,4,4,3,5,2,3,3,1,1,1,1
143117,1,2,5,5,2,2,4,5,5,5,1,1,1,1
104684,4,2,4,1,4,5,2,4,1,4,1,1,2,1
86088,3,2,1,3,3,3,4,1,4,1,1,1,1,1
35141,5,5,5,5,3,1,1,3,3,5,2,4,5,1
114877,4,2,2,2,5,1,4,4,2,3,1,1,1,1
75650,4,5,1,5,4,1,2,4,1,3,2,1,1,1
131563,2,5,3,1,2,5,2,4,3,3,2,2,2,1
85038,2,2,2,3,3,2,2,4,1,2,1,1,1,1
104185,4,4,3,2,1,5,4,4,2,1,1,2,2,1
45864,4,2,2,4,5,5,4,5,4,4,1,1,1,1
121056,3,1,3,2,2,1,3,5,1,1,1,1,1,1
92436,3,2,1,3,3,1,3,5,3,4,1,1,1,1
73083,2,1,5,2,4,4,4,3,5,3,1,1,1,1
90253,2,2,3,3,4,4,1,2,3,1,1,1,1,1
131669,4,4,3,1,4,2,4,2,5,5,1,2,2,1
68193,4,3,2,5,5,2,2,3,5,3,1,1,1,1
85471,1,1,4,1,1,1,3,5,4,5,1,1,1,1
140470,4,1,1,4,5,4,3,5,5,1,1,1,1,1
135162,4,5,4,5,2,1,5,1,5,4,2,4,4,1
45544,4,2,1,1,1,2,2,5,1,2,2,1,1,1
78241,1,3,4,5,3,4,2,4,2,2,2,2,2,1
70382,1,2,1,5,3,4,3,3,3,4,2,1,1,1
139916,4,2,3,1,1,1,5,1,4,4,1,1,1,1
35859,4,3,2,1,2,4,4,4,1,1,2,1,2,1
5538,1,3,3,1,1,1,1,5,1,1,1,1,2,1
118559,5,3,2,3,3,4,5,2,5,1,1,1,1,1
100310,2,5,2,1,1,2,4,2,4,3,2,2,2,1
22089,5,1,1,3,1,1,3,1,1,5,1,1,1,4
116954,3,1,1,5,3,2,1,3,1,2,1,1,1,1
121482,3,3,2,3,3,1,4,4,5,3,1,1,2,1
93479,2,1,1,2,5,1,4,2,3,3,1,1,1,1
100411,3,5,2,3,4,1,5,4,1,4,3,2,2,1
29127,5,3,3,5,5,3,3,3,5,3,1,1,2,1
84223,2,2,5,2,1,1,5,4,2,2,1,1,2,1
130520,2,5,3,2,4,2,2,2,1,4,3,2,3,1
28457,5,3,3,3,3,5,1,3,5,3,1,1,2,1
24915,5,1,5,1,3,5,5,5,3,5,1,1,1,3
3345,1,1,5,1,3,3,1,5,1,3,1,1,1,1
13463,3,3,1,5,3,3,5,5,1,1,2,1,1,1
71377,1,4,5,2,3,4,3,2,4,5,2,2,3,1
118392,3,2,3,5,5,3,3,3,1,3,1,1,2,1
40548,4,2,1,4,1,3,1,2,5,2,1,1,1,1
42958,5,2,2,3,5,4,5,5,1,4,1,1,1,1
99333,2,5,4,1,4,3,2,2,1,1,3,3,4,1
31481,5,5,1,3,3,1,1,3,1,3,2,1,1,1
77493,5,4,4,2,3,5,1,3,1,4,2,2,3,1
139420,3,4,1,4,2,1,2,1,5,1,2,1,1,1
135311,2,4,5,4,4,5,1,1,1,5,1,3,3,1
68284,5,5,1,4,4,5,3,3,5,3,1,1,1,1
85533,4,4,2,4,5,3,3,2,3,2,1,2,2,1
114443,5,3,4,1,5,3,5,2,2,4,1,2,3,1
93766,2,4,4,4,1,2,1,3,4,5,2,2,2,1
116805,1,3,3,5,4,3,5,4,5,4,1,1,2,1
83233,1,1,5,2,4,4,1,4,1,1,1,1,1,1
22288,5,1,1,3,3,3,1,3,5,5,1,1,1,3
100288,4,4,2,2,4,2,3,3,4,2,2,1,2,1
31129,5,5,1,1,5,1,1,3,3,1,2,1,1,1
100054,4,5,1,5,1,3,4,1,2,5,1,1,1,1
59459,3,1,5,2,4,1,3,3,1,1,1,1,1,1
53120,4,3,3,1,3,3,3,2,4,4,2,1,2,1
25234,5,1,5,3,1,5,3,5,5,3,1,1,1,5
66616,5,3,1,1,5,4,5,2,2,1,1,1,1,1
81773,3,5,1,4,1,5,3,4,5,2,2,1,1,1
30119,5,3,5,3,5,1,3,5,5,5,1,2,3,1
30563,5,3,5,5,3,5,1,5,5,3,1,2,3,1
111873,3,5,5,4,5,2,1,2,3,1,2,3,4,1
49861,1,4,1,2,3,4,2,4,4,2,2,1,1,1
65656,1,3,3,2,5,5,4,3,1,4,1,1,2,1
30999,5,5,1,1,3,1,5,3,3,3,2,1,1,1
2704,1,1,3,5,1,3,5,5,3,1,1,1,1,1
75467,5,4,2,4,3,5,2,4,3,4,2,1,2,1
83029,1,4,1,1,1,2,3,5,3,5,2,1,1,1
51887,3,4,2,2,2,2,5,4,3,3,2,1,1,1
52061,2,2,2,2,3,2,5,3,4,5,1,1,1,1
53692,4,2,2,2,5,2,5,5,5,4,1,1,1,1
102881,4,3,5,4,4,3,1,2,2,5,1,2,3,1
57118,4,5,1,5,4,5,1,1,3,4,1,1,1,1
66211,2,2,4,4,5,2,1,4,3,1,1,1,2,1
78457,5,3,5,4,1,5,3,4,5,3,1,3,3,1
61967,3,2,3,4,2,1,5,1,2,3,1,1,2,1
