i,r̄,Mfac,rFac,f1,f2,f3,f4,pa,Sα,singlePeak,doublePeak,rotation,phaseAmplitude,t_char,rBLR,FHWM
45.0,500.0,0.05,2.0,0.5,0.5,0.5,1.0,0.0,0.0,False,True,cw,493993092959264.5,1.0413092043792809,1.486977189092682,13800.000000000013
45.0,500.0,0.05,2.0,0.5,0.5,0.5,1.0,180.0,2.0,True,False,ccw,479029076378548.6,1.041308957834839,1.4869814210132837,14400.000000000013
45.0,500.0,0.05,2.0,0.5,0.5,1.0,0.0,180.0,0.0,False,True,ccw,436765270518140.6,1.1437625233287911,1.4869933282277965,12600.000000000013
45.0,500.0,0.05,2.0,0.5,0.5,1.0,0.5,0.0,-2.0,False,True,cw,482026758839984.1,1.2650165201814294,1.4869651647785955,12899.999999999978
45.0,500.0,0.05,2.0,0.5,0.5,1.0,0.5,180.0,2.0,True,False,ccw,449596776890420.1,1.2648625851215425,1.4869604087608272,13499.999999999978
45.0,500.0,0.05,2.0,0.5,0.5,1.0,1.0,0.0,-2.0,False,True,cw,512970988965109.06,1.2245626427534355,1.4869891330774263,13200.000000000013
45.0,500.0,0.05,2.0,0.5,0.5,1.0,1.0,180.0,0.0,False,True,ccw,501474757302906.06,1.2245362376333535,1.4869772925851614,13800.000000000013
45.0,500.0,0.05,2.0,0.5,0.5,1.0,1.0,360.0,2.0,True,False,cw,479072577130549.9,1.224506845346243,1.486981522843163,14400.000000000013
45.0,500.0,0.05,2.0,0.5,1.0,0.0,0.0,180.0,-2.0,False,True,ccw,295724037906060.5,0.8576403934488602,1.4870813382890942,12000.000000000013
45.0,500.0,0.05,2.0,0.5,1.0,0.0,0.5,0.0,0.0,False,True,cw,411436062004062.1,0.8577481054994107,1.4870136734862804,13200.000000000013
45.0,500.0,0.05,2.0,0.5,1.0,0.0,0.5,360.0,-2.0,False,True,cw,456646972472840.25,0.8576784705215038,1.4870219873646058,13200.000000000013
45.0,500.0,0.05,2.0,0.5,1.0,0.0,1.0,0.0,2.0,True,False,cw,453699828134104.1,0.8577986258503623,1.4869814210132837,14400.000000000013
45.0,500.0,0.05,2.0,0.5,1.0,0.0,1.0,360.0,-2.0,False,True,cw,494963023790933.6,0.8576967193291775,1.486989034373507,13200.000000000013
45.0,500.0,0.05,2.0,0.5,1.0,0.5,0.0,0.0,0.0,True,False,cw,372818421902406.8,1.1564871859973254,1.486982693249032,11400.000000000013
45.0,500.0,0.05,2.0,0.5,1.0,0.5,0.0,360.0,0.0,True,False,cw,372818421902406.8,1.1564871859973254,1.486982693249032,11400.000000000013
45.0,500.0,0.05,2.0,0.5,1.0,0.5,0.5,0.0,2.0,False,True,cw,405815172298600.5,1.109105763824363,1.4870087446491718,13800.000000000013
45.0,500.0,0.05,2.0,0.5,1.0,0.5,0.5,360.0,-2.0,False,True,cw,458904299251188.56,1.1090251806116045,1.4870140493804953,13200.000000000013
45.0,500.0,0.05,2.0,0.5,1.0,0.5,1.0,180.0,-2.0,False,True,ccw,494918756023171.25,1.041266086427479,1.486989034373507,13200.000000000013
45.0,500.0,0.05,2.0,0.5,1.0,0.5,1.0,360.0,0.0,False,True,cw,471637554179259.25,1.041289271874504,1.4869771890926815,13800.000000000013
45.0,500.0,0.05,2.0,0.5,1.0,1.0,0.0,360.0,-2.0,True,False,cw,414660337273451.1,1.1438077417443957,1.4869344214676932,10199.999999999942
45.0,500.0,0.05,2.0,0.5,1.0,1.0,0.5,0.0,0.0,True,False,cw,427001404150955.4,1.2219791578600483,1.4869302623863565,12600.000000000013
45.0,500.0,0.05,2.0,0.5,1.0,1.0,0.5,360.0,-2.0,False,True,cw,452341426141148.7,1.222049991369109,1.486937244681498,12899.999999999978
45.0,500.0,0.05,2.0,0.5,1.0,1.0,1.0,180.0,-2.0,True,False,ccw,495865881417126.6,1.203647600977375,1.4869693142334908,13200.000000000013
45.0,500.0,0.05,2.0,0.5,1.0,1.0,1.0,360.0,2.0,True,False,cw,452289193278714.5,1.203604194178934,1.486961915059895,13800.000000000013
45.0,500.0,0.05,2.0,1.0,0.0,0.0,0.0,180.0,0.0,False,True,ccw,318313265524620.3,0.8578531252742596,1.4870989333391365,10800.00000000001
45.0,500.0,0.05,2.0,1.0,0.0,0.0,0.0,360.0,2.0,False,True,cw,315628336034147.25,0.8578530950544082,1.487098880952653,10800.00000000001
45.0,500.0,0.05,2.0,1.0,0.0,0.0,0.5,180.0,2.0,False,True,ccw,396555730249290.5,0.857823422746918,1.487047443643027,12599.999999999944
45.0,500.0,0.05,2.0,1.0,0.0,0.0,1.0,180.0,-2.0,False,True,ccw,518725583782718.9,0.857808737948542,1.4870219873646058,13200.000000000013
45.0,500.0,0.05,2.0,1.0,0.0,0.5,0.0,0.0,2.0,False,True,cw,319578827667077.8,1.0692582278643123,1.487093391188731,10800.00000000001
45.0,500.0,0.05,2.0,1.0,0.0,0.5,0.0,360.0,2.0,False,True,cw,319578827667077.75,1.0692582278643123,1.487093391188731,10800.00000000001
45.0,500.0,0.05,2.0,1.0,0.0,0.5,0.5,180.0,2.0,False,True,ccw,397630670296722.8,1.0185525972305598,1.4870474436430272,12599.999999999944
45.0,500.0,0.05,2.0,1.0,0.0,0.5,1.0,0.0,-2.0,False,True,cw,518701948885188.06,0.9863610672502386,1.4870219873646058,13200.000000000013
45.0,500.0,0.05,2.0,1.0,0.0,0.5,1.0,360.0,-2.0,False,True,cw,518701948885188.0,0.9863610672502386,1.4870219873646058,13200.000000000013
45.0,500.0,0.05,2.0,1.0,0.0,1.0,0.0,0.0,0.0,False,True,cw,411390245297730.6,1.237498199409716,1.4870771754699812,12000.000000000013
45.0,500.0,0.05,2.0,1.0,0.0,1.0,0.0,360.0,-2.0,False,True,cw,424026544380847.0,1.2375138995540322,1.4870772172137603,12000.000000000013
45.0,500.0,0.05,2.0,1.0,0.0,1.0,0.5,0.0,2.0,False,True,cw,403603721969466.0,1.1792817717142012,1.4870474436430272,12599.999999999944
45.0,500.0,0.05,2.0,1.0,0.0,1.0,0.5,360.0,2.0,False,True,cw,403603721969465.9,1.1792817717142012,1.4870474436430272,12599.999999999944
45.0,500.0,0.05,2.0,1.0,0.0,1.0,1.0,180.0,0.0,False,True,ccw,492421062198834.56,1.1148859149121635,1.4870136734862804,13200.000000000013
45.0,500.0,0.05,2.0,1.0,0.5,0.0,0.0,0.0,-2.0,False,True,cw,279449993720216.3,0.8577980812914084,1.487097912865785,10800.00000000001
45.0,500.0,0.05,2.0,1.0,0.5,0.0,0.0,180.0,2.0,False,True,ccw,276174794029878.9,0.8578600034937226,1.4870978076389416,10800.00000000001
45.0,500.0,0.05,2.0,1.0,0.5,0.0,0.5,0.0,2.0,False,True,cw,371629247338836.6,0.8578292422469861,1.4870474436430272,12599.999999999944
45.0,500.0,0.05,2.0,1.0,0.5,0.0,0.5,360.0,0.0,False,True,cw,389459944361421.75,0.8578049175691709,1.4870456246502204,12599.999999999944
45.0,500.0,0.05,2.0,1.0,0.5,0.0,1.0,0.0,2.0,False,True,cw,448410072694057.9,0.8578102938470646,1.4870166175531965,13800.000000000013
45.0,500.0,0.05,2.0,1.0,0.5,0.0,1.0,360.0,0.0,False,True,cw,469354892839509.2,0.8577899828564224,1.4870136734862804,13200.000000000013
45.0,500.0,0.05,2.0,1.0,0.5,0.5,0.0,180.0,0.0,False,True,ccw,309248847257615.75,1.0665086197748137,1.487093208163522,11099.999999999976
45.0,500.0,0.05,2.0,1.0,0.5,0.5,0.5,0.0,-2.0,False,True,cw,414208572420621.6,1.0185339320077218,1.4870508438638643,12599.999999999944
45.0,500.0,0.05,2.0,1.0,0.5,0.5,0.5,180.0,2.0,False,True,ccw,371537862903710.4,1.0185584167306276,1.4870474436430272,12599.999999999944
45.0,500.0,0.05,2.0,1.0,0.5,0.5,1.0,0.0,2.0,False,True,cw,448321802434109.4,0.98633692540167,1.4870166175531965,13800.000000000013
45.0,500.0,0.05,2.0,1.0,0.5,0.5,1.0,360.0,-2.0,False,True,cw,503182296057718.3,0.9863285003934792,1.4870219873646058,13200.000000000013
45.0,500.0,0.05,2.0,1.0,0.5,1.0,0.0,0.0,0.0,False,True,cw,420356501599075.1,1.230255258919403,1.4870528959654146,12000.000000000013
45.0,500.0,0.05,2.0,1.0,0.5,1.0,0.0,180.0,2.0,False,True,ccw,402476608683918.9,1.2302442261843591,1.4870528544535315,12000.000000000013
45.0,500.0,0.05,2.0,1.0,0.5,1.0,0.5,0.0,0.0,False,True,cw,396101094731593.2,1.1781078891768444,1.4870453541037063,12599.999999999944
45.0,500.0,0.05,2.0,1.0,0.5,1.0,0.5,180.0,2.0,False,True,ccw,380333573781241.4,1.1781095500011405,1.4870471705437602,12599.999999999944
45.0,500.0,0.05,2.0,1.0,0.5,1.0,1.0,0.0,-2.0,False,True,cw,503158661160187.0,1.1148808296951758,1.4870219873646058,13200.000000000013
45.0,500.0,0.05,2.0,1.0,0.5,1.0,1.0,180.0,0.0,False,True,ccw,474457712274635.25,1.1148719557931592,1.4870136734862804,13200.000000000013
45.0,500.0,0.05,2.0,1.0,1.0,0.0,0.0,0.0,-2.0,False,True,cw,239528566045899.6,0.8577412254981756,1.487093928786154,10800.00000000001
45.0,500.0,0.05,2.0,1.0,1.0,0.0,0.0,360.0,0.0,False,True,cw,238734949143465.2,0.8578028643619693,1.487093875731577,11400.000000000013
45.0,500.0,0.05,2.0,1.0,1.0,0.0,0.5,0.0,2.0,False,True,cw,346702764428382.5,0.8578350617470542,1.4870474436430272,12599.999999999944
45.0,500.0,0.05,2.0,1.0,1.0,0.0,0.5,360.0,0.0,False,True,cw,363753481933173.7,0.8577874617020168,1.4870456246502208,12599.999999999944
45.0,500.0,0.05,2.0,1.0,1.0,0.0,1.0,0.0,2.0,False,True,cw,428758474146367.3,0.857814947393899,1.4870166175531965,13800.000000000013
45.0,500.0,0.05,2.0,1.0,1.0,0.0,1.0,360.0,-2.0,False,True,cw,487686278127779.75,0.8577436042350225,1.4870219873646058,13200.000000000013
45.0,500.0,0.05,2.0,1.0,1.0,0.5,0.0,0.0,2.0,False,True,cw,293525076782287.3,1.0588653517903197,1.4870838447744308,11400.000000000013
45.0,500.0,0.05,2.0,1.0,1.0,0.5,0.0,360.0,-2.0,False,True,cw,324735892923921.7,1.0587618084079782,1.4870839422395865,11400.000000000013
45.0,500.0,0.05,2.0,1.0,1.0,0.5,0.5,0.0,0.0,False,True,cw,363783500477725.9,1.018527862512748,1.4870456246502206,12599.999999999944
45.0,500.0,0.05,2.0,1.0,1.0,0.5,0.5,180.0,2.0,False,True,ccw,346611379993255.8,1.0185642362306957,1.4870474436430268,12599.999999999944
45.0,500.0,0.05,2.0,1.0,1.0,0.5,1.0,0.0,2.0,False,True,cw,428670203886417.4,0.9863415789485038,1.487016617553196,13800.000000000013
45.0,500.0,0.05,2.0,1.0,1.0,0.5,1.0,360.0,0.0,False,True,cw,450899475336132.3,0.986317010205787,1.4870136734862804,13200.000000000013
45.0,500.0,0.05,2.0,1.0,1.0,1.0,0.0,0.0,2.0,False,True,cw,406464012237448.8,1.210916644073462,1.487029270115795,12000.000000000013
45.0,500.0,0.05,2.0,1.0,1.0,1.0,0.0,360.0,-2.0,False,True,cw,437248848296464.6,1.2109314513878917,1.4870293321335208,12000.000000000013
45.0,500.0,0.05,2.0,1.0,1.0,1.0,0.5,0.0,2.0,False,True,cw,380518503014585.9,1.1687887017584606,1.487036550869357,12899.999999999978
45.0,500.0,0.05,2.0,1.0,1.0,1.0,0.5,360.0,-2.0,False,True,cw,422956395915142.8,1.1687580191972533,1.4870398784682504,12599.999999999944
45.0,500.0,0.05,2.0,1.0,1.0,1.0,1.0,0.0,2.0,False,True,cw,428581933626468.1,1.1148682105031091,1.4870166175531965,13800.000000000013
45.0,500.0,0.05,2.0,1.0,1.0,1.0,1.0,360.0,-2.0,False,True,cw,487639008332717.9,1.1148482628384166,1.4870219873646058,13200.000000000013
45.0,500.0,0.05,51.0,0.0,0.0,0.0,0.5,0.0,2.0,False,True,cw,514049645976444.4,0.8581931757495517,1.4876884150163483,20400.00000000002
45.0,500.0,0.05,51.0,0.0,0.0,0.0,1.0,0.0,-2.0,False,True,cw,580342650105721.5,0.8574358479918253,1.4863755780428367,12599.999999999944
45.0,500.0,0.05,51.0,0.0,0.0,0.0,1.0,180.0,2.0,False,True,ccw,514049645976444.4,0.8581931757495517,1.4876884150163483,20400.00000000002
45.0,500.0,0.05,51.0,0.0,0.0,0.5,0.0,0.0,-2.0,False,True,cw,476427826955907.5,0.8578389005768411,1.487074274651379,12599.999999999944
45.0,500.0,0.05,51.0,0.0,0.0,0.5,0.0,180.0,2.0,False,True,ccw,355129823972686.5,0.8584386631757788,1.4881139704860846,14999.999999999947
45.0,500.0,0.05,51.0,0.0,0.0,0.5,0.5,0.0,-2.0,False,True,cw,556299699441654.9,1.104335223970459,1.4866411426155963,12599.999999999944
45.0,500.0,0.05,51.0,0.0,0.0,0.5,0.5,180.0,2.0,False,True,ccw,421517818607395.9,1.105002549211639,1.4879401432590167,17399.99999999995
45.0,500.0,0.05,51.0,0.0,0.0,0.5,1.0,0.0,0.0,True,False,cw,604434231664509.4,1.1704244430100026,1.486365352841475,29699.999999999996
45.0,500.0,0.05,51.0,0.0,0.0,0.5,1.0,180.0,2.0,False,True,ccw,579088486461608.2,1.1711494039784671,1.4877155872084344,20400.00000000002
45.0,500.0,0.05,51.0,0.0,0.0,1.0,0.0,0.0,2.0,False,True,cw,355129823972686.5,0.8584386631757788,1.4881139704860846,14999.999999999947
45.0,500.0,0.05,51.0,0.0,0.0,1.0,0.0,360.0,-2.0,False,True,cw,476427826955907.4,0.8578389005768411,1.487074274651379,12599.999999999944
45.0,500.0,0.05,51.0,0.0,0.0,1.0,0.5,180.0,-2.0,False,True,ccw,512893477848158.9,0.9954415926353278,1.4868669477730263,12599.999999999944
45.0,500.0,0.05,51.0,0.0,0.0,1.0,0.5,360.0,2.0,False,True,cw,369264731773094.4,0.9961396243606911,1.4880403141659595,15600.000000000016
45.0,500.0,0.05,51.0,0.0,0.0,1.0,1.0,180.0,2.0,False,True,ccw,421517818607395.9,1.105002549211639,1.4879401432590167,17399.99999999995
45.0,500.0,0.05,51.0,0.0,0.5,0.0,0.0,0.0,0.0,True,False,cw,580865192846328.5,0.857826248592086,1.4870523422803474,29699.999999999996
45.0,500.0,0.05,51.0,0.0,0.5,0.0,0.0,180.0,2.0,False,True,ccw,519469922431314.0,0.8580148557062568,1.48737929503023,18000.000000000015
45.0,500.0,0.05,51.0,0.0,0.5,0.0,0.5,180.0,-2.0,False,True,ccw,529201040740288.9,0.8576815042571738,1.4863755780428365,12599.999999999944
45.0,500.0,0.05,51.0,0.0,0.5,0.0,1.0,0.0,-2.0,False,True,cw,554771845423004.6,0.8575586761244995,1.4863755780428365,12599.999999999944
45.0,500.0,0.05,51.0,0.0,0.5,0.0,1.0,180.0,0.0,True,False,ccw,562107062140703.0,0.8574781631753537,1.4863574192249405,29699.999999999996
45.0,500.0,0.05,51.0,0.0,0.5,0.5,0.0,0.0,0.0,True,False,cw,437492910262500.9,0.8579875103820865,1.487331891574781,18300.00000000005
45.0,500.0,0.05,51.0,0.0,0.5,0.5,0.0,360.0,2.0,False,True,cw,324735201851996.25,0.8584154045723229,1.4880736514112092,12600.000000000013
45.0,500.0,0.05,51.0,0.0,0.5,0.5,0.5,180.0,-2.0,False,True,ccw,505932289230076.25,1.0918566151781584,1.4867825856301515,12599.999999999944
45.0,500.0,0.05,51.0,0.0,0.5,0.5,1.0,0.0,-2.0,False,True,cw,554506035960014.8,1.151606435918708,1.4864163147942866,12599.999999999944
45.0,500.0,0.05,51.0,0.0,0.5,0.5,1.0,180.0,2.0,False,True,ccw,518278076258593.9,1.1519524985388494,1.4877058450788958,20099.999999999985
45.0,500.0,0.05,51.0,0.0,0.5,1.0,0.0,0.0,-2.0,False,True,cw,433043392829909.7,0.8578922984095538,1.4871668404505003,12000.000000000013
45.0,500.0,0.05,51.0,0.0,0.5,1.0,0.0,180.0,2.0,False,True,ccw,342755597311939.5,0.8584270334682308,1.4880938102451526,14399.999999999944
45.0,500.0,0.05,51.0,0.0,0.5,1.0,0.5,180.0,-2.0,False,True,ccw,476270807984957.1,0.9949772116965028,1.4869646987706746,12299.999999999978
45.0,500.0,0.05,51.0,0.0,0.5,1.0,1.0,0.0,0.0,True,False,cw,558282211946797.75,1.101250563112101,1.4867311923156925,29699.999999999996
