,class,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,u,g,r,i,z,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z
784439,STAR,8.051753e-06,128.3882,132.8507,39.39865,78.44171,18.81242,17.68949,17.34024,17.20631,17.17152,1.505671,1.362691,1.284287,1.176644,26.23275
91948,QSO,1.58686,2.539591,2.811095,0.9308777,1.228842,21.96,21.86513,21.64578,21.60055,21.24505,1.057878,1.496273,1.480854,1.67358,0.4855989
713312,STAR,-0.0007246361,80.82988,86.19611,16.50434,40.11739,19.82017,18.49242,17.91261,17.69389,17.59243,7.495064,1.515879,1.345439,1.226528,7.545986
701512,STAR,0.001492287,9.007293,11.30471,0.3868178,0.5212874,24.76478,22.65844,20.73203,20.01797,19.93249,2.971402,1.162214,1.322032,1.083898,2.156935
117949,QSO,1.987013,3.08472,4.237971,3.568815,1.660792,20.81859,20.70053,20.70716,20.41149,20.36098,1.299397,1.266515,4.234777,1.086956,6.411926
1053117,GALAXY,0.04890132,104.3624,130.7546,12.40142,34.53666,19.94379,18.28606,17.53622,17.1659,16.90681,6.050739,2.779986,2.400621,2.133562,2.476454
1044956,GALAXY,0.3114348,12.34479,20.96905,0.1455011,1.01914,24.0825,20.93959,19.06968,18.2202,17.83649,0.6431228,2.97044,9.03935,7.940787,18.01719
424834,QSO,3.032752,3.318371,3.129076,1.577667,2.934674,22.05778,21.13808,20.96449,21.02602,20.81343,1.760754,1.507209,1.47981,1.098355,1.305865
1132169,GALAXY,0.4989191,7.284079,11.41233,0.4040681,0.9382468,22.75651,22.59571,20.83414,19.96442,19.53577,2.969747,2.970049,2.286126,2.187055,1.915216
639446,STAR,0.0003032135,4.763597,4.028052,2.559605,4.023634,21.71686,20.90856,20.66398,20.63745,20.6253,1.302922,1.224466,1.04868,0.9256557,0.7503036
56422,QSO,2.174624,25.97666,33.26263,9.889379,15.28226,19.93204,19.51916,19.23004,19.15036,18.84859,1.782824,1.600116,1.32255,1.249119,1.393502
692501,STAR,-0.000313234,18.4081,20.50559,2.34133,8.655642,21.81091,20.19296,19.49954,19.22503,19.12275,2.870932,1.627724,1.676196,1.50605,1.288866
1079291,GALAXY,0.1249949,129.758,178.0814,11.64596,30.23954,18.81593,17.14783,16.0845,15.62774,15.2493,106.7431,7.647225,8.342919,7.89559,6.678739
851503,STAR,0.0001104873,375.2865,439.9067,46.62902,140.0214,18.62401,17.124,16.39974,16.06985,15.87075,1.530551,1.412452,1.226173,1.269874,1.206761
377416,QSO,2.944157,6.665782,5.222762,2.145983,5.127234,23.02265,20.57477,20.3552,20.23302,20.36542,11.30612,1.257174,1.160521,1.246462,1.191458
1071149,GALAXY,0.5634218,3.859616,6.121423,-0.08496828,0.1883622,23.67282,21.98135,20.61796,19.69936,19.14534,0.9541041,2.970615,3.413783,3.311462,5.893341
797670,STAR,-0.0002571645,120.2349,131.6269,12.00958,49.04984,20.16802,18.26068,17.53806,17.29383,17.17309,1.241733,1.041196,0.8406253,0.9616704,0.8755353
1125014,GALAXY,0.1930366,70.345,89.02761,4.488554,14.84685,21.14245,18.83212,17.54836,17.07665,16.73969,43.77617,4.7176,4.977428,4.51989,4.285854
785432,STAR,-0.0002296475,11.97482,16.09904,-0.1090438,0.6944277,24.21483,21.82608,20.32998,19.8032,19.37025,0.4218915,1.299109,1.581361,1.295965,0.991676
198511,QSO,1.596639,13.66419,14.2489,9.444736,10.33227,20.30701,19.99372,19.87037,19.6247,19.64566,4.836612,1.197308,1.111449,1.020755,0.9160938
867229,STAR,0.0003114533,55.23196,56.56861,17.12569,36.11424,19.46062,18.53215,18.19442,18.04029,18.0294,1.735361,1.539333,1.470978,1.366287,1.429594
348423,QSO,2.335443,3.155282,4.044506,1.435332,3.199425,21.93712,20.94425,20.86939,21.00512,21.03815,1.80065,1.850172,1.40756,1.338693,2.189943
1046519,GALAXY,0.1091117,59.91204,67.46737,9.598354,26.89642,19.00158,17.72462,17.20355,16.903,16.77641,7.60322,7.178878,5.972723,5.136544,5.88255
1240468,GALAXY,0.1376061,72.7126,98.01341,6.941463,18.94045,19.35477,17.65755,16.73658,16.2906,15.96306,68.31652,6.822605,6.332788,6.2547,6.437665
224232,QSO,1.276781,5.241561,5.789981,2.085212,2.850103,22.01382,21.75875,21.07386,21.16848,21.08413,2.127541,1.319905,0.9805725,0.9818653,11.30596
1005616,GALAXY,0.5261373,12.55529,19.94121,0.3914328,1.213034,23.76117,21.43917,20.01166,19.15911,18.78787,0.08779328,2.970047,2.723355,3.117825,2.166989
1112191,GALAXY,0.0116455,81.52548,91.68833,32.56537,57.01789,17.89768,17.16,16.89924,16.85811,16.69291,3.405528,3.759558,4.107758,4.322816,4.955285
1214536,GALAXY,0.1547145,84.91669,110.8593,4.564585,17.48783,20.51421,18.40446,17.22149,16.75673,16.39935,27.92603,4.381907,4.490732,4.029966,3.727642
927428,GALAXY,0.4095051,13.34916,17.52448,1.1312,2.307406,20.74446,20.05711,18.91619,18.40504,18.02029,4.015485,4.912815,4.210245,4.01523,4.390917
580568,STAR,0.0005105185,421.6105,436.1444,173.2052,299.8972,17.18742,16.30581,15.9773,15.86176,15.83263,1.812258,1.50651,1.254549,1.185458,1.299323
653663,STAR,-4.75486e-05,182.7355,179.5312,66.77975,123.1312,17.89656,16.8875,16.54833,16.41303,16.41009,1.249178,1.32632,1.060015,1.086015,1.024968
424814,QSO,1.910223,15.89985,18.93845,5.716502,7.315583,20.27604,19.96902,19.72329,19.36168,19.0945,1.41429,1.187784,1.08382,1.035416,1.125357
738338,STAR,-0.0005347772,62.6077,63.52673,13.95762,34.60489,19.96073,18.60161,18.1239,17.98161,17.89702,1.864044,2.101846,1.783256,1.558132,1.776498
772686,STAR,-0.0005847218,89.78661,101.9878,20.01924,44.72032,20.48069,18.50681,18.12432,17.99684,17.96979,1.948533,1.423484,1.3428,11.08453,1.319042
881409,GALAXY,0.09047463,147.3194,206.738,10.49786,34.60386,19.09956,17.2432,16.28344,15.80037,15.43795,5.972178,5.772343,5.637959,5.401198,4.780449
848598,STAR,-0.0005167936,29.46833,30.89829,9.003021,16.89549,24.63464,19.90672,19.34216,19.48052,22.82689,2.969679,0.7512627,0.6375263,14.35221,2.970202
1216362,GALAXY,0.6888704,5.7022,10.88607,0.06578894,0.2753621,24.41632,22.95926,21.38853,19.89977,19.30051,2.970036,2.969754,2.750071,2.771624,1.793608
809319,STAR,-0.000287905,2.73577,5.885332,0.2130379,0.1661509,25.04145,25.11452,22.9802,21.11481,19.92251,2.969279,2.970339,1.151956,1.237722,1.093511
578417,STAR,-3.055006e-05,16.16722,17.49348,1.58196,6.278733,22.03021,20.48911,19.70213,19.38468,19.1753,1.301722,1.354823,1.070035,1.059303,0.9827271
369219,QSO,0.8619266,2.315969,3.409889,1.579905,1.868007,21.84512,21.76168,21.57157,21.34062,21.82074,2.332675,1.397366,1.105567,3.415363,1.97701
1058402,GALAXY,0.4579897,7.519399,11.14622,0.3657175,0.9192322,25.32519,22.54509,20.79839,19.91501,19.35452,2.970107,1.884533,1.802431,1.97001,3.453331
1184415,GALAXY,0.8008741,3.393376,6.675774,0.08771674,0.2368872,26.14674,23.48202,21.74636,20.44824,19.63893,2.96994,2.970964,1.632368,1.664286,1.686955
25737,QSO,1.128783,4.13497,5.287203,2.640698,2.945465,21.40562,21.29433,21.04641,20.91872,20.71894,1.086908,1.301475,1.13236,1.239172,3.480783
261896,QSO,1.502444,7.306318,7.213108,6.540294,5.758916,21.38734,21.55607,21.28979,20.90873,20.8565,1.8934,1.209332,1.282193,3.207041,1.159207
569374,STAR,-0.0002415577,664.7084,1134.851,7.128648,55.82689,20.91998,18.10973,16.75111,15.48334,15.00818,4.750149,1.3271,1.215955,1.251999,1.094898
234393,QSO,1.195526,2.180828,2.852632,0.6089585,1.022813,21.55894,21.64633,21.42567,21.44136,21.68933,1.322007,1.528066,1.089095,0.9554407,2.021568
1271707,GALAXY,0.362556,30.2597,43.62148,0.9332675,2.676767,23.11987,20.52037,18.70309,18.04227,17.6298,27.92707,3.885635,4.53354,4.167946,3.89917
837554,STAR,-0.000817146,23.3407,24.96001,5.305397,11.86797,21.08068,19.96099,19.59142,19.35934,19.2925,1.487479,1.441049,1.219789,1.178699,1.011272
758406,STAR,-5.987375e-06,40.32338,41.72668,8.632043,21.71689,20.48206,19.09884,18.60421,18.40916,18.34235,1.543614,1.642772,1.543257,1.347013,1.33678
1127392,GALAXY,0.465761,8.294142,13.04421,-0.1117165,0.5648301,26.52028,21.76448,19.95815,19.12704,18.73205,0.67431,2.970174,5.374175,3.335558,1.609018
160330,QSO,1.550924,85.75272,83.61026,68.77175,72.36175,18.1078,17.86313,17.83911,17.65852,17.66976,1.360293,1.296975,1.312243,1.194341,1.104568
1052687,GALAXY,0.4703035,12.69256,20.05806,0.1019982,1.015464,24.83385,21.61257,19.96704,19.13911,18.49819,2.970023,2.299241,2.162726,1.935675,2.636684
254960,QSO,0.8974612,5.364551,6.115194,2.973909,4.148041,22.14547,21.37558,21.32739,21.75305,20.95042,3.377615,1.546787,1.290176,1.242778,11.30662
1222310,GALAXY,0.5006123,8.599324,15.14749,0.1207278,0.5239471,25.29662,22.2897,20.70756,19.72921,19.15497,2.969946,1.870053,2.146581,2.290649,5.712193
802579,STAR,-0.0001223235,262.9244,413.2525,2.336111,24.57593,21.38689,18.9094,17.43405,16.40557,15.87403,1.807599,1.661465,1.43142,1.23347,1.288764
404082,QSO,2.520457,10.87371,11.696,9.30913,12.67435,20.62143,19.82675,19.65869,19.6933,19.50283,27.92182,1.406167,1.58116,1.478295,6.227369
984848,GALAXY,0.5183526,5.601029,9.134882,0.095006,0.4431113,26.06376,22.95325,21.13782,20.18709,19.84355,2.97017,2.970141,2.223619,3.568232,2.780133
303425,QSO,2.759331,11.77491,14.01938,4.742022,7.511331,21.51994,20.23125,19.99689,19.86894,19.68093,2.348017,1.245932,1.129449,1.089286,8.068488
762016,STAR,1.637551e-05,196.6239,248.4109,5.500992,42.99666,20.8516,18.42651,17.26578,16.74838,16.4694,1.044258,1.113842,1.01988,1.017086,1.073711
929570,GALAXY,0.4413131,14.52785,24.1849,0.2885086,0.9235008,22.50932,21.21165,19.62347,18.75407,18.19749,27.92067,2.969293,3.7758,3.866352,2.730313
21925,QSO,0.9851137,17.91838,19.48942,15.29914,14.01115,19.74986,19.5729,19.33416,19.32511,19.17207,7.176995,1.34929,1.297226,1.228441,3.355081
760592,STAR,0.0002905738,4.861776,12.02172,-0.08478907,0.3453993,24.71297,24.1653,22.73157,21.0835,19.88468,4.584467,2.970563,0.7431026,1.355098,0.9533082
395771,QSO,1.057536,38.79546,42.65441,17.76677,23.6745,19.51031,18.96963,18.54201,18.48107,18.29048,1.499132,1.411016,1.124841,1.255679,1.34766
522199,STAR,-6.604316e-05,34.65058,37.09941,9.047647,20.09965,20.27913,19.22427,18.8758,18.761,18.66959,2.037977,1.528393,1.730053,1.295904,11.31127
98424,QSO,0.9830613,2.06575,3.654443,0.7399562,0.803211,21.89838,21.882,21.31842,21.38647,20.56792,18.01909,1.892662,1.885544,1.724573,27.92271
707913,STAR,0.0006746402,274.7011,316.6552,25.8814,102.138,19.25093,17.42001,16.68593,16.35541,16.1873,1.859629,1.457976,1.57463,1.450619,1.160983
767972,STAR,-6.769805e-05,595.8278,715.6764,15.64758,123.7904,19.75674,17.14676,15.96151,15.5138,15.25393,1.53949,1.167696,1.106994,1.122902,1.03908
707158,STAR,-2.592477e-05,5.457407,5.854398,0.9588561,2.743009,23.35923,21.29409,20.90979,20.68832,20.71348,0.03422593,1.378776,1.163753,1.10826,1.538956
1198948,GALAXY,0.1497364,56.79616,72.44143,5.225602,14.67664,20.22232,18.49482,17.5173,17.08012,16.72614,4.540976,4.753299,5.197932,5.003672,5.013081
1243384,GALAXY,0.1924933,57.7685,76.49946,3.244235,10.87889,20.91561,18.84132,17.55703,17.04692,16.68511,6.117195,4.917897,4.810976,4.589087,3.977108
1052258,GALAXY,0.1559557,56.32267,87.41134,2.134345,9.034596,21.03994,18.89857,17.61088,17.06265,16.60674,6.132456,4.211027,3.767434,3.060429,4.697762
1310811,GALAXY,0.403341,17.30552,26.83183,0.4555214,1.84643,25.19075,21.09223,19.28099,18.58587,18.0729,2.970485,2.793146,2.823972,2.795761,7.628032
926117,GALAXY,0.09531573,68.97358,92.53351,3.929522,16.72642,20.50847,18.62512,17.65277,17.22116,16.86199,68.29789,3.610042,3.39728,3.300784,2.985162
534954,STAR,3.713556e-05,199.6941,208.1506,41.26423,112.454,18.56267,17.30503,16.87683,16.71768,16.67623,1.042646,1.0007,0.9769375,0.8581393,0.9004326
1130000,GALAXY,0.3434431,38.42813,55.0458,1.787637,4.58007,24.82961,20.19227,18.10866,17.44584,17.13339,2.969318,3.344447,3.835431,4.539066,15.18592
439894,STAR,3.016391e-05,20.74967,50.4769,-0.1400729,0.6525202,22.84606,22.52103,21.04602,19.02884,17.97985,1.016895,1.312688,1.043254,4.403471,5.050312
1003842,GALAXY,0.5079125,7.874626,11.95144,-0.00950478,0.5551198,22.59693,21.98543,20.46899,19.45944,19.13384,0.9881788,2.970129,3.463259,2.713953,1.85569
102636,QSO,3.230812,11.13251,13.77422,2.184939,2.959439,24.43498,21.5246,20.97303,20.60903,20.35245,18.02187,1.50117,1.321961,1.239771,1.187533
830539,STAR,-0.0002728898,2.196356,8.286882,-0.1469461,0.03197308,24.62169,24.2865,23.48823,20.36564,18.84655,2.970202,2.970387,0.741904,1.21477,1.274867
946903,GALAXY,0.1347601,108.9948,136.2839,8.85021,31.71218,20.14145,18.24319,17.25995,16.87404,16.55824,9.419706,3.077062,2.858154,2.874414,2.895052
206515,QSO,1.20551,2.87649,3.781883,1.04413,1.505737,21.58783,21.64877,21.11463,21.01206,21.03931,1.738073,1.514448,1.015917,1.124656,0.785069
914607,GALAXY,0.5455447,9.130032,15.66985,-0.09247749,0.4961445,26.78565,22.40473,20.43637,19.25875,18.86025,0.1268976,2.97027,3.269267,2.926838,5.939778
1246566,GALAXY,0.9306443,1.319935,1.697944,0.4230602,0.6077344,24.19026,23.4453,22.95975,22.22709,21.96443,2.969604,0.9202726,0.9724901,0.9472473,0.5476552
593358,STAR,-0.0009139845,10.31196,9.829006,2.55248,9.040491,21.27136,20.27312,20.19508,20.3212,20.54696,1.75212,1.356333,1.275033,1.190032,1.484545
706718,STAR,-0.0004992494,151.3095,156.937,48.41195,87.47011,18.57145,17.63257,17.20439,17.02664,16.97459,1.430602,1.418325,1.486383,1.100397,1.121974
1025163,GALAXY,0.6213782,9.05724,16.40407,-0.1717419,0.2786744,24.34944,22.56964,20.42001,19.20141,18.61664,2.969595,2.969565,3.793939,2.672662,2.079191
1056719,GALAXY,0.2078845,14.62991,14.84937,2.712511,6.580791,20.17867,19.31395,18.85598,18.64436,18.48803,4.134902,4.105062,3.844067,3.528805,7.379447
226135,QSO,0.1972647,48.7029,58.68641,6.365635,11.59285,19.24097,18.50269,17.68412,17.21878,16.97453,3.414477,4.200974,4.594627,4.400381,16.0187
627041,STAR,1.464818e-05,234.8776,238.6298,73.39506,142.9031,18.17098,17.07311,16.73672,16.62063,16.58365,1.205891,1.155426,0.9685842,0.8948076,0.9646983
1180349,GALAXY,0.7394851,4.488368,6.199647,0.8770299,1.259038,22.06435,21.49969,20.93807,20.0129,19.52607,2.477118,3.174063,2.706692,3.365407,11.30424
1170745,GALAXY,0.4096141,9.286903,14.08682,0.1370848,0.8667353,22.90716,21.58967,19.59896,19.01455,18.49049,1.04572,2.970408,4.121594,3.786991,2.360381
567157,STAR,0.0001035009,28.32659,28.63284,10.05733,18.11344,20.33348,19.30921,19.04147,18.93446,18.93142,6.570823,1.473098,1.346039,1.196689,1.342471
693310,STAR,-0.0003168875,279.3763,279.5814,117.0011,196.331,17.7421,16.78373,16.50364,16.40079,16.39399,1.252504,1.157206,1.001165,0.8866812,1.057424
166946,QSO,1.689582,23.34494,23.83729,12.54731,16.77518,19.94378,19.36399,19.21121,18.98999,18.85782,1.252221,1.265844,0.865379,10.74892,0.8829289
867215,STAR,-0.0003368241,2.458263,2.860575,1.185291,2.609681,22.22774,21.49784,21.2838,21.37288,21.26744,1.050872,1.570928,1.421105,2.06165,1.87044
144786,QSO,1.348951,14.92244,15.11607,18.20251,15.5794,20.36303,20.07994,19.82831,19.74758,19.78046,1.874504,1.740663,1.765197,1.524496,2.083707
1220567,GALAXY,0.3153611,35.10096,50.10759,1.386995,3.698496,22.49577,19.67903,17.97835,17.34347,16.98683,1.052514,2.970789,8.219172,7.990229,5.520862
490521,STAR,1.954304e-05,793.7875,811.0933,308.0494,524.3729,16.6494,15.72953,15.39088,15.25441,15.20393,1.501942,1.418327,1.37697,1.286202,1.225994
641249,STAR,-0.0001503151,750.4907,859.7693,17.14629,180.4576,19.16529,16.75897,15.68791,15.3158,15.10991,1.674688,1.417618,1.290591,1.349792,1.474556
904887,GALAXY,0.07196412,50.94074,60.42661,8.335938,19.21833,18.12668,16.95143,16.41379,16.09324,15.92374,10.22841,10.57502,10.81783,10.08259,9.411144
