,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,ra,dec,u,g,r,i,z,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z,labels,class
996484,1.357989,9.146713,9.312726,8.484954,6.264648,116.407687531843,23.6625470233667,20.86041,20.72593,20.20615,20.15431,20.1239,1.262293,1.242109,1.173874,1.062947,1.277016,0,QSO
857107,0.4431236,15.76632,24.75057,0.1239609,1.374432,130.955929411686,25.7612188153786,23.88788,21.53317,19.66529,18.8794,18.47669,2.970722,2.010936,2.219245,1.991868,1.937199,0,GALAXY
345308,5.256491e-05,261.6545,327.0195,10.97506,61.08459,177.706359910397,12.9207995961856,20.23418,17.97993,16.89015,16.47231,16.20218,1.562334,1.629935,1.597126,1.29891,1.402415,0,STAR
333433,-0.0007720659,13.53061,13.69161,3.254721,7.524601,223.593057415333,35.9269378301861,21.81841,20.45476,20.02447,19.81212,19.87835,2.58267,5.731651,1.270051,1.024988,0.9200883,0,STAR
131043,-0.00117489,8.330993,9.288937,3.244263,5.619689,203.782709269611,62.2837929332225,21.14565,20.52444,20.29531,20.17894,19.96481,1.663211,1.531,1.432255,1.419239,2.193904,0,STAR
346485,-0.0004373844,259.0552,254.7431,87.68934,171.2357,203.491610563729,42.1114509086107,17.86322,16.91549,16.57531,16.47244,16.40972,1.744897,1.421555,1.923206,1.501509,1.394813,0,STAR
501788,0.09305573,113.0892,149.7095,10.538,30.69159,167.510071927599,5.41754444211917,19.33841,17.73891,16.83147,16.39837,16.0772,27.92042,4.553706,4.698015,4.38824,4.224905,0,GALAXY
146176,-0.0002380125,385.9842,403.8528,83.27496,203.8322,230.729040585015,40.0557715327318,17.91651,16.64034,16.16482,16.02231,15.98851,1.500622,1.661821,1.289253,1.511096,1.327575,0,STAR
1168243,0.9972352,14.65978,16.70856,7.938911,10.28217,134.494598835409,29.99417374589,20.04886,19.64866,19.4169,19.50512,19.37576,4.502866,1.807256,1.382657,1.708923,1.065275,0,QSO
349299,-3.370316e-05,646.2809,746.3144,49.30077,242.722,55.5020814798912,-0.234457723127985,18.46372,16.56022,15.79229,15.5221,15.33621,1.20825,1.198914,0.9654011,0.8442471,1.049813,0,STAR
750629,0.4732857,8.212857,12.27532,0.8035364,1.544728,152.966233675277,44.1216772553275,24.63461,21.83129,20.65246,19.71429,19.98379,2.970084,1.45801,1.556161,1.853038,1.38286,0,GALAXY
202628,0.0003052547,67.4372,71.91656,13.96059,36.25696,149.963947153595,47.892428815899,19.72478,18.48985,18.08921,17.94945,17.91627,10.93545,1.331003,1.187987,1.17807,1.186121,0,STAR
245670,-0.0001703033,5.538678,5.902491,6.068295,7.71772,147.145998888472,10.7164987003229,20.31411,20.21561,20.58591,20.76248,21.08487,1.568355,1.355065,1.238139,1.29059,0.7513876,0,STAR
457600,0.4843989,15.65491,25.38667,0.09046578,1.101118,161.716447984268,-2.23362828151605,21.88842,21.25696,19.54263,18.51331,18.20589,2.257945,2.863346,3.985097,4.149146,3.626147,0,GALAXY
763532,0.5186295,8.787058,13.83616,0.5953588,1.253113,199.328038136443,6.61710722964431,24.01598,21.87111,20.21446,19.31516,18.8095,2.97006,2.970106,3.283937,3.733018,1.667613,0,GALAXY
61738,-0.0004949464,41.99145,44.06338,10.98423,22.47933,221.046059843707,0.714900396272017,20.17326,19.12846,18.61761,18.3998,18.33819,1.455767,1.327101,1.38684,1.233767,1.264285,0,STAR
409474,-0.0001175408,400.5789,367.8049,49.52692,164.4735,336.181291763579,68.6004711949014,18.4052,16.8594,16.16352,15.87675,15.71591,1.363952,1.338768,1.236207,1.130453,1.094116,0,STAR
129473,-0.0004984371,651.5499,657.6539,187.1197,371.2235,145.996429993916,53.4809873246787,16.93697,15.93461,15.54126,15.37964,15.33856,1.686358,1.501012,1.386535,1.426287,1.265995,0,STAR
45339,-1.009714e-05,6.084179,13.58514,0.1538318,0.4352775,113.309798373903,33.8335131350762,24.90464,24.37011,21.67221,20.57752,19.79297,2.9701,2.969786,1.69661,5.34642,1.028993,0,STAR
1029096,0.7154837,10.93222,13.10082,5.721202,8.959479,150.421015346861,5.70701469372836,20.58584,19.95037,19.87052,19.82061,19.59336,4.008242,1.369822,1.358856,1.21132,0.9299124,0,QSO
1092706,0.7654191,10.07372,12.72316,3.131423,6.32384,145.142908113354,36.5390574974924,20.4935,20.05347,20.00105,19.87757,19.5565,1.477628,1.27948,7.020029,1.111708,1.224909,0,QSO
87981,-0.0002588409,85.67634,94.13289,23.43892,48.58636,254.815359369597,36.2058764354921,19.18686,18.22531,17.9023,17.77267,17.73128,1.46092,1.276724,1.12963,1.043692,1.076724,0,STAR
772572,0.2251825,63.60567,80.17363,3.322429,11.07577,153.164429844721,34.6445363794731,21.08867,19.03682,17.70411,17.17677,16.85701,18.01961,4.68609,4.454318,4.261899,4.209328,0,GALAXY
45624,-0.0001802529,37.66829,37.90999,11.05261,24.35075,198.842200580144,3.58491715138339,19.81654,18.93223,18.60201,18.5001,18.52424,6.959885,1.351702,1.222733,1.269481,1.337797,0,STAR
263923,-0.0001716441,2.943042,2.321817,2.247773,2.760803,233.625647109539,37.3602067423523,21.88543,21.31185,21.33558,21.28022,21.41814,2.326843,1.83683,1.697259,1.580653,1.798838,0,STAR
856998,0.4950657,5.0864,8.006492,0.103344,0.5830058,126.589586706092,23.3079110047811,24.23285,22.60571,21.14115,20.19263,19.6137,4.585087,2.037308,2.40507,2.449831,1.961998,0,GALAXY
307253,-0.0005663661,3.602138,3.541692,0.6170051,1.787098,240.340064064386,24.0998699789711,22.65036,21.74524,21.50267,21.54886,21.44436,1.056529,1.115525,1.140562,0.8744317,0.6408045,0,STAR
718170,0.5807396,7.324513,11.74504,0.005474754,0.6630198,210.062324770855,53.8296978631212,24.08504,22.36762,20.79523,19.74768,19.32769,7.359201,2.181439,3.005942,3.179211,3.048414,0,GALAXY
481157,0.1861168,37.00006,50.59257,2.542301,6.630388,14.8775918822916,14.5405871410372,20.66804,18.94517,17.74043,17.24283,16.87433,43.76267,6.126997,5.882788,5.725366,5.258266,0,GALAXY
