,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,ra,dec,u,g,r,i,z,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z,labels,class
720101,0.04176561,211.0624,270.2124,27.65211,68.16447,172.403167610458,58.4147744821732,17.65119,16.19225,15.48028,15.07126,14.76912,9.711058,8.463423,7.858062,7.413872,6.897483,0,GALAXY
611358,0.5449607,5.867898,8.633752,0.141082,0.6289437,199.887418237383,7.06685410890584,23.53895,22.43498,21.27702,20.18997,19.7226,2.97018,2.970268,2.326298,4.228559,5.542577,0,GALAXY
837882,0.3848096,29.68321,43.50418,0.4639005,2.423581,232.067101822763,41.4262653103324,22.80337,20.67008,18.86577,18.21072,17.74936,0.7429162,3.554276,3.086378,3.087934,2.803755,0,GALAXY
794051,0.04328736,124.8881,170.9232,16.91571,42.22997,228.778932181303,7.31495617849546,17.69275,16.33943,15.66963,15.29004,15.00101,8.673613,8.267487,8.356886,8.079808,7.897763,0,GALAXY
270451,2.358684e-05,21.59204,52.44976,-0.04358302,0.5635744,137.473466961211,44.8417601299626,24.68263,22.54787,21.00658,19.11663,18.04625,4.584054,1.192852,1.48467,4.231565,1.220293,0,STAR
1146734,2.390545,7.753982,9.892126,5.047913,6.636511,203.499081847269,37.4189206594801,21.16068,20.49077,20.41849,20.11975,19.70604,1.532881,1.543416,6.066643,1.001788,2.787706,0,QSO
156568,-2.665397e-05,7.635481,18.3383,0.06411655,0.2120987,158.900113875418,52.326090301301,23.79151,23.14112,22.05466,20.26285,19.41362,2.970479,1.215779,1.628119,1.329925,1.262457,0,STAR
1141034,1.783469,2.58695,2.49578,1.452178,1.660592,195.282334550953,46.6763264342551,22.16136,21.6055,21.58365,21.32786,21.14832,1.538204,1.740403,2.049947,1.589015,0.6580503,0,QSO
846981,0.7670893,13.75321,19.60191,0.7684895,2.141487,215.390636753122,39.0422442051195,22.44232,21.33083,20.25635,19.32051,18.99281,1.390935,2.381192,2.250264,1.873045,3.598748,0,GALAXY
1187864,1.087736,4.318641,4.949931,2.510046,2.919773,126.105203669985,57.9081962725094,22.01328,21.8072,21.50706,21.35434,21.24049,0.9196429,1.254104,1.412821,1.010502,4.583313,0,QSO
162738,-0.000519759,232.7134,222.0718,218.2584,277.46,174.028581214154,62.7204084996849,17.61927,16.36659,16.51864,16.59891,16.63931,1.878615,1.720238,1.551711,1.409113,1.474558,0,STAR
1015689,1.526363,6.072909,4.638045,3.409046,3.88065,168.963497870234,47.8991524986587,21.68197,21.34301,21.08756,20.74694,21.13402,2.246906,1.558854,1.272737,1.406085,18.02122,0,QSO
576307,0.07399607,158.4366,207.7103,11.69664,44.25285,175.79281298433,5.43534777295362,19.52833,17.60671,16.73396,16.28526,15.92722,4.884456,3.89059,3.486983,3.316983,3.490468,0,GALAXY
754834,0.2400811,32.51207,44.11153,1.939159,5.555505,211.104495826255,50.450508628111,23.12271,19.78786,18.31281,17.76285,17.45218,2.970531,7.213331,4.007722,4.187839,3.594824,0,GALAXY
1136546,1.616611,4.498062,4.296551,3.544542,4.000166,218.293926567157,55.4164237040622,22.48158,21.88908,22.6064,22.255,21.27003,1.08143,2.547631,2.969975,2.969833,1.07603,0,QSO
958928,2.472369,8.059499,11.16056,2.729748,4.632826,258.82321371085,29.4191424746493,21.18563,20.42908,20.21103,20.12994,19.79086,1.463062,5.36569,1.195127,1.092624,1.197582,0,QSO
29450,7.698235e-05,4.152413,4.395663,2.461135,2.82334,118.557769846462,45.6697147005954,24.63466,21.43013,21.24287,20.1976,22.8269,2.969328,1.375254,1.254536,1.506238,2.969083,0,STAR
1288329,0.8372586,11.8552,13.35508,11.36475,13.24984,191.806267997274,33.8921283667428,20.46618,20.03081,20.04719,20.07159,19.89482,1.558357,1.495708,1.312882,1.478941,2.766732,0,QSO
575345,0.149836,76.46471,103.8252,5.617626,17.27743,171.601786566214,5.33453637698858,20.47088,18.40932,17.20159,16.73809,16.36372,27.91886,4.836552,5.254735,5.024477,4.880319,0,GALAXY
287063,0.0001144508,19.56239,14.51145,54.89336,44.84177,162.597879520035,52.7607745077001,18.23107,18.40442,18.81449,19.21143,19.59759,1.500825,1.399419,1.302243,1.32348,1.19619,0,STAR
1087495,0.4952097,6.319758,9.843854,0.3345715,0.6885616,135.873201892243,30.0046656287303,23.76688,22.50859,21.06235,20.11861,19.72486,0.5941166,2.97,1.827291,4.259194,4.091597,0,QSO
511912,0.08771387,51.29716,64.09609,6.779058,17.21141,149.581340324552,-0.30625452099151,19.09217,17.87531,17.25225,16.88952,16.65045,8.403178,8.449452,6.937161,6.110489,6.268384,0,GALAXY
625829,0.4944744,7.346117,11.79473,-0.111395,0.4789076,174.380814041561,11.9224540076315,23.74324,22.26011,20.65003,19.80271,19.07182,2.970634,2.969916,2.393418,1.851561,1.768517,0,GALAXY
220000,-0.0001056041,6.212097,12.53748,0.0008396218,0.4026687,247.757274162705,35.1551068158056,24.42329,23.10066,21.67757,20.47142,19.67441,2.969964,1.447456,1.981949,0.8925398,6.396008,0,STAR
455507,0.191591,82.86765,119.2297,3.958825,14.88805,129.552012351887,0.359772786288453,20.3474,18.35221,17.10553,16.60719,16.25723,3.436325,5.159235,5.076197,4.718928,3.935721,0,GALAXY
174982,0.0001062859,1035.044,1085.961,191.7082,537.7772,167.349439352978,59.888266209898,17.03632,15.62401,15.12388,14.92872,14.8421,27.55292,1.452916,1.226299,1.224374,1.310057,0,STAR
221344,4.364803e-05,6.951957,25.93361,-0.3987925,0.01883643,123.636437983456,32.5204877932243,23.31785,23.95452,22.5262,20.07626,18.63187,2.450117,2.969861,0.6715159,0.8202379,0.9929375,0,STAR
407012,-8.605936e-05,32.62434,33.16636,11.32135,20.30605,200.939135128032,24.9675285052506,20.03339,19.15248,18.76462,18.60531,18.5404,1.480075,1.35338,1.182206,1.122142,1.067716,0,STAR
87615,0.0001423129,7.2954,13.67059,0.08418792,0.4613638,114.553872533544,31.2431156567472,23.66784,23.11496,21.31838,20.20967,19.47595,4.583612,2.969669,2.380773,2.146103,2.113075,0,STAR
306847,-9.594043e-05,83.0797,87.10925,30.87123,56.84401,168.201987299096,7.39223711307252,18.98435,18.10311,17.75614,17.64656,17.62846,1.340398,1.24898,1.194436,1.145988,1.166606,0,STAR
505282,0.1065245,117.5842,155.1577,9.623224,32.15932,194.61469812288,3.02107080743578,19.73628,17.83092,16.90124,16.49259,16.14893,3.921965,4.788168,4.466573,3.805868,3.172151,0,GALAXY
1094149,1.86734,2.424181,2.475228,1.510132,1.786287,216.290738186574,53.2188955819683,22.59883,22.44304,22.73579,21.90637,22.30166,11.30679,7.359281,0.8822876,1.356831,1.099298,0,QSO
95245,4.697373e-05,82.31874,85.42036,15.47037,42.69721,125.60331838349,40.8879557261583,19.48596,18.31667,17.88044,17.74458,17.7033,1.406877,1.469927,1.445828,1.311135,1.29279,0,STAR
495846,0.006989049,28.41522,31.15608,13.71942,20.98325,183.045507767118,2.88214173143311,18.8391,18.00798,17.73681,17.63906,17.61023,3.778196,4.427982,4.783899,5.322055,7.417861,0,GALAXY
483330,0.5164289,10.50049,16.9123,0.07338063,0.8565297,126.446243061587,47.9862193469789,22.32128,21.36576,19.64377,18.71482,18.05189,2.970006,2.969799,5.380258,5.182481,3.470878,0,GALAXY
1207130,1.068678,1.467498,2.497123,0.4048509,0.5812349,150.597991371347,31.8790489065623,24.8217,23.47197,22.81015,21.99742,21.01548,2.970316,2.970008,0.80757,0.8707077,0.7889415,0,QSO
888477,3.072972,13.77255,14.91354,1.134054,6.34497,117.150556036944,39.4627324076271,22.93345,20.25704,19.82782,19.68931,19.63048,11.30648,1.515934,1.209057,1.176362,1.885244,0,QSO
772953,0.1047987,59.43703,79.16235,13.31133,23.66612,187.421520945965,58.4283009452068,23.60217,22.03629,17.3537,16.97408,16.59911,0.6251516,0.5900835,5.656243,5.051751,5.126061,0,GALAXY
662736,0.4665523,11.29056,17.42355,-0.03694393,0.9286246,242.308073665692,39.8551551618147,25.28218,21.48288,19.89472,19.12139,18.766,2.969977,2.969977,3.074312,3.043851,1.982447,0,GALAXY
768934,0.1151621,55.86704,69.73773,5.22636,16.59795,235.836748332767,39.8150323560381,19.23448,17.67665,16.86456,16.42656,16.27294,6.197567,7.433323,7.527174,8.774073,4.376488,0,GALAXY
313406,0.001842677,6.77647,11.63138,0.1989039,0.6270302,192.497355941527,45.1697846827205,23.68423,22.2142,20.51066,19.44567,18.84316,0.0658662,27.94046,2.462598,2.500991,2.477176,0,STAR
188703,0.0001631916,22.16675,41.47865,0.2185207,1.989404,227.576223235173,49.7324942024105,23.81328,21.79521,20.28254,19.15171,18.55133,2.970312,1.363836,1.032336,1.032879,1.117119,0,STAR
362988,-9.08047e-05,57.87042,59.41602,11.74551,29.53004,251.715439923267,23.6431666567213,20.18662,18.76381,18.22175,18.03339,17.90744,1.255621,1.094684,1.153096,1.00649,1.014992,0,STAR
1119702,2.953995,2.386507,2.842104,1.189658,2.166056,226.677307213511,42.2883955296141,23.68614,21.13171,21.0254,21.20243,20.93528,0.09259254,1.46993,1.137081,1.090293,0.9519836,0,QSO
648305,0.6915363,5.436001,10.25044,-0.006897086,0.2807381,253.948284086521,22.9782720702894,24.33135,23.45356,21.46428,20.05867,19.3443,11.30752,2.970164,1.889628,4.984117,2.454884,0,GALAXY
757810,0.3762765,22.08672,30.60819,0.2737858,1.830315,128.218537209564,7.26419556170758,23.04589,21.38087,19.55295,18.8228,18.43054,2.969981,2.141119,2.33148,2.486407,1.731101,0,GALAXY
164508,-7.680456e-05,103.2672,244.8667,0.2016179,3.664606,251.430186457912,29.7690889866014,22.51099,20.90693,19.33255,17.44764,16.41906,2.568035,1.832054,1.855487,1.696941,1.516161,0,STAR
179365,-0.0002350167,22.66355,27.12691,2.367884,7.531298,311.207698125938,-6.18801843624068,21.73522,20.2128,19.43822,19.13811,18.90075,1.331494,1.28096,1.090284,7.152684,1.34528,0,STAR
159374,6.714613e-05,140.163,168.4591,2.430515,28.23428,148.729809533499,55.3291201879416,21.5113,18.88615,17.77678,17.38055,17.25541,1.227625,1.43385,1.260162,1.189382,1.218515,0,STAR
548210,0.2460345,59.59465,77.00499,3.509784,9.227961,184.2561342389,4.02227581398735,21.59442,19.1275,17.67252,17.13487,16.82353,27.92537,4.901584,5.313304,5.413339,4.297689,0,GALAXY
445566,0.359154,11.95087,19.05881,0.6353868,1.311262,120.625861972789,44.0230985049005,25.3106,23.28777,20.36193,19.75923,19.49175,2.970407,0.7485679,1.80951,1.904186,1.523348,0,GALAXY
35722,0.0001065136,27.02263,46.98951,-0.6523436,1.78384,16.6620787692996,-9.31656688236548,25.86966,21.65511,19.89968,18.80605,18.1971,2.970803,1.747105,1.41527,5.782599,1.459296,0,STAR
1302890,3.129256,67.04527,72.45068,10.82735,41.95685,163.31728468977,27.2125198990269,19.32664,18.09962,17.96388,17.84043,17.79984,45.52719,1.660757,1.412367,1.336356,1.449643,0,QSO
322528,-0.0008756164,103.0027,109.8208,37.8679,65.37896,359.430730968198,28.3624901814048,18.84061,17.87645,17.44222,17.28679,17.20818,1.915516,1.847265,1.636378,1.533638,1.668792,0,STAR
817380,0.0592145,52.19551,70.88197,3.802853,13.56869,127.12788064193,15.2107776987693,20.63078,18.8164,17.87251,17.42779,17.09377,5.673063,4.472721,4.293629,3.884361,3.528178,0,GALAXY
65020,-0.0001046376,8.918701,19.1205,0.2310669,0.7141125,342.264709667776,13.2609978953463,23.24234,22.28072,21.11347,19.82961,19.01981,2.969859,2.970107,1.691518,1.697457,4.490131,0,STAR
264041,-0.0001565453,35.74264,49.63018,0.5374584,4.965571,199.140592017649,44.0183726351762,22.93812,20.51216,19.20287,18.70779,18.39274,7.360412,1.618371,1.754952,1.378816,1.401707,0,STAR
777402,0.126747,42.47967,50.96233,5.015253,14.31383,219.115080476504,9.07575875490487,19.24422,18.02058,17.37393,17.04749,16.84132,8.335917,6.845135,6.043938,6.113981,5.676806,0,GALAXY
193460,0.0005051497,41.92059,43.89323,15.16837,27.16681,170.001050392882,8.87541263466506,19.93102,18.87214,18.55027,18.41644,18.38437,1.633678,1.592319,1.394075,1.236565,1.323732,0,STAR
1230,0.0002987248,16.01424,15.25018,6.167591,13.12692,215.325310905591,0.451010981544695,20.75561,19.63814,19.49749,19.68204,19.40989,3.108625,1.529349,1.482674,2.594493,4.545125,0,STAR
18225,0.0001348745,14.16471,14.99863,2.813933,6.921236,161.715195258765,0.756870312105153,21.47761,20.30917,19.78175,19.60447,19.59055,4.615067,1.261396,1.220678,1.13317,15.63272,0,STAR
990420,1.090441,13.022,10.87647,10.84914,10.99063,2.06534660481225,0.754488758385157,20.04463,19.85915,19.58315,19.61662,19.57747,1.238249,1.233691,1.140039,1.000739,1.437622,0,QSO
339600,9.939777e-05,127.6042,142.2856,18.53982,54.36152,182.390212027269,13.1905626636608,19.43451,17.9829,17.39061,17.17641,16.97292,1.537694,1.750625,1.504719,1.515592,1.586483,0,STAR
809238,0.05781462,54.5849,66.92056,6.161526,17.70763,164.506140918689,40.2783127598015,19.50196,17.87603,17.10486,16.71183,16.44022,4.53879,5.862805,5.721857,5.634508,5.448435,0,GALAXY
848463,0.15017,83.08904,105.1023,7.466046,22.52875,190.43080040237,2.19023732332211,20.44204,18.39219,17.37688,16.9344,16.61933,27.91996,3.293146,3.033564,3.002811,3.08828,0,GALAXY
370233,-0.0009571704,71.95732,76.68932,23.7023,45.40206,201.825811459449,48.8866237000967,19.10307,18.15663,17.89817,17.78486,17.77562,1.827319,1.836006,1.713577,1.663024,1.641038,0,STAR
722375,0.3772021,12.52549,18.93661,0.2168618,1.186025,162.672168476334,35.7431068218806,25.76863,20.82147,19.09963,18.42537,17.98967,2.969607,2.970466,7.038346,5.990417,7.552715,0,GALAXY
234811,-0.0008221038,21.10196,23.98584,2.239267,8.389607,236.221763165299,34.7121884036099,21.64539,20.08939,19.89381,19.14712,18.95951,1.769303,1.258344,1.192353,1.086259,1.243319,0,STAR
1232166,2.281254,1.805966,2.717306,0.8788225,1.853887,244.826553957375,33.9927622558243,21.57469,20.97722,21.08308,21.01534,21.06761,1.192881,1.720606,2.62815,1.67624,18.01904,0,QSO
287626,0.0003708818,20.82101,64.15886,0.0676581,0.3098591,127.608792210179,6.66734020520148,25.24964,22.85755,21.57014,19.0658,17.69982,11.30737,0.9933456,1.035726,1.099201,1.007727,0,STAR
65464,9.110309e-05,219.7265,279.3255,4.08935,43.13811,129.035977009336,-0.200676193255363,21.1049,18.5335,17.28716,16.79482,16.52703,1.401,1.320611,1.108896,0.969951,1.030623,0,STAR
153607,-0.0003740116,113.5999,110.1634,75.9265,106.9282,221.040287260171,42.8638666289249,18.48463,17.40598,17.33346,17.34702,17.39832,1.482949,1.280034,1.28457,1.2491,1.387121,0,STAR
166600,-8.377849e-06,9.892447,9.724324,4.304914,6.987519,231.591301192001,48.7315918835763,21.27513,20.32901,20.1205,19.93919,19.88733,2.835048,1.125886,1.091594,1.070586,1.074941,0,STAR
390197,0.0001162516,506.2348,670.9915,7.59142,78.74639,32.6685070011225,-0.973712435160245,20.53292,17.74883,16.35599,15.76365,15.45473,1.278804,1.145895,1.043798,1.01573,1.102374,0,STAR
888735,4.028812,2.023799,2.09487,0.1243073,0.5505754,184.830638784741,-2.7231016516609,25.44356,22.91769,21.31294,21.09384,21.0521,0.4176242,1.570297,1.576982,1.129149,1.049054,0,QSO
1074659,1.567803,5.127785,5.564993,2.943594,3.220433,147.979379371024,35.4370216431027,21.74178,21.22592,21.01983,20.62992,20.85125,3.258709,1.317028,1.482984,1.129353,0.9798856,0,QSO
827200,0.2324459,29.95626,42.54924,1.50891,4.834063,118.521995984914,20.5238837254293,21.81441,19.30661,17.94967,17.408,17.0713,27.92117,5.621599,5.994423,5.148078,3.399039,0,GALAXY
699621,0.5242579,9.972012,15.3356,-0.06993195,0.8158714,163.956150613033,8.15026532613207,23.19346,22.10964,20.62601,19.63877,19.32656,2.969483,2.970368,1.645655,2.146906,2.532501,0,GALAXY
497448,0.04893252,39.77958,50.12848,6.694236,14.74922,170.351770831317,1.81889500666868,19.2673,17.97775,17.34674,16.99755,16.68426,5.496003,6.191426,6.105176,5.936438,5.44584,0,GALAXY
284813,2.964258e-05,5.279761,5.660936,0.1966993,1.758649,199.053060653807,43.0978955858356,24.11971,21.78372,21.10304,20.81933,20.68923,2.970213,1.490969,1.692779,1.629251,1.307338,0,STAR
436586,0.000118119,176.6156,206.8055,21.19442,63.33993,124.824710396714,14.5828638689897,19.79195,17.86425,17.08667,16.74991,16.52689,1.977254,1.377681,2.002522,1.586489,1.310455,0,STAR
1269531,2.295706,6.619648,8.562366,3.637657,6.453777,213.201517254515,12.2671512079847,21.22664,20.43252,20.48891,20.45908,20.20923,1.671008,1.481854,1.434464,1.125375,1.999758,0,QSO
1197255,3.422753,14.87074,16.25291,0.6498775,6.677239,119.74923545235,16.9699601091403,24.12208,20.17294,19.47424,19.34744,19.18269,4.583816,1.187871,1.057834,0.9889482,0.9866142,0,QSO
468079,0.6128683,4.622459,8.048965,0.07316372,0.3094504,125.119888469318,48.4014422687778,23.62089,24.51565,21.37504,20.14138,19.74891,0.09175814,4.584405,3.035027,11.30836,3.166147,0,GALAXY
886736,2.997867,4.12747,4.607644,1.540861,3.43712,192.90719336683,66.2082345606512,22.34103,20.88365,20.72206,20.67728,20.84323,11.30389,1.86445,1.491241,1.576788,3.332013,0,QSO
1092565,1.709118,1.562678,1.621106,1.065596,1.094486,191.722231574749,43.0781235636824,21.72215,21.8964,21.94946,21.60677,21.56489,1.681518,2.036902,1.341983,1.121282,1.76008,0,QSO
469424,0.5900864,7.257032,10.96935,0.3804898,0.9657754,126.621422534635,-0.129441015555089,24.63489,22.37057,21.27687,20.03342,20.66999,2.96883,1.431412,1.405214,1.473393,0.9246025,0,GALAXY
961986,1.318539,7.467782,7.188467,1.987715,3.714028,123.780535693837,36.3026921523343,20.74593,20.6406,20.1456,20.06072,19.9286,1.113256,1.041558,1.191726,0.9018789,3.495679,0,QSO
261217,-0.000861355,7.010521,8.070186,1.690414,3.889487,243.425833222881,23.2298465999395,22.08753,21.12541,20.72722,20.90022,20.31798,1.066589,1.061296,0.8972147,0.9444211,2.825632,0,STAR
287252,-0.0001765875,13.89736,10.89697,13.10186,17.37097,213.874736843406,36.600509950394,19.95344,19.40298,19.50427,19.60984,19.62181,1.30848,1.296142,1.134665,1.105272,4.582823,0,STAR
1002254,0.08428066,126.5117,153.6238,20.70161,31.18847,129.289142804979,36.0176159742531,19.40009,17.94106,17.14894,16.57818,16.35974,2.779903,3.539773,3.533554,3.45844,3.270618,0,QSO
607140,0.6636411,8.247836,14.23158,0.2087722,0.518034,189.675114037216,62.7739671314607,23.38871,22.66759,21.12767,19.98766,19.2724,0.5183235,1.47101,2.613467,2.902285,1.867137,0,GALAXY
139562,0.0001527229,31.46757,35.49953,3.786049,13.30288,11.6450363119242,-0.516130522484246,21.33427,19.65353,18.96141,18.71704,18.56291,2.553395,1.197637,0.8592426,0.8213958,0.9934512,0,STAR
965275,1.360901,9.816271,10.39407,3.857622,4.970869,131.790179318761,40.4206790575926,21.45523,21.09337,20.48784,20.38524,20.12296,1.966748,1.406296,1.539462,3.071368,1.371711,0,QSO
864506,0.2846847,39.43426,58.78856,1.347535,4.91749,261.707292659558,34.546818292043,22.72554,19.87531,18.24777,17.66658,17.30569,1.045251,2.825171,4.046175,3.57624,3.326988,0,GALAXY
1309341,2.703995,10.67788,12.21216,4.936523,8.330272,218.347702539721,17.8111366499956,20.71774,19.93999,19.88571,19.75087,19.67496,1.594486,1.493418,1.192958,1.012866,3.342132,0,QSO
1283373,0.3381141,62.654,123.7921,100.5862,81.24377,168.098709923612,23.8268499661867,17.22175,17.3243,17.40138,17.60777,17.12487,1.524904,1.485496,1.436673,1.317755,1.228156,0,QSO
1036720,0.7729604,4.255064,5.769024,1.489973,2.157214,37.1937567445863,0.855013238081598,22.56184,21.67715,21.38307,20.81626,20.46671,1.047037,1.021959,1.509861,1.747032,1.185212,0,QSO
165381,-3.01376e-06,6.248408,14.77849,0.01807752,0.2857718,358.797011322165,-0.0131543305304508,24.73409,23.99435,22.05602,20.6848,19.75437,0.6077634,0.5048837,0.8425111,0.8851024,0.8665832,0,STAR
971229,1.291644,2.875352,3.448304,1.289662,1.599771,122.354284985493,37.3510934065418,21.54786,21.55809,21.16872,21.00639,21.26005,1.389942,1.694997,1.355606,1.408008,1.413095,0,QSO
797042,0.4487127,9.806499,15.05247,-0.03793097,0.7063165,167.898813221287,26.0235977145889,23.52614,22.34764,20.6994,19.86131,19.62026,4.584456,2.043583,1.562929,4.229949,1.786743,0,GALAXY
721296,0.2929012,13.34586,19.35617,0.8039734,2.237103,163.17266200777,34.9370066282411,22.11625,20.93107,19.63699,19.04315,18.69596,18.01721,3.27199,2.534268,2.545577,2.900677,0,GALAXY
976158,0.5998033,12.17737,16.59705,4.51385,5.806196,206.138420786169,5.71279669770684,21.45219,20.63377,20.15785,19.39481,18.99201,2.266756,1.517377,2.514101,2.743956,18.02061,0,QSO
927417,2.088478,44.70921,57.98415,63.09504,41.88948,177.124053854631,4.95845789068511,18.67393,18.65443,18.54397,18.45584,18.25363,1.718356,1.732463,1.762777,1.477153,1.429054,0,QSO
997864,1.859587,3.108159,3.059777,2.351613,2.528617,125.563047265235,31.7001604054082,22.02087,21.78133,21.84235,21.35938,21.4988,1.785111,1.477043,1.094984,1.491802,0.8537204,0,QSO
634577,0.126112,69.55263,89.96823,4.618647,17.87317,206.437678620632,5.92642598170599,20.00647,17.94162,16.96168,16.5759,16.28399,5.562785,6.693418,6.347176,5.776647,5.952143,0,GALAXY
242369,-0.0001007692,11.14118,42.93624,-0.7719569,0.3241204,222.90146823372,8.79006003033785,23.2179,24.05085,22.31182,19.37349,17.88904,0.6036446,2.969765,0.9857997,1.146636,1.149335,0,STAR
187462,0.0006152741,382.076,422.6422,103.2102,212.737,130.862138923253,39.9743484103931,17.54684,16.57332,16.25333,16.13068,16.09233,1.222879,1.223684,1.338184,1.16173,1.103125,0,STAR
945472,2.204225,4.495894,5.738636,4.485427,4.801641,237.898185561338,49.4146352560421,21.36209,21.02678,20.98342,20.86572,20.50657,2.54522,1.619602,1.266324,5.386924,1.003882,0,QSO
771753,0.6050588,4.846597,8.082571,-0.1785486,0.1808516,185.089904858491,45.4102712446771,23.89545,23.33486,22.10965,20.74992,19.79434,2.970651,11.31005,1.857275,1.95786,2.711207,0,GALAXY
756096,0.08680354,60.00029,64.88898,12.00674,27.79093,156.596688125418,36.1410407126766,18.91043,17.84266,17.38628,17.09274,16.92276,4.6982,4.928548,4.675612,4.301788,4.178945,0,GALAXY
167776,0.0008973061,13.83952,14.32262,4.417228,9.219976,162.475648465396,51.243837668084,20.74687,19.89693,19.57471,19.42598,19.42059,1.392733,1.400525,1.235562,1.282296,3.686749,0,STAR
549313,0.7864093,4.736667,10.18309,0.03157764,0.2792088,176.952248466211,52.9663335334931,23.38184,23.4694,21.41097,20.25496,19.24405,0.08320188,2.969765,7.359619,2.909106,3.354887,0,GALAXY
264818,-0.0003678799,25.86959,26.16711,7.831019,15.66067,171.314885797039,58.6534047633782,20.5166,19.4705,19.11771,18.95181,18.83091,1.216326,1.379957,1.293381,1.304486,1.189628,0,STAR
817943,0.177914,100.3903,132.3804,5.960877,19.19655,201.057993719657,44.9056079098019,20.0205,18.0711,16.83102,16.34961,15.99145,27.92441,7.419646,7.377394,7.304485,7.770813,0,GALAXY
242890,-0.001381068,1.923586,1.578924,1.05612,1.803017,171.043305495193,12.1944103695601,22.50709,21.53946,21.51119,21.70354,20.8865,2.969838,2.046512,2.00828,1.84593,11.30337,0,STAR
312875,-9.702047e-05,5.796988,11.55526,0.03575607,0.3408629,329.696337519088,0.694121377840642,23.82951,22.85112,21.42263,20.09552,19.36088,4.583632,1.166997,1.132006,1.120323,1.170853,0,STAR
793792,0.7306417,7.006648,12.10902,0.02085139,0.329192,133.906382413447,22.5352827773297,22.56323,22.99224,21.04667,19.69105,19.0901,1.293619,2.970866,2.308866,2.770493,2.919629,0,GALAXY
1043619,1.401597,60.63779,58.30685,55.67759,52.19623,166.299039115045,14.3697161450551,18.6095,18.47655,18.28731,18.23749,18.29501,1.268626,1.174622,1.144355,1.064583,1.043851,0,QSO
927405,1.911583,3.724227,3.58328,4.036479,3.800164,116.259082835903,42.1819355446801,22.08705,21.73666,21.7767,21.53113,21.22107,1.412356,1.317944,1.156088,1.103336,27.92422,0,QSO
1294793,1.098211,2.636127,2.62039,0.9994314,1.916904,244.150121883909,35.6486632584084,22.18038,22.13696,21.51104,21.32713,21.44276,1.718655,1.81732,1.391841,1.749493,0.8903449,0,QSO
321571,0.0003609477,2.040247,1.681633,1.382032,2.72725,192.346498233053,38.7648642272108,22.16003,21.23209,21.1968,21.29583,21.17666,2.151164,1.067731,1.347812,1.270398,1.319666,0,STAR
655706,0.4924985,9.016449,13.96404,-0.1958525,0.4542638,215.487619081603,49.8931251346225,25.2895,22.03041,20.53272,19.57478,19.06548,2.970433,1.769345,2.546897,2.542732,2.813036,0,GALAXY
722115,0.02819432,4.88921,5.935352,2.483166,3.616561,167.064718546392,36.1311894360058,21.9371,21.59456,21.70322,21.75771,21.88999,1.375752,1.416824,1.352606,1.425322,0.9983319,0,GALAXY
504227,0.6143392,4.57754,6.571143,-0.0621499,0.315681,133.599607697867,46.4515652038889,23.01055,23.20673,21.32346,20.28515,19.84179,4.583879,2.970201,2.192414,1.717064,1.744908,0,GALAXY
1010833,1.211507,36.67965,33.42525,16.36185,23.28321,165.000328997749,6.54051516812283,19.54167,18.97312,18.58649,18.63976,18.67012,1.550717,1.483841,1.244252,1.231077,1.186885,0,QSO
811552,0.07974013,37.70355,42.97774,4.36237,13.98281,210.099730746804,39.631147308818,19.31548,18.01272,17.4027,17.08814,16.89222,6.999337,5.688699,5.691434,4.882789,4.986392,0,GALAXY
219990,1.499696e-05,5.000101,5.785384,0.755044,2.427194,246.629343989921,34.8464648167628,22.77845,21.55763,21.10612,20.94708,21.08045,1.16081,1.060482,0.8973582,0.8539423,1.509342,0,STAR
8816,3.594332e-05,423.0311,500.2224,15.19121,107.6093,28.3300488272906,13.1462382400586,19.73558,17.37723,16.34543,15.97466,15.76309,1.858207,1.495367,1.29713,1.427266,1.349828,0,STAR
1194585,2.52286,2.640713,3.22977,1.604617,2.440382,213.476131342393,32.5766220587824,21.70929,21.27042,21.22779,21.16371,21.12743,0.9697813,1.281488,1.283195,2.385673,1.134735,0,QSO
1164333,2.524447,1.517315,1.971808,1.096101,1.495366,192.147158026859,48.0052063242149,22.02984,21.94015,21.98913,22.1011,21.08126,1.460989,1.471555,1.175912,0.8881825,0.7067139,0,QSO
1221676,1.330297,19.87023,19.27681,16.18405,13.87515,154.5972050266,33.7103219237403,19.43875,19.39434,19.16772,19.13794,19.01623,1.727024,1.436133,1.504445,1.290076,1.405913,0,QSO
578814,0.2483603,42.05568,66.9733,4.715661,7.049627,147.312155581023,48.4811000507088,21.64019,19.43206,17.98433,17.4695,17.08137,3.312246,6.129635,5.387767,5.347379,12.7806,0,GALAXY
1089718,1.571379,129.9426,131.3974,82.49261,93.55241,159.702560962872,38.5467954375862,18.10103,17.86173,17.73148,17.50315,17.53991,1.372604,1.14417,1.133627,1.103604,1.013056,0,QSO
683252,0.1447797,135.4044,183.9976,8.436076,27.72224,233.063799868129,43.6456971948257,19.65632,17.77166,16.60638,16.11573,15.74541,4.148884,6.722811,5.512442,5.624592,4.634263,0,GALAXY
921878,0.583252,3.506052,6.500417,0.03125397,0.1876775,121.892549487451,41.3633102291172,25.43224,24.16375,21.73234,20.57908,19.89803,0.7089568,2.970498,2.969989,3.532853,3.157646,0,QSO
