,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,ra,dec,u,g,r,i,z,labels,class
942565,0.5317384,6.441877,10.10577,-0.01242834,0.5144278,256.560549934502,21.6821588448967,24.93307,22.45172,20.77664,19.77669,19.07796,0,GALAXY
699323,0.5027481,5.795227,8.4559,-0.03229883,0.5919235,133.941684236719,45.1881029232637,24.74608,21.78671,20.20508,19.3361,18.93518,0,GALAXY
1186747,1.995439,8.297685,10.16844,15.05316,8.115555,207.418055059156,58.6917870795034,19.8484,19.89306,19.96874,19.73919,19.51231,0,QSO
1140317,1.830567,14.98547,17.68309,6.230939,8.400533,13.7640368863672,14.6938905227002,20.44765,20.1999,19.9097,19.46886,19.38171,0,QSO
573207,0.1849795,41.34276,50.86959,6.669091,12.18736,332.571078704769,-8.98019966928638,19.44492,18.48753,17.73686,17.40117,17.17742,0,GALAXY
1125435,1.034677,2.975484,3.215071,3.565125,2.89616,161.973053439361,50.8531234938415,21.1375,21.31638,21.17376,21.24041,21.09009,0,QSO
1468873,0.6999619,6.472508,8.355538,2.64054,3.956631,159.906882112639,9.45980562687228,21.67107,20.98636,20.83944,20.53905,20.10676,0,QSO
1256321,1.371784,1.550651,1.633631,1.659758,0.9870217,224.305852864518,37.9164016890368,21.97639,21.97984,21.60158,21.54931,21.31024,0,QSO
862684,0.3178606,13.6256,20.24394,1.02862,2.233247,174.701784885712,41.9300520775598,22.30888,20.43715,18.66977,18.17311,17.78065,0,GALAXY
299118,-0.0002639302,85.153,102.6067,10.57852,30.12906,252.084936344946,23.8357326913586,20.13998,18.53621,17.81536,17.48943,17.29815,0,STAR
23992,-0.0001910127,10.07954,7.219082,12.05982,15.43048,245.640377166209,-0.723684263556997,19.71091,19.53634,19.82937,20.02964,20.1309,0,STAR
1076341,2.128284,5.818205,7.719326,5.07354,4.61969,147.43109670925,2.95392634175353,20.82183,20.29827,20.28349,20.22416,19.87871,0,QSO
832530,0.5319277,7.25714,11.1552,-0.08478636,0.5914536,161.882635190982,31.6693517427128,22.69615,22.35594,20.8767,19.90999,19.59615,0,GALAXY
1014397,2.367403,5.002299,5.833489,2.865278,5.146773,229.58994986064,-0.351724607069021,20.73833,20.2444,20.08028,20.11992,19.98987,0,QSO
141724,-5.512298e-05,481.552,552.8802,67.28883,199.3419,126.390051606768,37.6311064966908,18.23264,16.67387,15.99726,15.73251,15.59336,0,STAR
72682,-0.0001425737,787.8903,1233.56,78.24113,110.2938,200.477501805472,1.68188974835229,17.97994,17.73311,18.04731,18.60013,18.24364,0,STAR
1457771,1.174606,32.9795,30.19358,30.73901,29.60768,168.686623986401,29.1291685082497,18.95654,18.89494,18.75507,18.77343,18.89013,0,QSO
247635,-9.056953e-06,18.43685,32.68594,0.03290093,1.117076,219.429198388005,11.0712911392494,24.58804,21.94463,20.40766,19.41018,18.84552,0,STAR
967982,0.4607232,12.201,18.91445,0.2250866,1.134213,220.1681538057,6.7891081107602,23.70556,21.79142,20.07138,19.29382,18.85054,0,GALAXY
1475503,1.81065,2.456396,2.2008,1.470919,1.80405,127.690592759041,42.7448461239675,22.27617,21.86643,21.69159,21.22881,21.36357,0,QSO
835650,0.4602305,9.191876,14.1053,0.1051635,0.8518535,145.154922492358,40.1045601877009,24.18216,22.43632,20.7269,19.8398,19.32126,0,GALAXY
582805,0.681102,6.293261,7.98331,0.9475043,1.369986,221.598524312587,6.05945620476089,21.72416,21.5658,20.93024,19.98854,19.70133,0,GALAXY
661497,0.6443572,8.062388,12.46185,-0.03645163,0.3869761,199.347866160345,3.78286790809156,24.32831,22.03511,20.54331,19.45733,18.99335,0,GALAXY
1387980,2.198685,11.92813,15.36737,10.90517,11.9188,168.329223500571,36.7474575613418,19.78394,19.33596,19.42427,19.35999,19.1405,0,QSO
1237531,2.177115,2.681962,3.63209,1.536475,1.780756,157.252686665322,45.4217324037101,21.69213,21.29359,21.17532,21.01571,20.44365,0,QSO
1070480,1.559314,8.120645,9.454302,2.092701,3.629592,159.8752136629,-2.32235025781582,21.98323,21.31868,20.8374,20.44945,20.08662,0,QSO
954392,0.3989909,18.12579,27.95095,0.5419332,1.963392,254.842533129016,25.0365874512602,22.22195,20.6675,19.00711,18.30769,17.86979,0,GALAXY
1331901,2.014081,17.16818,20.55217,17.14916,13.13832,240.23384137812,39.9315072833389,19.94154,20.1204,20.09779,19.88976,19.56009,0,QSO
245402,-0.0001949427,17.16652,17.14696,7.015323,11.14842,133.323175514676,37.2730809893052,20.85494,19.88381,19.55807,19.42141,19.38652,0,STAR
251157,-0.0004111727,23.83994,25.80371,6.223611,13.49579,182.616018800586,11.2048575116215,20.60405,19.58635,19.28671,19.14818,19.01948,0,STAR
679633,0.6219088,9.585982,16.94119,-0.01889376,0.4014966,129.914855045239,7.23362075000973,22.97042,22.94618,20.41502,19.00706,18.5292,0,GALAXY
51716,0.000331723,7.118398,6.045064,4.642416,7.440905,147.43661487611,59.0028211295573,22.13135,20.53729,20.31343,20.25611,20.04615,0,STAR
75982,-0.0001034263,1.18581,1.269199,0.9551805,1.425113,117.057470661707,35.6144006567941,23.08612,22.06034,22.2946,22.26185,21.81827,0,STAR
651226,0.03906194,449.6604,591.8354,35.81339,130.6185,115.328602027681,29.1208709902711,18.07596,16.22944,15.29179,14.87351,14.5378,0,GALAXY
615997,0.5544456,13.02391,22.2143,0.07232836,0.7517956,146.2742628274,49.2644584187705,23.92332,22.29417,20.61988,19.62454,19.1724,0,GALAXY
118249,-6.92805e-06,29.9854,30.33398,12.74818,20.35707,145.586900158992,52.4492052868885,20.09322,19.11812,18.865,18.76467,18.77182,0,STAR
572189,0.1314239,60.75689,77.42857,8.731657,19.43646,169.655905021528,2.19997033545966,19.72455,18.29534,17.51161,17.08756,16.75773,0,GALAXY
321720,6.894894e-05,169.0459,182.2165,14.02396,71.23702,52.2742632106814,-0.211182569507689,19.42405,17.76761,17.09976,16.87675,16.73291,0,STAR
860849,0.5518771,6.337887,9.904213,0.1081074,0.4666322,131.891494808814,24.6123471748354,26.72608,23.38304,21.27207,20.18992,19.75974,0,GALAXY
227632,-0.0001716506,4.549683,6.754118,-0.02998779,0.7030437,254.067085329803,31.352845892903,24.58547,22.91969,21.29448,20.8648,20.3956,0,STAR
1479373,2.235384,2.105536,3.123599,1.290786,2.148108,227.386074457975,22.6409628720934,23.12676,22.06021,22.09372,22.33704,21.54986,0,QSO
1131783,1.11999,3.741728,4.675429,0.6489696,1.345233,186.366522948103,57.0277864282793,23.25779,22.29807,21.21911,20.88563,20.90584,0,QSO
1320997,1.423754,10.53344,9.556991,11.11085,10.39274,227.447993535862,38.7399109863361,20.43487,20.34587,20.26972,20.22097,20.37004,0,QSO
294662,0.0001214837,603.1227,608.8309,200.3048,381.1348,194.334589504809,10.7099255230434,17.02355,15.97915,15.62623,15.50492,15.50414,0,STAR
830536,0.1936411,21.70502,30.5683,0.8907407,3.739432,130.757434888316,29.4297360736758,23.92186,20.60282,19.26151,18.71862,18.36939,0,GALAXY
1113163,3.138807,5.787393,5.481009,1.666318,3.734586,142.229089044734,51.6554442058929,23.30652,21.02352,20.51975,20.5355,20.75941,0,QSO
660508,0.7342536,4.432837,7.77424,0.6676784,0.8798562,124.373235655975,24.4355780974517,23.91623,24.83847,21.68102,20.58252,19.62853,0,GALAXY
790136,0.7379231,0.7086591,0.9116393,0.08865516,0.1322087,321.70706407332,0.168430940560814,22.47594,22.28981,21.98395,21.04606,21.29329,0,GALAXY
1198162,1.008618,6.904161,8.274973,5.922832,5.805512,180.089807383308,47.4551261328675,21.20409,21.01759,20.69216,20.74721,20.78309,0,QSO
292768,-0.0007544354,8.114946,9.378328,2.043813,4.718188,228.318211045396,38.2565510942208,21.85602,20.93055,20.49124,20.35113,20.34252,0,STAR
1169683,2.223313,5.63383,6.491881,3.445888,5.36448,181.499725616195,10.4981051714008,21.17679,20.75701,20.63852,20.6496,20.39618,0,QSO
549039,0.4697576,10.20438,14.38789,0.1533476,1.050979,173.421428000433,1.47738915231745,24.42263,21.8543,20.2761,19.36867,19.05083,0,GALAXY
1424780,0.9741416,8.335961,10.059,3.94776,4.901063,228.948480916816,43.0808185315627,21.16237,20.70127,20.24476,20.16701,19.89851,0,QSO
956332,0.5948288,7.467919,12.29877,0.04920657,0.5180023,178.571994444566,28.1888319747462,26.20773,22.25904,20.34861,19.20482,18.83608,0,GALAXY
912926,0.543595,11.70189,17.25747,0.6614976,1.35331,208.333203590817,50.5595746036894,23.72196,21.67723,19.95628,18.9627,18.62267,0,GALAXY
424583,-0.0004348244,68.07098,68.26195,26.67193,45.90501,135.874466215759,61.5393063165849,19.49047,18.36614,18.00773,17.87746,17.82277,0,STAR
812367,0.553088,6.06124,9.736951,-0.09603838,0.3987597,129.148347680068,6.41150351747772,24.0838,22.77418,21.35791,20.1919,19.61718,0,GALAXY
1285356,1.751706,8.713778,9.256416,5.405682,6.310984,146.493811439781,39.4514443221062,20.22254,20.03938,20.01643,19.73221,19.65121,0,QSO
719867,0.1759062,104.8143,136.18,8.353,22.90851,217.651888044631,13.5861124926305,20.08834,18.23058,17.07219,16.61969,16.2896,0,GALAXY
695263,0.4370987,7.205267,11.98101,-0.002589976,0.4962123,155.976229511982,12.3874636647232,23.57746,21.83578,19.81268,18.95179,18.19598,0,GALAXY
872198,0.03101506,449.547,593.4073,39.06944,129.4477,212.738471458398,25.4972276301872,16.32344,14.81692,13.86646,13.40992,13.02027,0,GALAXY
1381205,3.464572,6.58346,6.439751,1.017878,2.78598,225.029368464306,11.7973961976745,23.76328,21.1654,20.57763,20.42902,20.52987,0,QSO
1361223,1.199221,9.761995,8.427059,9.848453,8.851348,230.126399282252,42.9471606006913,20.42855,20.20862,19.95503,20.03061,20.30004,0,QSO
1198004,1.996669,2.101702,2.628733,2.333416,1.358971,237.868874097204,42.9212867986233,22.3166,21.65887,21.54755,21.64534,20.82547,0,QSO
606677,0.8889366,4.43348,9.92642,0.09128379,0.269892,135.502139080352,43.7722378731663,23.9564,24.11546,21.71343,20.53307,19.85666,0,GALAXY
900803,0.7004315,4.753613,8.061848,0.262719,0.4642552,140.029669844022,9.68997298883676,21.42562,21.30237,20.45733,19.53573,19.02913,0,GALAXY
385420,0.000149131,108.9184,118.7104,31.30608,63.1326,130.896277856642,56.7170702794009,18.82707,17.86761,17.54261,17.39834,17.39811,0,STAR
1287521,1.226188,14.3231,13.33139,12.16158,12.93327,247.277309724827,36.4730218337148,19.88627,20.57649,19.66884,19.71296,19.81394,0,QSO
104029,-0.00024974,9.64141,17.85371,0.3165682,1.040021,225.38252068523,3.41905705009757,23.05713,21.89775,20.28975,19.40979,18.79432,0,STAR
1166550,2.337402,1.306614,1.524894,0.4528446,1.034075,183.14338758375,57.5235720765169,22.2596,21.45164,21.38168,21.53654,21.09422,0,QSO
292817,-0.0005929958,250.7828,253.8653,104.0969,176.0538,180.830993010438,39.5569149804571,17.78678,16.85397,16.60032,16.52646,16.50879,0,STAR
1145544,1.97383,3.792523,4.3321,3.863995,2.92394,131.663036175001,35.8233240007486,21.22733,21.21223,21.18054,20.96938,21.54435,0,QSO
74139,-2.014258e-05,1.916407,2.289297,1.199941,1.431517,32.4682713743895,-9.17444348909829,22.98598,21.99769,22.13873,22.13862,22.53853,0,STAR
981392,0.1224742,91.39131,121.3376,6.485924,23.99799,195.880764607541,51.0153383304481,20.15973,18.22718,17.26722,16.87823,16.57686,0,GALAXY
103724,-0.0001309032,41.24891,47.94424,4.448224,17.1437,226.248033131472,4.08416189507402,24.63466,20.39049,19.28707,18.59574,19.56783,0,STAR
330576,-0.000229924,16.61049,19.9584,0.7212068,4.921875,190.850566128825,48.2393861033795,23.96881,21.07309,19.89042,19.50158,19.35563,0,STAR
556244,0.2906643,31.28683,41.79654,2.243827,4.978124,52.681031878496,-6.22998730786794,21.69387,20.22847,18.81832,18.33666,17.92402,0,GALAXY
1249622,0.4855476,21.19952,26.40619,14.21669,14.49796,224.008164939121,46.8328295410417,19.84871,19.56,19.53731,19.18079,19.1355,0,QSO
263414,-0.0003751922,96.84084,97.3026,25.49181,61.24686,235.82216550048,41.176080557253,18.81597,17.90532,17.58016,17.46472,17.43655,0,STAR
1374577,3.100791,2.124234,2.022466,0.3214323,1.294913,239.748091319621,22.7459070252321,23.50527,21.52229,21.14863,21.05578,20.98743,0,QSO
596461,0.4861229,11.61743,18.73813,0.1648074,1.010175,0.932236815659792,16.017280549605,24.16528,21.72684,20.14495,19.29256,18.76846,0,GALAXY
55296,-0.0008993365,433.7882,437.7525,169.8447,283.5419,146.370901218305,61.5764415071827,17.38842,16.38049,16.0296,15.89378,15.84131,0,STAR
358390,-0.0001084497,34.47863,62.36941,0.05033979,2.275811,254.104547396231,21.7517306883922,24.33489,21.37789,19.71654,18.56352,17.85849,0,STAR
261125,0.0001447504,8.240011,16.30755,-0.03444772,0.44457,255.318731270789,25.8201424078679,23.95715,23.84524,21.26364,20.11914,19.59756,0,STAR
625953,0.6845805,5.096274,8.473999,-0.008674556,0.2143532,131.639977657472,44.8431868414721,26.09895,23.86731,21.47315,20.15438,19.51067,0,GALAXY
155506,0.0009094412,1.844289,1.90452,0.8731895,1.802173,191.218988593276,62.2279340181431,21.96833,21.4964,21.70518,21.8568,21.06284,0,STAR
1192333,0.4806616,20.07512,24.78773,12.76882,14.05359,179.280824532057,46.6005494152054,19.56448,19.30197,19.30394,19.14163,18.92365,0,QSO
782698,0.5329579,5.500368,10.56466,-0.00416943,0.2556174,156.122999144585,10.2977400776557,25.84897,23.37761,21.52096,20.37595,19.74281,0,GALAXY
486561,-0.0002410474,45.62641,49.26634,5.427748,20.37604,341.070915812293,-0.469864100078849,20.65904,19.25411,18.61881,18.37078,18.30327,0,STAR
7637,-0.0001045878,28.51558,24.50158,27.36006,41.93502,166.083488389495,-0.60783354793272,18.80905,18.37338,18.64598,18.83105,19.01808,0,STAR
451994,4.016043e-06,68.06944,96.55872,-0.4954774,6.60107,13.5942708733322,-1.12410485522787,22.86111,20.19479,18.71391,18.01329,17.61311,0,STAR
527882,0.1605679,110.5206,145.7502,6.832741,21.88755,182.137106811316,2.40035582750344,20.30344,18.13608,16.882,16.35976,16.00039,0,GALAXY
80091,-0.0001912317,213.2527,224.7912,33.84678,100.0521,311.43011532038,-6.62883511623373,18.94733,17.43396,16.87552,16.69415,16.61197,0,STAR
577088,0.5702482,9.670263,15.92871,1.418324,1.940313,161.815695398353,2.79042299053093,22.68706,21.37288,19.92114,18.71798,18.28305,0,GALAXY
332469,2.03031e-05,30.73896,29.53709,15.27557,22.39592,143.226534488548,38.1857632653714,20.01493,19.11821,18.8686,18.77515,18.8114,0,STAR
855947,0.2918236,8.91981,12.58212,2.424859,3.616281,220.153908074916,52.8506421563206,21.82652,20.74531,20.07392,19.76573,19.29083,0,GALAXY
1298741,2.038698,3.568785,4.699241,4.580905,2.802353,9.28276909462139,0.807413923546099,22.77723,22.33505,21.95475,21.88857,21.70779,0,QSO
775239,0.4663158,9.806895,14.52743,0.1246844,0.9967782,169.680917265361,57.3830641560844,24.77389,22.14623,20.37728,19.57255,19.12063,0,GALAXY
1467252,2.818823,23.26447,24.96987,15.81411,20.85117,228.30149467976,14.3157238139588,20.31065,19.39101,19.2088,19.22933,19.10379,0,QSO
62327,-0.0001046391,22.62565,28.6597,1.648218,7.176998,121.067773946114,45.8416309432764,23.26659,20.46752,19.64833,19.23117,18.93256,0,STAR
954548,0.05471316,321.8499,414.899,22.85555,91.0107,214.169505278951,8.21424863182862,17.62737,15.70323,14.81192,14.39479,14.06743,0,GALAXY
932691,0.3924812,18.54834,29.79091,0.2949141,1.677593,206.401361583574,14.1992327651038,27.32764,20.54598,18.86762,18.18831,17.70557,0,GALAXY
1297899,1.668254,18.21961,19.27216,10.71387,13.71051,239.062673257819,9.29775942692155,19.8207,19.53337,19.42246,19.26024,19.36116,0,QSO
164204,0.0005448727,512.4788,534.641,188.4389,317.1484,155.870587805884,53.6189364688685,17.15215,16.15463,15.76962,15.59026,15.5405,0,STAR
860625,0.1212734,138.5623,184.8408,8.743718,32.71344,245.715800842127,34.8032955278469,20.00601,17.85628,16.77635,16.32911,15.97327,0,GALAXY
1494541,1.010989,13.86735,18.75133,8.067584,9.582075,187.518361689057,31.2148634753712,19.96611,19.7178,19.57214,19.52407,19.31838,0,QSO
1319565,1.968052,31.1512,37.34237,24.37651,21.59663,240.40966663822,29.7928990933138,18.95088,18.7882,18.69777,18.51813,18.49567,0,QSO
923325,0.2119733,66.76925,87.31989,4.205812,11.60029,226.691807752683,28.5662331860865,20.49565,18.81278,17.53313,16.99188,16.6377,0,GALAXY
1077549,1.130584,2.609888,2.875606,1.452321,1.885151,251.135785568392,35.9672237178495,21.53388,21.42231,21.26087,21.18873,20.72906,0,QSO
921692,0.07967349,109.0775,139.1708,10.40406,33.70416,226.964610805202,37.0806545797057,19.08317,17.37796,16.54521,16.16821,15.89279,0,GALAXY
22060,2.365928e-05,412.9202,587.405,8.333926,66.27013,143.120363444676,0.003308436987611,20.54756,17.89684,16.58427,15.98071,15.61482,0,STAR
1118726,0.5873669,9.966431,11.49428,6.010702,6.905447,124.333210651829,31.4155570071037,20.62177,20.31633,20.18959,19.93156,19.94535,0,QSO
501915,0.6144384,4.835214,8.004937,0.01270597,0.3592433,210.551030681649,-1.19304350461187,22.91108,22.60758,20.93284,19.8605,19.37564,0,GALAXY
502100,0.5018208,8.351667,12.79353,0.3464344,0.9393721,220.078324360509,0.0232153794080062,24.68273,22.1189,20.45371,19.61313,19.04,0,GALAXY
135711,-0.000308762,738.027,763.8536,309.8425,494.9755,145.278154082386,52.1582629837578,16.47714,15.54629,15.24813,15.15931,15.16351,0,STAR
458330,-2.267761e-05,66.16417,68.84465,14.29127,35.78634,182.769623796144,39.1127231641691,19.93561,18.64506,18.13123,17.9555,17.94523,0,STAR
869100,0.5589005,5.524738,8.317031,0.2202526,0.6722076,185.216840756895,42.7497977207755,22.40969,21.54202,20.2678,19.46178,19.11693,0,GALAXY
759657,0.6268031,3.712851,5.56179,-0.1089478,0.2029853,241.943233339936,43.0180473099101,26.08492,23.62549,21.34968,20.2867,19.59522,0,GALAXY
367540,-0.0003074487,8.440721,11.56961,0.3920856,1.631811,197.158960773952,44.4754947667457,24.38566,21.85251,20.65328,20.17675,19.91211,0,STAR
120095,4.93266e-05,4.687089,5.390027,0.5650138,2.127522,120.782951315668,39.0707069407873,24.12316,21.52663,21.06647,20.82361,20.62256,0,STAR
548070,0.5170279,5.354076,9.07182,0.07880552,0.4388388,114.433833932284,38.1035269925522,22.02175,22.73596,20.681,19.82335,19.10487,0,GALAXY
977384,0.1035152,28.44007,32.78247,5.731595,11.89001,1.37126947628246,18.5434213332957,19.68646,18.9747,18.51773,17.88458,18.24195,0,GALAXY
1201993,1.600614,4.09516,4.252139,2.550753,2.850113,130.447510844311,28.12926085467,21.2074,21.15903,21.10345,20.81823,20.48642,0,QSO
794544,0.8588939,3.671407,7.16314,0.02803247,0.2107598,221.615841812096,52.5832429303547,23.91949,23.29604,21.52881,20.4823,19.62061,0,GALAXY
245841,-4.130445e-05,30.71409,36.48673,1.896619,10.79714,118.376754491243,26.3717185872839,21.2548,19.61002,19.01889,18.79707,18.7205,0,STAR
733573,0.07169055,48.48614,58.93436,5.435707,15.93622,187.41299122681,6.70352727017755,18.91233,17.43675,16.77168,16.41699,16.15729,0,GALAXY
115469,-1.137393e-05,199.6484,257.9472,6.2526,41.63093,132.960779118096,49.6817266754669,21.17291,18.46754,17.33264,16.80806,16.59743,0,STAR
42334,-0.0005627511,59.03945,64.46448,12.05547,27.68007,203.579046137809,65.5439147088617,20.4084,18.8942,18.27483,18.04464,18.00148,0,STAR
1447642,0.672249,6.265993,8.238071,1.189406,2.670124,222.85479086341,14.3332596097167,21.72022,21.07784,20.63623,20.2983,20.25661,0,QSO
320005,-0.0001745446,24.73829,24.72581,20.21078,27.06744,227.996839779703,42.1818040784825,20.00915,18.85954,18.9191,19.04067,19.0594,0,STAR
1377440,1.302019,50.70464,49.91418,37.91842,36.56867,357.490831089686,35.6202560727794,19.1391,19.04618,18.66389,18.62285,18.67351,0,QSO
566290,0.4766909,8.474234,13.01659,-0.1020251,0.6028737,150.789641942871,1.74518602353251,23.76903,22.00867,20.23262,19.35096,18.97319,0,GALAXY
133297,0.0009059645,3.976935,4.156446,0.8345146,2.501576,142.479255373715,-1.46651983234289,23.74777,21.36536,20.87938,20.50844,20.52402,0,STAR
1204617,1.890698,9.265862,8.779867,10.7358,8.764006,147.635563437946,48.5928281909475,20.28332,20.11962,20.18996,19.92479,19.82359,0,QSO
710382,0.4629352,11.27665,16.94504,0.2748719,1.317136,134.835553509484,44.2683606952812,22.39011,21.01854,19.43735,18.73886,18.28444,0,GALAXY
898783,0.5514482,7.991105,12.66762,-0.06754956,0.5251061,221.782771093911,8.87049034207757,24.78034,22.7566,20.8608,19.7478,19.31054,0,GALAXY
1194197,1.020723,9.533818,10.00115,8.582382,8.706905,142.096728367673,47.6142068225808,20.33279,20.14506,19.82046,19.95583,19.85196,0,QSO
818975,0.3767447,20.93976,30.14735,0.2329973,1.874573,213.221022829742,40.8398733572171,23.61342,20.33381,18.53064,17.88266,17.48244,0,GALAXY
453947,-3.79598e-05,22.7639,26.92751,0.2267548,5.296035,357.110997181649,42.7595209744268,23.11243,20.67542,19.56674,19.11391,18.90146,0,STAR
132589,-0.0001056186,6.281744,11.71135,0.5390204,0.8560733,122.312614940447,37.8593254903643,22.66584,22.35842,21.55091,20.42059,19.53413,0,STAR
35409,-0.0001273015,12.73526,21.11783,0.9586123,2.368249,261.114775156558,26.1231830354308,21.25696,19.88661,19.11136,18.34291,17.75318,0,STAR
869300,0.500587,8.967849,14.33889,-0.07705221,0.6329899,231.655866386376,23.2573714472224,22.81758,22.39961,20.67532,19.64833,19.14911,0,GALAXY
284303,-1.258569e-05,117.7238,161.054,0.8283396,16.77028,188.776497445596,53.8474838994389,21.79807,18.94162,17.64473,17.12173,16.82215,0,STAR
425893,-0.000872353,41.86705,53.53949,-0.7889965,5.825301,339.757903597089,22.6798331279207,23.76245,20.41572,19.01001,18.38434,18.04507,0,STAR
397299,-0.000484869,22.40097,30.55954,0.1521129,2.724645,215.262012489368,36.5480805534254,24.00727,21.33278,19.82243,19.09643,18.72079,0,STAR
732226,0.5726675,8.133916,13.73582,0.08832297,0.510378,125.089611804844,4.70003334892192,23.62075,23.11824,21.15988,19.99651,19.56741,0,GALAXY
230951,0.0001436032,33.03113,33.99095,10.48044,20.5318,118.666181069585,22.9547510187644,20.36527,19.13684,18.8374,18.68574,18.65073,0,STAR
1124395,1.960595,5.889544,7.557698,7.016445,4.100911,140.842874329683,44.2110578990244,20.57068,20.72547,20.73796,20.34808,20.17807,0,QSO
624448,0.1855371,70.62136,91.74438,4.517169,14.36367,138.600911516318,50.4885533913066,20.85232,18.82859,17.57133,17.06992,16.7347,0,GALAXY
573375,0.5985023,5.399378,8.656548,-0.01955798,0.3516924,165.904452688331,5.8055199970833,24.533,22.9598,20.71467,19.73793,19.28872,0,GALAXY
1194480,1.24262,4.955042,5.572311,2.915179,3.070009,202.907659673974,54.6907658133793,20.72857,20.71564,20.51791,20.45343,20.64572,0,QSO
212983,-2.923563e-06,140.2872,205.0546,1.845136,16.24953,10.2821204306959,-0.159884909132072,22.29889,19.44639,18.0092,17.06287,16.69381,0,STAR
746235,0.03205629,82.64177,101.0652,9.028464,27.14666,236.042111439136,27.4114356292227,19.71255,18.0609,17.31855,16.93659,16.67472,0,GALAXY
66415,6.486603e-05,58.93977,73.646,1.809243,16.78844,120.321509352885,45.7639059846874,22.17283,19.69722,18.66524,18.26426,18.06591,0,STAR
108793,-1.708491e-05,49.51464,57.06559,1.71115,12.90018,27.8986406320357,13.782325283303,21.84965,19.5739,18.61307,18.27948,18.07993,0,STAR
1494286,1.550432,3.063385,3.057341,1.1434,1.509562,19.9527375287075,24.7560874184581,22.5531,22.55936,22.11645,21.77376,21.50539,0,QSO
1000255,2.902664,22.84066,24.09297,6.408545,12.60862,198.621200032002,-0.638191890174993,20.40488,19.59775,19.34606,19.24985,19.25088,0,QSO
1002693,1.069322,33.03503,29.29329,25.31464,26.27438,142.969752268035,-0.755267803896238,18.58518,18.43782,18.18461,18.24527,18.35275,0,QSO
172753,-4.879907e-05,31.7096,36.49042,0.9620052,8.484361,336.74370943438,-0.802103440230042,21.72784,19.86207,19.01577,18.70033,18.5108,0,STAR
41660,0.0007138692,2.394886,2.836348,0.8997182,1.746698,146.401113027872,-2.25827406441957,25.48003,21.83485,21.35083,21.13256,20.98537,0,STAR
577452,0.1400681,87.44487,119.4338,6.566665,19.23525,201.250885844665,2.97413377189768,19.76963,17.69461,16.54643,16.08052,15.70853,0,GALAXY
103989,0.0001183604,116.466,124.9551,22.76881,54.65971,183.682583332479,4.40720593311973,19.37847,18.04495,17.51466,17.26991,17.1777,0,STAR
1050302,1.007343,5.591845,9.38445,0.5413748,1.393255,201.097084651626,1.57338811311498,23.13201,21.96194,20.99822,20.52086,19.72013,0,QSO
1183610,0.949654,13.3527,15.23986,9.894122,10.34808,120.055861950643,24.5827333051214,20.55191,20.25017,20.03159,19.93235,19.74721,0,QSO
1281699,1.569045,6.533565,6.118385,4.175728,4.876788,200.592599441836,42.2830333789114,21.02719,20.93317,20.81362,20.72626,20.59335,0,QSO
364562,-0.0002478639,16.00359,23.5847,-0.07911029,2.292754,168.968437300592,50.3078219354773,24.66905,21.5619,20.21838,19.51685,19.10804,0,STAR
263683,0.0001241503,29.43118,28.8323,9.72889,18.91964,126.625796902318,33.137375017192,20.3732,19.28048,18.90135,18.76903,18.74482,0,STAR
454147,8.242903e-05,21.48632,24.56177,4.310953,10.63361,141.687767699119,29.2083494027763,21.37129,19.92735,19.36884,19.13948,19.0418,0,STAR
749943,0.1123397,170.9866,227.5734,12.56993,45.53346,167.189614740018,45.1212037077708,19.11842,17.18166,16.17793,15.75933,15.41003,0,GALAXY
243065,-0.0001913372,41.96294,41.18148,19.36479,28.7763,238.772707005328,43.9435605937733,19.76364,18.83825,18.52092,18.42321,18.37541,0,STAR
753061,0.08023583,166.9648,222.2967,12.04997,43.41751,225.939630759422,8.02571784458116,18.61754,16.84624,15.972,15.54303,15.22324,0,GALAXY
81882,-0.0002848558,221.0548,238.5773,49.37502,113.3289,17.3312239774065,-10.2982171263688,18.53729,17.37332,16.80793,16.56794,16.41955,0,STAR
517875,0.591103,6.014635,9.947259,0.006713033,0.3618863,173.06775603852,-2.81834459096482,23.51421,22.84464,20.91029,19.78511,19.36411,0,GALAXY
841339,0.5221324,11.31635,17.52548,-0.02118709,0.8624757,124.419102594948,5.27496252654307,24.50898,22.05333,19.97456,19.01566,18.67751,0,GALAXY
1116844,1.592551,14.47674,14.65919,7.232896,9.464028,127.51330809038,32.843218131102,20.16424,19.9508,19.92834,19.72595,19.80251,0,QSO
219087,-0.0001718299,6.053611,6.50419,1.386723,3.243973,211.922950038493,51.8740818379581,22.62022,21.27013,21.17697,21.63381,21.53866,0,STAR
760809,0.1935169,50.99253,69.19487,2.758455,9.084818,123.593196745506,25.3560697528827,22.71639,23.35774,20.68592,20.24002,17.97975,0,GALAXY
914666,0.3433373,39.62107,54.64701,1.435272,5.314386,222.510670673892,5.82989130805223,22.35856,20.23129,18.52789,17.976,17.58618,0,GALAXY
153830,3.135723e-06,408.5814,430.9764,100.9458,214.489,244.324496084968,44.722368396287,17.79181,16.68252,16.20499,16.01519,15.9377,0,STAR
663856,0.6120903,7.570012,11.86885,0.196522,0.711187,156.734038543498,56.771271539774,25.21248,22.04963,21.2234,20.13569,19.61281,0,GALAXY
