,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,ra,dec,u,g,r,i,z,labels,class
1365297,3.385605,16.43919,17.93831,2.307022,9.318379,230.143912899914,38.6518199635502,24.40877,19.76488,19.14486,18.99262,18.95849,0,QSO
754617,0.3578143,20.71582,33.77415,0.5539933,1.865106,195.968597647002,8.30872391611218,24.14066,20.78641,19.01067,18.33336,17.84805,0,GALAXY
1328138,0.8697849,0.9138698,1.594504,0.2213348,0.3323979,24.2087679416342,0.426313766511095,22.66618,22.51799,22.47135,22.17562,21.56698,0,QSO
1037179,2.488795,13.25143,13.96003,7.653163,12.59116,155.789462791586,63.13337031968,20.08462,19.49512,19.32155,19.43293,19.30217,0,QSO
1071980,1.420363,3.633896,3.491844,3.262014,2.499216,132.076684914355,48.658881886498,21.44274,21.52336,21.29887,21.04244,21.24802,0,QSO
517216,0.08794834,37.87186,46.61032,4.968198,13.1147,148.035605946055,0.97314234436816,19.66768,18.36192,17.7045,17.31318,17.07423,0,GALAXY
248643,0.0002404937,48.51482,90.93056,0.7023917,4.73854,163.228623292827,45.6815534963455,22.0289,20.83411,19.40927,18.24487,17.68356,0,STAR
140619,-8.220541e-05,369.3893,467.1383,6.281056,69.86866,257.450729481843,29.5790817946975,20.57051,17.90408,16.70457,16.22369,15.97498,0,STAR
50110,-0.0005793377,15.55835,15.59141,4.01681,8.089268,129.902529086404,53.8184414234414,21.12626,20.07191,19.6837,19.5054,19.32285,0,STAR
1011415,2.22554,1.130294,1.843591,0.376611,0.8915952,130.589147926996,-0.0404011476129498,21.87414,21.10217,21.30409,21.1015,21.0598,0,QSO
279359,1.624842e-05,326.9394,398.2064,9.457228,91.53654,166.896527637047,13.9288555416192,19.96564,17.55358,16.59852,16.26928,16.08331,0,STAR
1219926,1.163068,37.6861,35.10131,33.97271,32.9176,205.03786479123,47.7786581954584,18.87035,18.74285,18.52942,18.60093,18.77883,0,QSO
237363,0.0001814737,20.50352,23.52472,2.009257,8.220221,173.830463093286,48.8457239117813,21.73731,20.21095,19.49242,19.17378,19.14713,0,STAR
25800,0.0008394035,7.51402,7.857629,1.678255,4.053236,165.325378546445,-1.70263784084046,21.89944,21.08965,20.82909,20.72573,20.41862,0,STAR
158043,-7.202788e-05,279.6602,290.5807,46.65322,138.4868,9.49902423701701,0.404623692875079,18.68614,17.13859,16.52741,16.3203,16.21922,0,STAR
1461569,2.489255,2.679804,3.22075,1.745901,2.436991,169.135859940944,22.4779395332549,22.25097,21.58776,21.45872,21.47633,21.13979,0,QSO
1027607,1.144217,62.36227,57.86389,46.30662,49.39368,210.905489857137,2.78547528679081,18.33291,18.22762,18.02953,17.99005,18.02099,0,QSO
243227,-0.0001623456,4.419974,4.340242,0.8370982,2.996466,217.320425145274,51.6004380338855,23.80986,21.69098,21.43925,21.87289,21.17153,0,STAR
1307981,2.23476,2.369241,2.930541,1.398209,2.114847,317.205142528201,-0.938933266529587,21.57047,21.193,21.11553,21.15523,20.80422,0,QSO
1276937,0.6809633,10.45877,11.44835,9.254533,11.13124,152.72968805268,34.6255881927386,20.70548,20.16959,20.27811,20.12288,20.13868,0,QSO
900825,0.1157872,45.80476,60.22409,5.044058,11.47688,219.886236958926,13.2322492020994,19.88621,18.29362,17.46465,17.03488,16.69141,0,GALAXY
1374438,1.15718,2.14756,2.665304,1.505081,1.636678,203.314972594956,37.50425683864,22.04454,22.12743,21.75306,21.5378,21.51202,0,QSO
407360,-0.000216775,1097.235,1071.321,296.5655,745.3311,144.271314946327,32.9795674238635,16.7053,15.4528,14.98107,14.79153,14.70493,0,STAR
644561,0.1941595,50.54805,72.63422,1.795104,8.230477,125.097646449747,1.922737137787,23.95978,18.50571,17.1048,16.54576,16.16767,0,GALAXY
343835,1.943988e-06,6.45687,33.47219,0.03425418,-0.03711034,144.776924976027,34.2159608952736,24.88462,24.54587,22.25102,19.74801,17.85921,0,STAR
1032929,1.173204,7.39135,7.649853,5.386437,5.679346,151.21385260259,58.5261546098278,20.53416,20.61135,20.30856,20.15564,20.12279,0,QSO
1466483,2.293015,7.289771,9.73166,1.546661,5.926109,200.208754917311,25.5528395596026,21.6678,20.7852,20.60186,20.55606,20.12575,0,QSO
660768,0.577615,6.575194,10.62895,0.006608762,0.3780451,154.567601155763,56.8909457994982,23.45369,22.82158,21.30012,20.16712,19.81219,0,GALAXY
1047187,0.5002954,6.40088,7.727953,2.875749,3.895968,126.727677251545,45.8346164943431,21.36276,20.88829,20.85267,20.66628,20.4208,0,QSO
726163,0.4683098,17.54177,25.51068,0.3331135,1.65034,187.305368701815,52.2659019820482,22.22053,21.31732,19.50849,18.68027,18.16455,0,GALAXY
319489,-5.204236e-05,361.9263,462.9168,4.224746,63.8146,244.232207309901,54.7824201367485,20.73924,17.9374,16.70358,16.20132,15.9273,0,STAR
671362,0.05625454,26.77039,29.20912,5.642859,13.25487,134.068950597504,7.08824492986705,19.06924,17.93593,17.48919,17.22302,17.12036,0,GALAXY
998836,0.3349879,14.42049,21.68848,0.09136527,1.220562,2.67244191890018,6.60720310488802,25.1695,21.28388,19.48265,18.79637,18.42788,0,GALAXY
90918,-0.0007000698,86.48903,89.56075,14.44334,39.91373,357.114592585464,14.4006091550843,19.67596,18.42588,17.82323,17.55304,17.38911,0,STAR
1242230,0.6685209,5.504758,5.778479,2.365133,3.978422,238.449127450294,46.0438586560299,21.7796,21.21447,21.04947,20.97815,20.60187,0,QSO
1229035,1.336948,2.167485,2.447232,2.508178,1.80599,219.380403288542,52.0468676502558,21.97171,22.5213,21.84163,21.67172,21.71728,0,QSO
1038075,3.361197,9.783305,10.96578,3.163817,5.953892,154.808480342096,4.12668301080437,22.05262,20.5248,19.93212,19.79193,19.69361,0,QSO
22808,-3.303118e-05,981.9766,975.6115,367.9336,674.2465,184.665993159467,0.400576887797085,16.38799,15.31696,15.09077,15.04248,15.04495,0,STAR
299704,-4.75401e-05,464.4002,908.9498,3.941049,29.90339,216.098072041358,38.2698512871024,21.15777,18.81228,17.34016,15.87116,15.06836,0,STAR
600016,0.5073464,7.933533,12.94438,-0.03030153,0.584269,227.068265833669,2.02889035893207,23.44103,21.99365,20.27655,19.474,18.91213,0,GALAXY
635276,0.3956124,6.141406,8.034228,0.1753626,0.7767996,240.110527607387,46.850606519857,23.22553,22.45837,20.78348,20.1967,20.03173,0,GALAXY
682749,0.6333634,9.199721,14.06736,0.3795937,1.129564,221.060125316189,-1.80840689521419,24.62461,21.6363,20.29062,19.31492,18.85784,0,GALAXY
1020484,0.7668561,7.426814,9.956207,2.349387,4.271267,151.806261917582,62.6901591394219,22.05942,21.21839,21.03993,20.5398,20.14468,0,QSO
