,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
288796,0.3280908,41.05954,51.45827,1.655448,4.974428,155.282039005308,36.404631067536,21.92227,19.63729,17.91528,17.31636,16.95701,18.0244,27.91895,5.531076,5.22011,4.034816
379048,0.6239975,8.93573,13.97558,0.01531134,0.6024013,182.240082854106,27.8873295632291,26.10673,22.93305,21.28415,20.06386,19.67797,2.969944,1.387265,1.568218,2.40761,3.120667
419631,0.1823873,43.11885,58.64508,2.791029,8.181791,320.148411570504,0.0739697006319704,21.77561,19.61,18.30598,17.81109,17.47857,18.0178,3.551862,3.196173,3.260586,2.926974
386586,0.5584282,15.9373,16.51256,10.54881,12.52888,230.677587724339,47.104854644392,19.82185,19.42819,19.41788,19.18609,19.17536,1.518929,1.380882,1.625626,1.83091,2.106361
211792,-0.0002202422,77.33089,79.17399,13.82124,45.00095,240.733381010364,42.3516908912983,19.16849,18.2342,17.90987,17.77419,17.74684,1.972556,1.698964,1.577326,1.539014,1.386279
192306,0.1072584,64.28395,94.10538,3.802214,13.6911,225.111760972852,37.2189050465685,20.93271,18.71957,17.62126,17.09478,16.672,2.970248,4.182481,3.984556,3.677923,4.052385
219267,0.0008872647,6.269019,6.538379,2.354007,4.646794,133.205836765961,4.54259006135569,21.94117,20.877,20.66872,20.53927,20.03157,0.8818976,1.672702,1.550489,1.413631,1.090378
109289,0.1036968,130.5614,169.9227,9.023573,34.6003,242.437390507295,52.5805869238762,19.97045,17.92581,16.92525,16.49123,16.15245,5.17889,3.7587,3.847654,3.555372,3.408386
415585,-0.0006266661,53.48276,53.83994,15.2095,32.38098,12.8659483834034,1.14882678435226,19.56286,18.67895,18.36016,18.22711,18.2003,1.408407,1.229518,1.389368,1.421532,1.446204
34936,0.5138879,7.537499,12.99741,-0.136022,0.3522212,215.968494420853,2.2477905065384,26.95547,22.28695,20.50906,19.49334,19.04288,18.019,2.970622,2.942348,7.747385,3.216434
16963,0.6580977,6.042061,9.864988,0.2167437,0.6001636,183.092684346118,1.23103004665352,22.68085,22.46555,20.82464,19.73012,19.10096,7.357987,2.969423,2.533616,2.773441,2.933204
37157,-0.000305803,9.354311,9.437999,0.7352551,4.572874,233.083249342878,56.7592774559842,24.54597,20.78133,20.0404,19.8194,19.51329,7.362004,1.220294,1.295111,1.213265,1.346682
156968,0.05916507,103.9781,132.0327,9.467916,31.35202,246.629425144812,43.9740148015727,17.02812,15.61643,14.92896,14.53772,14.28686,20.04548,18.49307,16.9925,16.63184,16.70464
169851,0.2683879,34.68471,49.55024,1.206676,4.781384,166.45479065708,9.40302899545579,21.68731,19.68487,18.16864,17.67965,17.24693,2.970491,3.96302,3.805519,3.473137,3.215026
43297,0.4874124,13.40101,20.49144,0.002506566,1.019004,141.640091631897,59.8694295591951,24.70216,22.02172,20.14625,19.19851,18.83172,0.550608,1.862963,2.701445,9.001941,2.324731
25837,0.6601758,8.162656,13.72523,-0.003565874,0.3992956,219.029208514691,-1.06217498493001,24.53067,22.44069,20.99534,19.69062,19.20739,2.968859,2.969353,2.733042,3.96428,1.677879
435403,3.173145,2.01904,1.983395,0.1434501,1.546674,30.6194457598008,1.86188133504467,23.7835,22.01674,21.87761,22.06,21.48157,4.584355,1.249349,1.053201,1.296759,43.76664
205886,0.1103958,43.78353,58.74994,3.582437,11.55324,231.552821306108,40.258116868218,19.69338,18.09592,17.22563,16.82737,16.51061,6.689395,6.897626,6.942792,6.684602,6.671418
9971,8.079883e-05,9.944267,14.36802,0.3908643,3.041343,158.48066332519,0.2862199278896,24.67735,21.9363,21.6104,19.95615,22.82691,0.2639597,1.254273,1.339006,1.433607,2.969904
320517,-0.0007162078,13.78998,14.00184,2.934281,7.506859,231.603639024342,41.5872554198635,21.96313,20.01262,19.21585,18.86539,18.64608,3.328562,1.241778,1.198821,1.103017,1.195917
154919,1.001488,9.334753,10.91528,8.744706,8.271105,249.724701040215,30.5080931761557,21.15818,21.01504,20.7741,20.81166,20.48374,1.714352,1.352522,1.26488,1.084483,1.375148
129456,0.05580403,167.3752,213.1423,17.02201,52.28227,213.040017260614,4.82360247561118,19.15154,17.42425,16.61567,16.22352,15.93854,6.250612,3.944424,3.539407,3.433038,3.336078
260980,0.000207214,540.1494,536.4418,293.6961,425.7093,169.436044441533,47.7531143907534,16.79376,15.56156,15.50166,15.52028,15.55028,2.042422,1.945198,1.559497,1.459754,1.646775
129338,0.5285003,7.268015,11.19349,0.2803622,0.8379065,238.024007280259,53.5215569670918,21.95673,21.00977,19.76886,19.00171,18.53927,11.30321,2.969736,4.766146,4.472452,3.402373
345741,0.738788,5.115259,8.308336,-0.1563445,0.2729823,184.574596425905,45.0008077044469,23.33692,23.28819,21.58508,20.39657,19.6712,0.0975094,2.969943,2.103765,2.060804,1.670827
37547,-6.124301e-05,165.1311,283.5032,1.16972,13.54371,29.013445717619,14.6152119284427,22.42385,19.55156,18.01851,16.90656,16.27278,43.76671,1.402977,1.533115,1.366747,1.341313
301433,-0.0005393436,40.93344,42.72398,15.33932,25.3787,255.43819563523,23.2928445902249,19.92651,18.96687,18.59575,18.41657,18.35142,6.269251,1.136968,1.068356,0.9326741,5.409318
49078,0.7453595,6.816986,11.79053,0.08880294,0.3250532,189.791833830229,66.7905046840422,25.1166,22.97111,21.22947,19.98694,19.39809,2.969774,2.969912,2.192975,2.075515,2.126935
423073,0.08256769,37.0419,43.38197,5.995886,14.42828,208.618377746325,10.2637632734155,19.1692,17.95103,17.39654,17.04565,16.88553,7.05503,6.208833,6.069938,5.585305,5.904416
321207,0.4943472,10.32147,17.15354,0.02894465,0.7825295,225.32712086609,7.52885454908169,23.07455,22.26873,20.48413,19.57074,19.09856,7.359555,2.970272,2.276044,1.858168,2.060561
147224,-0.0004149431,248.8768,252.9926,94.4942,159.0996,230.926232942523,40.5992560951981,18.07763,16.99283,16.66275,16.54883,16.49604,1.639964,1.614012,1.362786,1.390934,1.335234
106665,2.087926,10.70752,15.35555,3.771157,5.530186,120.455858002983,29.4138678147288,21.45935,20.86857,20.44938,20.24986,19.87643,2.727173,1.144401,1.119919,1.195626,1.064975
296914,1.037767,5.956591,7.16053,6.018754,5.417077,338.896948089228,0.148621993005715,20.7133,20.64597,20.43981,20.43227,20.30509,0.992325,1.193205,0.9764518,1.127537,4.395495
192432,9.152471e-06,35.02205,52.47166,2.150569,6.263087,154.234606038716,47.323668481396,24.46424,20.56523,19.21353,18.59255,18.24277,0.2766318,1.546563,1.487743,1.189951,1.387084
19596,0.4673293,12.96284,22.58291,0.09196765,0.8739629,158.042057696441,-2.82853986006558,22.71,21.06521,19.40369,18.55291,18.26019,2.011105,2.969718,6.357383,6.124094,4.126387
242612,0.7061146,4.506668,8.365867,0.006653371,0.2405019,238.839918628158,33.8601525973441,25.17609,24.7784,21.46704,19.95397,19.18663,0.2461783,7.35955,7.359053,2.052918,3.584401
181467,0.5851144,6.476235,10.05706,0.3230961,0.8633989,214.668032249056,37.5225585561683,23.23942,21.80552,20.56894,19.66631,19.29588,7.35971,11.30852,2.907051,2.79306,2.822076
401609,-0.0002781479,996.8402,1123.385,202.6575,499.7775,36.5657933060059,0.0380205437498722,17.05024,15.8015,15.30519,15.76419,14.9896,1.030073,1.055324,0.9703988,1.262409,0.9601313
88958,0.5381254,8.264474,12.53545,-0.1169259,0.4697737,218.74248164137,-1.74685809115775,22.98148,22.34873,20.65034,19.5437,19.23789,0.7041243,7.358501,7.35759,4.657108,1.947446
386202,0.5011208,12.55255,18.51907,0.2171762,1.227775,162.757878046537,43.9305860241965,26.14195,21.64671,20.10532,19.20837,18.74771,2.96969,2.969532,2.478873,2.77707,1.778138
339685,0.1736225,54.26477,73.40866,5.748604,11.98873,171.174983626472,6.03741750741307,20.08084,18.51349,17.40179,16.92887,16.59052,5.03902,6.274001,7.015132,6.710181,7.303401
47380,-4.783232e-05,98.36594,103.0795,27.83823,58.11095,311.385101197804,-5.24487496987174,19.15568,18.01789,19.08156,17.34906,17.15526,1.700553,1.880158,2.71336,1.729764,1.896034
3790,0.1842353,85.56551,105.1064,12.7235,24.98184,152.253828170707,0.361969736009662,20.06239,18.55336,17.70838,17.19044,16.92092,2.638787,2.565788,2.564226,2.4739,2.221821
257714,-0.000180505,60.07074,69.47582,3.916804,21.53489,199.678059724471,55.0905555396691,21.23153,19.32248,18.4208,18.1074,17.83793,1.904864,1.275341,1.251833,1.196058,1.236999
342873,-0.0002365274,5.674275,6.248363,0.8469368,2.700364,135.857565824652,62.4660955835253,24.23673,21.64356,21.25166,21.15619,21.8556,2.969913,1.54076,1.119606,1.172982,1.349618
306536,0.8678846,7.155209,8.479371,4.975688,6.170195,147.165890667902,40.6502475481973,20.53149,20.35991,20.19234,20.07064,19.81319,1.342397,1.480961,1.44447,1.446409,4.235895
269293,0.6401222,5.366667,9.003204,0.1669155,0.4839397,177.06122554842,45.7384173259833,25.71549,23.08768,21.40046,20.4485,19.65129,2.969812,2.969685,2.504545,3.477031,1.404174
29538,-0.000763793,50.73548,51.92627,14.05325,27.75124,173.654571140657,67.9438779582257,20.20434,18.90507,18.38061,18.17918,18.08528,1.593672,1.427907,1.349206,1.199912,1.222951
430813,0.5566692,10.21687,15.9103,-0.1139395,0.6355634,191.247569877914,16.7362423230005,24.01,22.17295,20.49179,19.35618,18.88622,2.969982,2.969963,2.216404,1.717717,2.992029
323637,-0.00039577,9.060576,11.07929,1.208122,3.61016,197.775830755306,51.9584487258721,22.81921,21.37321,20.8057,20.62006,20.51988,0.8763955,1.092148,1.145052,2.282604,1.501419
290874,0.1382304,32.51454,33.8202,13.89709,15.44184,173.122773945129,47.1000352967456,20.13858,19.43273,18.92651,18.4918,18.46636,1.52371,1.675794,1.774245,1.841352,1.736066
352172,1.421579,4.877458,4.82085,4.921099,4.009918,240.255347681355,28.5763105633061,21.2926,20.71541,20.53502,20.44662,20.36112,1.334874,1.369202,1.014299,1.160491,1.068789
193586,0.4983696,5.394993,9.693741,-0.002064759,0.3143292,210.742780945993,47.7422087861228,22.72662,22.48063,20.93166,19.94958,19.47651,1.657581,2.970147,2.810292,5.072692,2.668688
263204,0.3032042,17.79252,25.34708,0.5871276,2.350228,203.048064918246,14.4608958235342,25.72976,20.56912,18.90685,18.27668,17.88797,2.970225,3.577613,3.530454,2.781018,2.285283
308061,0.2616504,7.719468,8.966735,0.3861711,1.696332,235.605894161462,43.7757521110138,23.98566,21.82306,20.53418,20.02649,19.79359,0.1070058,1.547606,1.691363,1.641861,2.090588
351392,0.5399054,14.38,20.9775,-0.0617328,1.254703,218.324724351267,39.9656670738255,25.25587,21.79832,20.02255,19.19925,18.81475,2.970262,2.97,2.036572,1.747038,1.46409
335446,0.5888243,7.93308,11.52004,0.0253193,0.6282027,153.042183572997,10.6971863063551,22.24104,22.20127,20.62679,19.61436,19.11441,7.360532,2.970439,1.827051,2.416946,2.073163
155579,0.1212186,106.5283,134.5552,14.38183,30.29575,250.103656183014,36.9008237134161,19.35493,17.97562,17.18151,16.72812,16.4327,3.92299,3.686097,3.759007,3.517441,3.526613
105101,1.290843,6.868343,7.193478,6.16945,5.612062,158.386234508569,45.6148008027821,21.23025,21.08262,20.5216,20.62227,20.43105,2.051192,1.659721,1.442414,3.162319,43.76027
11405,2.179967,1.4576,1.57835,1.40659,1.49313,123.070549038222,48.1484457008896,22.33498,21.83763,21.72861,21.64521,20.93178,2.970155,1.807546,1.660122,1.142485,4.274613
11931,0.2239167,58.24232,74.78737,2.657742,9.59362,140.187743279358,-0.637252215975536,21.48595,18.50785,17.0664,16.51179,16.20028,1.614513,8.122324,8.674199,9.425603,8.232102
392968,-0.0001841604,5.905458,5.818747,2.105215,4.394406,214.592215050501,34.8982053665027,21.54147,20.86094,20.48788,20.33063,20.28477,3.33667,1.19695,1.650278,1.16236,0.9228259
342056,1.89376,3.686435,3.641777,2.629478,2.651592,148.41803333865,34.2728382122848,20.62045,20.5313,20.57669,20.40466,20.53107,1.869656,1.814746,1.391911,1.379426,1.411589
363354,0.3940545,16.7803,25.91454,0.1975162,1.388454,338.991908222622,22.4391592585507,23.77676,21.11563,19.39287,18.65478,18.14759,0.8451108,2.970182,3.624843,3.82936,12.29935
181530,0.6670389,3.860569,6.608242,-0.07018516,0.1745349,146.488302241187,51.4104143230349,22.16924,23.84422,21.59467,20.11719,19.47956,1.123601,2.970903,2.180111,3.268719,1.577469
131418,-0.0003698281,40.69813,41.07729,16.09272,26.33215,133.425182286337,39.699088158749,19.741,18.84579,18.99298,18.42421,18.32788,1.215904,1.167668,1.219523,0.9415711,0.9247083
175662,0.7483869,2.841018,5.571802,0.02457467,0.1307606,160.520930315863,49.1906324748528,22.9978,22.68334,21.52687,20.45444,19.64569,0.3167349,18.02364,2.964491,3.08784,2.361351
431074,0.1202276,67.23348,89.30722,4.800854,16.5088,222.006359737801,14.2081418329204,20.17347,18.43855,17.45744,17.01067,16.65416,27.92278,4.477268,4.260909,3.806174,3.593375
439809,-0.0002091581,29.19369,30.22332,2.89795,11.94806,359.542066737688,36.1615542500469,21.12401,19.68033,19.0445,18.78193,18.65223,1.39612,1.477744,1.318174,1.18234,1.230191
273924,-0.000106139,1553.044,1559.037,195.5133,775.2283,129.67217595898,6.03525885476596,20.2514,25.11435,24.80201,19.1143,17.66185,2.429624,2.970824,2.969543,18.21631,1.987826
350605,0.03509609,409.253,521.0387,36.5896,126.3948,194.844881053984,38.8243634285357,17.50873,15.69071,14.87623,14.50558,14.20933,10.43008,9.428968,8.958121,9.020837,9.030604
222493,2.092589,4.767118,6.046498,7.346959,5.046105,231.220193297797,33.8675835238105,20.89679,20.67488,20.74734,20.43668,20.24462,1.22554,1.287935,1.191727,1.104346,1.360679
343611,-0.000389649,18.60455,26.68981,0.6630832,3.179608,199.245763683301,46.356103257243,23.36777,21.03385,19.85022,19.24648,18.83161,0.977657,1.40135,2.171847,1.55326,1.602056
308131,0.0001040318,278.3813,326.051,11.7871,75.01785,153.957565483993,8.99470305572108,20.10686,17.78481,16.79674,16.43166,16.21099,1.609275,1.372558,1.269744,1.165862,1.204203
438957,0.1405025,44.31857,57.50016,4.729367,11.92136,181.39620094615,17.3268809332817,20.25282,18.79562,17.93825,17.49638,17.13701,18.01949,4.743796,4.238114,4.243338,4.593028
148082,0.5650604,6.383749,9.375995,0.1299998,0.7127916,176.71068491218,55.8050635174027,25.09554,21.21601,20.01214,19.1281,18.66362,11.30911,11.31138,4.479336,4.433212,4.365442
365431,0.8377161,10.24364,12.9988,4.841874,7.165115,168.571590615084,32.788086739086,21.12601,20.71626,20.52002,20.32866,20.13758,1.555348,1.222507,1.286732,1.040959,1.638751
153004,3.224859,9.990602,10.18191,1.759082,5.466184,144.012770228359,40.6086627984666,22.32239,20.38477,19.93619,19.78337,19.77058,2.231677,1.563066,1.271659,1.154704,1.446149
121601,0.0002184145,28.5293,34.1153,1.259567,7.680023,355.589355672,-0.935124370151983,22.01934,20.1713,19.21024,18.82122,18.63116,1.256348,1.25611,1.238322,1.015076,5.007967
84497,0.4436114,10.88851,16.61874,0.3003896,1.047687,154.364940946717,58.5995533578374,21.91511,20.50143,18.96412,18.19952,17.81651,2.969693,2.969754,4.293452,4.558186,3.828266
129470,0.0001538236,322.0712,343.0547,42.6608,142.1441,145.254351846102,53.3407426348048,18.51533,17.04037,16.48924,16.2835,16.19942,1.626599,1.598092,1.48827,1.370964,1.343712
332908,0.4825415,8.631155,13.51004,-0.007631953,0.6958324,202.554678697947,50.9022709502661,24.3513,22.48375,20.57907,19.63799,19.07019,2.970286,2.970047,2.108857,1.864613,1.669817
85698,-0.0001210715,1.434259,0.4738384,2.251824,2.393112,149.258214198706,4.74732802440758,21.87177,21.41192,21.50806,21.84191,21.30354,1.652992,1.428482,1.302659,1.177002,1.012386
23387,-0.0001619325,1036.789,1127.725,123.5839,449.7917,148.933760519091,-0.0445896479927535,17.41605,15.81124,15.24102,15.03067,14.94258,1.452605,1.288996,1.255653,1.099049,1.116154
140543,1.146589,2.266043,2.841794,1.546823,1.729455,183.853246505407,55.8527754474539,22.14519,21.94895,21.43948,21.69288,21.36847,1.392797,1.353107,1.494593,1.939904,1.895924
154143,0.8120795,1.311108,1.369825,0.7920475,0.7341496,357.923425565442,-0.92357358949514,22.92071,22.5444,22.23743,21.50401,21.34905,1.087353,1.788827,1.319209,1.07296,1.271882
168836,0.4598753,9.133945,14.89418,0.1681873,0.8428997,223.921827496189,40.8692402040139,23.17035,21.82885,20.1436,19.21801,18.74771,11.30702,11.30503,3.902542,2.555549,6.326709
64564,1.339824,3.771416,4.311298,2.571902,2.306906,132.23495939481,49.6931193617254,21.91175,21.79757,21.26257,20.80661,21.47266,1.77705,1.279059,1.183583,4.774249,0.7123274
26968,-0.0009621514,581.8694,586.6174,237.8199,387.7689,261.635214195854,27.8989166340847,16.97318,16.00304,15.6882,15.56538,15.55554,1.390734,1.329431,1.144519,1.120248,1.050894
43930,0.5138095,6.341361,9.904799,-0.02284988,0.472257,345.210149886664,14.0652028980544,25.66503,22.42031,20.7664,19.70291,19.01676,2.969951,1.872113,2.687574,2.144942,2.997317
384080,1.540513,1.997258,1.778771,1.223483,1.017746,133.950284631118,17.7051185583477,22.16061,22.03118,21.80412,21.39658,21.52002,1.593346,1.494105,1.299258,1.298382,1.095392
53580,0.0002407341,128.1195,139.9486,41.08396,97.33888,96.1032907641625,-0.245621804762945,18.97183,17.45582,17.14331,17.03459,16.90929,1.364081,1.214241,1.055692,0.9974759,1.13479
122557,0.5294457,10.62341,16.40432,0.05779543,0.9878054,172.50590275048,6.72073619454762,25.08395,21.60798,20.02265,19.1268,18.617,2.96994,2.970353,3.191833,3.103348,9.392697
400865,1.546572,2.007573,1.506622,1.274233,1.06367,174.885314651768,45.704952544121,21.94477,21.61529,21.52602,21.41949,21.19255,11.3063,1.600027,1.683901,1.564201,1.269551
345247,0.6971284,2.551229,3.284932,1.01713,1.674912,127.81215775656,26.8500513744755,22.17747,21.90464,21.74224,21.50896,20.82739,4.584369,2.092503,1.391512,1.389965,2.092289
411866,0.1219921,69.37319,90.84597,7.727773,18.66771,197.319729000677,25.4030861304624,19.28272,17.87976,17.07869,16.66113,16.33938,6.713023,5.374554,5.305211,5.139505,5.130222
439868,0.07311843,62.04202,80.73719,3.918823,15.4243,189.213840462295,15.1495737242852,20.33131,18.5202,17.60122,17.10904,16.75742,43.76673,4.61531,4.204119,4.035109,3.804007
13877,0.3570509,54.2494,94.39458,35.263,33.26554,18.1620085140547,-8.58389712207117,18.6957,18.53871,18.22477,18.07438,17.45833,1.427837,1.37339,1.684159,2.713027,2.301014
390325,-0.0002780697,7.462778,8.449704,1.429833,3.644329,235.906819532665,17.5426860835656,23.5722,21.42129,21.42725,21.58763,22.01823,0.6360042,1.231202,1.260842,0.9292848,1.301928
301673,0.4729907,6.337727,11.72474,-0.5620796,-0.1724415,233.694342027116,25.9099189892359,24.33425,22.15984,20.21755,19.29824,18.82544,0.0676993,2.970767,3.658274,3.91439,3.34409
431436,-0.0004047317,86.65675,98.42785,2.558069,23.08208,354.393345632931,43.9705220405889,20.36591,18.11416,17.70283,17.85441,17.29217,4.337219,4.418688,4.744701,4.902637,4.751547
246876,0.4446598,8.690415,12.58107,-0.07767734,0.8467326,332.595610915298,0.129242669012034,24.75864,22.27006,20.60561,19.79813,19.32742,11.30673,2.970016,1.924314,2.860237,2.42851
101763,1.558049,2.708752,3.226482,0.3783871,0.9904836,146.362832137269,51.0008344977425,20.66308,20.50043,20.36983,20.1362,20.09965,1.009576,1.117683,0.9101907,0.8942842,1.055925
368828,0.2082739,70.02998,91.52621,4.544787,13.05253,193.545356026423,57.3000736609363,21.26775,18.95305,17.63017,17.13672,16.77884,1.815907,4.707078,3.802534,4.141303,4.255231
346454,1.132311,3.182376,3.018183,2.706112,3.302964,179.267603090428,41.1001544504419,21.93206,21.6036,21.19819,21.23721,21.47586,1.538498,1.344824,1.477767,1.071361,1.3643
7933,0.0003867996,8.708613,8.166217,3.01779,6.099193,185.188889898578,0.636227115468167,21.44036,20.47669,20.29378,20.25225,20.05677,1.072675,1.231833,1.135066,1.122318,1.153017
346182,0.3044495,30.22328,43.38988,0.5114205,2.885776,138.826962936484,10.8612728762121,23.79801,20.17458,18.47566,17.80579,17.32243,2.969659,5.766178,4.157831,4.242978,3.605002
229468,0.3729773,17.03937,24.27684,0.47891,2.03475,153.267824429605,45.9271497691661,25.35351,20.75599,18.92962,18.3175,17.93867,27.92742,27.92781,4.675675,4.47812,8.671982
281359,0.5263647,7.680197,11.65593,-0.01513651,0.6726892,135.521726065379,25.6949703189376,23.65441,22.11032,20.7923,19.81885,19.50941,2.96968,2.970532,2.150498,2.346664,2.550019
