,class,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,u,g,r,i,z,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z
758115,STAR,-0.000103323,348.1519,406.5287,9.171515,90.7488,19.60006,17.51713,16.69569,16.39594,16.24868,1.138555,1.048527,0.8452479,0.831284,0.9477313
535488,STAR,6.921904e-05,29.202,46.93688,0.1092641,1.955867,23.17985,21.53036,19.9032,18.88616,18.30822,1.274114,1.972058,1.578049,1.627315,6.264683
678232,STAR,-0.0001134203,21.83022,40.44411,0.1234712,2.010822,23.98578,21.48331,20.08853,19.00331,18.38653,7.359465,1.260452,1.372131,1.317499,1.049321
1100464,GALAXY,0.2804047,2.085971,2.466235,1.661991,2.14457,21.68626,21.60846,20.67096,21.73131,21.12212,1.459621,1.188836,1.168507,0.9350044,1.061632
322746,QSO,2.16095,5.458268,8.768939,1.477084,2.156822,21.70673,21.13626,20.69702,20.21786,19.80447,1.769687,1.541042,1.316773,1.136326,1.084543
1065935,GALAXY,0.3335722,21.85416,33.9301,0.5608924,2.262956,24.96461,20.42205,18.66691,18.06576,17.54839,2.96964,3.750824,4.441103,3.825991,3.656298
894654,GALAXY,0.09537001,180.4178,233.1445,13.28174,51.18328,18.951,17.08533,16.11569,15.69776,15.33339,7.841462,5.471873,5.358804,5.474565,5.089464
1285924,GALAXY,0.3323994,22.66738,33.44276,0.4834103,2.424264,24.71428,20.84869,19.09491,18.45947,18.14103,2.969056,2.587033,3.007822,3.21193,2.172379
203596,QSO,1.857901,2.610667,2.125664,1.37745,1.687774,21.22823,21.13845,21.28776,20.84461,20.45828,1.63755,1.595958,1.502868,1.418254,1.650291
589782,STAR,-2.417593e-05,906.3245,920.1362,234.1385,570.0816,16.74751,15.59502,15.24019,15.12231,15.11119,1.275034,1.302518,1.031404,0.9869631,1.088956
378422,QSO,0.7514266,53.72198,59.39699,49.50851,55.43343,17.54653,17.44068,17.49269,17.58762,17.59763,1.581693,1.672004,1.321027,1.274038,1.398271
389531,QSO,0.9670208,28.18883,30.01078,10.47184,18.08648,19.77721,19.16262,18.81263,18.71997,18.59069,1.686214,1.624204,1.565322,1.432505,1.425784
856724,STAR,3.649446e-05,116.6799,147.0177,9.17844,32.05301,20.47702,18.6853,17.7502,17.31039,17.07379,1.378762,1.172898,1.12584,0.9959909,1.105504
1067130,GALAXY,0.6240819,4.78397,7.80136,-0.240101,0.208727,23.94281,23.37353,21.48113,20.07965,19.43636,0.5451899,1.217667,2.970134,3.927001,2.504826
120260,QSO,2.297615,1.784699,2.459596,0.555488,1.176232,23.7072,21.87207,21.3898,21.2354,21.61515,4.584477,1.569984,1.342063,2.797382,0.6420026
575637,STAR,-0.0006151586,17.63657,18.52429,4.756592,9.647664,20.99628,19.99775,19.53477,19.41888,19.31877,1.268695,1.381036,1.137022,0.977639,0.9858431
653834,STAR,-5.796842e-05,28.38005,62.10814,0.5458164,2.067352,25.1666,22.25794,20.53152,18.97153,18.23629,2.970139,1.166847,1.281822,1.382296,1.467258
425359,QSO,2.121965,4.13544,5.360323,3.344194,3.093672,21.31904,21.05578,21.0346,20.98146,20.8009,7.358423,2.36711,1.560228,1.799699,2.062967
671339,STAR,6.378459e-05,1.15508,0.9809361,0.5973324,1.567141,22.66413,21.70244,21.60999,21.67361,21.3066,1.878205,1.564549,1.321449,7.359535,11.30811
