,class,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,u,g,r,i,z
519489,STAR,0.0002755976,34.0499,35.56142,9.971731,21.74297,20.00334,19.06127,18.76116,18.62979,18.61177
606709,STAR,-0.0001527286,1.379364,1.418372,1.064051,1.957656,24.37717,21.52101,21.77642,21.79383,21.05779
151760,QSO,1.60454,14.30302,14.76779,6.690885,9.538694,19.8339,19.44147,19.42249,19.2358,19.18968
349811,QSO,0.2129995,55.38371,64.43079,13.30043,17.37627,19.49159,18.89172,18.09043,17.62891,17.40537
1299143,GALAXY,0.7514042,3.92086,7.262191,-0.007022492,0.2288727,23.94506,22.84585,21.433,20.0468,19.29679
137930,QSO,0.9689711,7.521469,8.106747,7.593221,7.138889,20.94734,20.70982,20.65478,20.62818,20.52662
1380116,GALAXY,0.4472215,8.242173,12.36887,0.1078733,0.7706202,24.18363,22.09838,20.58413,19.79479,19.43251
146212,QSO,2.366911,1.168978,1.037269,0.8278406,1.31809,22.24389,21.63591,21.65615,21.57171,21.11919
914472,STAR,-2.130899e-05,7.036098,13.74038,0.04736404,0.5447215,25.53423,23.36928,21.61155,20.26554,19.64838
745916,STAR,-0.0002262266,157.6102,162.1152,42.09615,90.07024,18.83467,17.6233,17.165,17.01726,16.95153
464376,QSO,0.7748089,13.31793,16.78122,4.898419,6.291542,20.35882,20.03048,19.83382,19.4042,19.11714
665323,STAR,-8.502144e-05,91.14696,110.831,2.839823,21.8692,21.06275,18.353,17.00307,16.38099,16.05366
989735,STAR,6.401793e-05,23.66843,24.09595,6.970836,13.26372,20.55347,19.65509,19.2223,19.08264,19.02226
413544,QSO,1.378549,2.411122,2.320961,1.227816,1.139775,21.65263,22.14337,21.25488,21.15989,20.89759
265397,QSO,1.485164,8.104291,8.139064,4.514117,5.020925,20.76863,20.48824,20.2599,20.0497,20.03533
1298378,GALAXY,0.542464,8.204567,12.79672,-0.07960147,0.6247417,25.90405,22.73779,21.22529,20.14065,19.59714
1149933,GALAXY,0.5182127,8.928556,13.05276,0.007494717,0.8081643,22.90382,22.51431,20.30099,19.31082,18.80041
168271,QSO,2.216851,25.55833,29.49489,16.21771,23.17266,19.48429,18.96035,18.78635,18.78262,18.66855
1467030,GALAXY,0.05966414,24.64681,26.72226,5.871966,12.32898,19.36942,18.05923,17.56266,17.29256,17.13241
676761,STAR,4.044655e-05,19.12861,49.2295,-0.1103301,0.3999588,24.06271,22.67167,21.08637,19.32463,18.30443
707366,STAR,-0.0002230218,15.18808,16.26192,3.090666,7.886998,21.89057,20.3372,19.72846,19.59429,19.34412
1261139,GALAXY,0.4928406,6.922738,10.25625,0.3235922,0.8692833,24.00273,21.74292,20.31531,19.54773,19.16409
508928,STAR,0.0002821713,37.28706,51.97142,0.984202,5.742697,22.62533,20.39384,18.90693,18.07878,17.60256
652887,STAR,0.0001631394,48.85487,54.00941,5.215833,19.9104,20.62815,18.75666,18.08381,17.83998,17.70956
1278722,GALAXY,0.4487134,15.06159,22.02866,0.1266343,1.453089,24.00888,21.22477,19.54446,18.80547,18.27414
923674,STAR,-0.0006186995,39.19416,41.39582,6.200165,18.75713,20.66679,19.24025,18.65882,18.47978,18.34861
1398214,GALAXY,0.03202891,335.7718,433.9296,27.71651,102.3498,18.34897,16.40668,15.57291,15.16794,14.84741
1164962,GALAXY,0.1739082,45.68596,64.83145,2.385826,8.82693,23.46394,19.59804,18.01792,17.48827,17.17143
1431513,GALAXY,0.1602626,60.00821,78.26781,3.768489,11.88138,20.59674,18.72543,17.57431,17.10991,16.77084
397937,QSO,0.7015307,17.31471,22.01865,3.465858,8.487762,20.69812,20.13404,19.86056,19.56101,19.27057
1176029,GALAXY,0.1384131,55.53264,72.71054,6.270006,15.08259,19.89352,18.28951,17.42273,16.97738,16.65307
620738,STAR,2.736454e-05,70.7966,181.6335,0.4017455,2.219548,25.16702,21.42558,19.86348,17.88206,16.71157
1405981,GALAXY,0.2717809,37.28126,51.035,1.037579,5.38938,21.8773,19.57685,18.0844,17.51356,17.33019
1271927,GALAXY,0.4687839,6.510151,10.97547,0.07469419,0.3755867,22.59444,22.85838,21.30978,20.27966,19.62593
274226,QSO,1.146825,2.889344,2.498853,1.837187,2.340957,21.2138,21.13249,20.8505,21.0087,20.98304
1227146,GALAXY,0.2894214,31.52146,45.80742,1.471106,4.285331,21.9812,20.16414,18.55118,17.96845,17.56748
588292,STAR,-1.96774e-05,371.715,406.9221,114.6685,208.6288,17.60356,16.58929,16.1956,16.02661,15.95491
1244621,GALAXY,0.189796,63.81197,86.41239,3.798181,11.30457,20.9851,18.7441,17.49935,16.97523,16.59969
1438194,GALAXY,0.08465349,30.71612,34.08282,3.620761,15.70807,19.32929,18.27144,17.85195,17.56733,17.50461
1271758,GALAXY,0.2352797,34.4525,49.07641,0.9303624,4.839532,21.72151,19.40355,18.00248,17.43255,17.12048
231259,QSO,1.113832,9.140326,8.931986,5.433708,6.024669,20.5752,20.36979,20.12578,19.98181,19.85386
728659,STAR,-0.0002634349,37.23038,36.05754,22.01704,34.64182,19.72655,18.64245,18.59487,18.61293,18.57188
751188,STAR,-1.615553e-05,7.530921,15.201,0.08262206,0.4596595,26.21588,22.92343,21.53303,20.148,19.42969
868101,STAR,0.0001938679,276.7521,291.3774,49.84377,133.4072,18.32455,17.10233,16.59836,16.39561,16.31579
1321108,GALAXY,0.2641172,7.733546,8.86398,1.418903,3.184438,21.82079,21.10187,20.24008,19.96101,19.81862
1007576,GALAXY,0.03460572,15.29579,17.73631,4.676637,8.004782,19.35935,18.31045,17.89483,17.64176,17.52753
572879,STAR,-0.0002722789,67.49428,72.08224,17.59072,35.08847,19.65034,18.56528,18.115,17.9244,17.86287
251933,QSO,2.404796,12.54342,16.13442,4.906246,9.29029,20.53769,20.02553,19.94181,19.79728,19.60209
1086724,GALAXY,0.4790809,10.13355,15.14101,0.1723507,1.197836,24.84993,22.55693,20.41219,19.52124,19.01025
1059741,GALAXY,0.09783861,153.8999,207.8511,8.817385,38.6977,19.58588,17.59978,16.58022,16.12418,15.74748
1200028,GALAXY,0.3130023,23.25859,31.21089,0.5798413,2.9618,22.77024,20.29929,18.65602,18.12814,17.83267
851876,STAR,-0.0001212823,23.48032,31.1446,0.3989791,3.793761,23.94576,21.08848,19.62156,19.05188,18.67172
995099,STAR,0.0002270533,91.83549,97.10734,12.08053,41.81602,19.85657,18.3964,17.82388,17.61304,17.49952
979195,STAR,-0.000330599,219.7808,225.7274,62.35232,130.2075,18.47948,17.23167,16.83139,16.67406,16.63192
