,class,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,u,g,r,i,z
851934,STAR,0.0007278163,32.93654,33.10154,18.58311,32.51265,19.85771,18.66882,18.63072,18.67039,18.77678
407051,QSO,2.301431,11.30076,17.86195,2.785034,5.482113,21.1257,20.26125,19.84105,19.53004,19.23482
736540,STAR,0.0001702552,31.81765,63.85883,0.1684419,0.9821765,23.26926,21.69308,20.10298,18.71594,17.91987
187158,QSO,2.769939,3.443528,3.972477,0.8788668,1.888772,22.85575,21.38724,21.06091,20.81806,20.85294
986819,STAR,3.423669e-05,666.2709,872.0878,14.34062,108.2327,19.91243,17.40124,16.09715,15.43615,15.07633
1063867,GALAXY,0.117509,89.38087,113.5166,4.950895,23.70439,20.31833,18.52479,17.54611,17.1453,16.80055
750211,STAR,-6.39698e-05,19.34434,24.72931,0.07789221,2.956508,24.57888,21.07362,19.74568,19.21374,18.98669
321843,QSO,1.941784,6.363133,8.819025,3.599563,2.6562,21.81118,21.04824,20.6696,20.14787,19.92268
840140,STAR,8.602669e-05,359.6468,388.5386,79.42188,184.5967,18.14673,16.84616,16.32536,16.10846,16.00656
249686,QSO,1.5071,7.242083,6.816316,6.530093,5.255381,21.8814,21.70126,21.40465,21.05368,20.98475
986199,STAR,2.730704e-05,418.8074,558.6695,7.199573,68.74032,20.58306,17.9263,16.50249,15.89768,15.54586
1285856,GALAXY,0.3736445,5.058303,5.777737,3.392563,3.822793,21.48275,21.11354,20.89798,20.80433,20.39108
561872,STAR,0.0002202149,4.268093,4.56222,0.8732166,2.528792,22.71781,21.28885,21.02909,21.00995,20.93185
332651,QSO,2.159971,12.66226,13.1337,1.075118,7.73091,20.85093,20.27933,19.76607,19.71074,19.54516
1209959,GALAXY,0.3103195,10.9317,16.48386,0.6282154,1.654185,23.08904,21.26574,19.35,18.7637,18.21862
1334057,GALAXY,0.1165808,61.10896,79.88762,4.668837,15.84734,21.33954,18.62938,17.6272,17.24159,16.94527
1214054,GALAXY,0.5523189,5.713242,9.029911,0.2689804,0.7399643,21.90096,21.48308,20.37067,19.51602,19.03079
1449360,GALAXY,0.6434628,6.41585,10.65651,-0.07349727,0.3070097,26.39233,23.20273,21.17344,19.94132,19.40703
836660,STAR,-0.0001386154,218.058,376.5931,4.438822,21.8147,20.68651,18.64959,17.45267,16.40446,15.73952
869683,STAR,0.0006336157,29.47267,29.6608,11.17075,20.8218,19.95814,19.07871,18.76692,18.68213,18.65164
408445,QSO,1.957768,4.456098,5.247661,4.228693,3.046666,21.20603,21.15781,21.0599,21.03359,20.63736
38701,QSO,1.32414,2.364484,3.370769,1.524934,1.221183,21.77729,21.71212,21.35045,21.15072,21.75848
1000519,GALAXY,0.1986329,32.27068,43.3601,2.859452,6.437328,21.40859,19.86952,18.62291,18.10194,17.81023
1265296,GALAXY,0.08073044,69.49197,87.81736,5.201384,19.33591,17.92576,16.49719,15.8196,15.41196,15.15805
1376798,GALAXY,0.5981634,4.906818,7.940648,-0.03810707,0.2697468,24.40272,22.82389,21.04712,19.76501,19.36558
998174,GALAXY,0.3012412,7.399889,12.11655,-0.2054781,0.4686548,25.77217,21.84288,20.34984,19.53968,19.03089
1230513,GALAXY,0.4611134,12.25941,18.86428,0.1555374,1.163635,24.33521,22.006,20.29654,19.50362,19.08114
1185557,GALAXY,0.07954001,49.56144,60.55182,6.055929,16.92173,19.62678,18.11637,17.42782,17.06168,16.79506
57485,QSO,0.9393613,3.581834,5.414277,1.220808,1.543585,21.52239,21.13749,20.77492,20.6873,20.48083
715843,STAR,-3.082485e-06,85.23333,114.6669,1.598307,13.89249,21.89787,19.77275,18.40644,17.91609,17.52709
1450849,GALAXY,0.2751392,15.98751,25.21991,0.3360271,1.673582,22.37972,20.8197,19.13537,18.45737,18.08788
1105333,GALAXY,0.5136814,5.99538,9.140904,-0.05333257,0.4982394,22.90264,22.1266,20.3894,19.4822,19.02329
96129,QSO,1.801932,2.520968,2.230525,2.294364,2.414218,21.93534,21.69272,21.79176,21.30234,21.21635
1435935,GALAXY,0.524608,8.436176,13.57889,0.01520733,0.612509,23.72207,22.23053,20.37806,19.39344,18.90804
1052262,GALAXY,0.5430087,3.961947,6.257503,-0.0390794,0.3026994,23.88209,22.30199,21.04495,19.88945,19.49166
4281,QSO,2.230007,8.559654,11.6993,4.732137,6.997324,21.40479,20.75578,20.82855,20.64493,20.61239
1041378,GALAXY,0.05816039,36.3039,43.25924,5.683916,13.5499,18.23795,16.96401,16.37023,16.03084,15.88471
1040740,GALAXY,0.1661725,82.40076,110.9058,5.055968,16.84249,20.95405,18.5479,17.33299,16.819,16.47849
62282,QSO,0.6873129,14.9499,16.8186,12.49311,15.55548,19.66336,19.31458,19.41417,19.41971,19.29702
763324,STAR,-0.0001195502,21.06829,26.48729,0.6471085,4.988109,23.42334,20.80698,19.69389,19.27862,18.96922
81449,QSO,0.291103,24.84923,35.58212,4.617393,6.330102,19.52374,19.23053,18.49752,18.11565,17.61964
1025729,GALAXY,0.1884607,62.55275,79.44378,4.569973,13.46455,20.92168,18.90426,17.66526,17.21152,16.82625
502640,STAR,4.238163e-05,172.8689,214.2237,13.5865,45.97075,20.24698,18.11173,17.11264,16.66423,16.41106
1074527,GALAXY,0.07878153,92.93351,116.2987,9.169028,29.7042,20.34922,18.5042,17.64149,17.26424,16.98389
1075702,GALAXY,0.5199424,8.13213,12.05644,0.1535286,0.8068634,24.38737,22.30707,20.61556,19.67415,19.03089
682549,STAR,-2.2878e-05,1968.655,2321.773,229.928,724.7121,17.04876,15.31899,14.58231,14.25617,14.09798
74412,QSO,2.587041,3.054371,4.078867,2.726406,3.20765,22.25413,21.46667,21.28438,21.37248,21.45028
983684,STAR,-4.524591e-05,1431.146,1530.563,273.4969,704.4568,16.66243,15.3089,14.76797,14.57299,14.48855
439570,QSO,1.351815,2.184947,2.241222,2.347181,1.599643,21.82931,21.79342,21.38946,21.4572,21.20962
139841,QSO,2.516902,7.115178,7.984198,3.173123,5.941871,21.06779,20.42384,20.41447,20.43444,20.30433
785524,STAR,0.0001643078,34.42299,39.70747,3.357981,12.75011,21.74922,19.68154,18.96084,18.9849,18.60105
714907,STAR,3.306894e-05,31.72291,56.04441,1.827755,3.673047,23.68052,21.0616,19.52988,18.32558,17.66052
887962,STAR,2.437165e-05,143.5267,147.1326,27.80564,76.84317,19.07508,17.78223,17.23328,17.04586,16.93994
1193330,GALAXY,0.09490405,109.9382,146.2138,8.468915,29.15751,19.43265,17.5682,16.6864,16.23146,15.93372
689584,STAR,0.0003292891,25.23136,25.0293,9.54399,16.76794,20.31684,19.32855,19.07678,18.94734,18.9045
1432374,GALAXY,0.4104163,16.21737,24.04936,0.6285208,2.152893,24.36672,21.63463,19.5571,18.94081,18.62056
843355,STAR,2.585162e-05,5.331017,11.35141,0.07515586,0.3621444,25.24669,23.26995,22.00076,20.55965,19.60916
1338684,GALAXY,0.6471777,6.912004,11.21896,-0.01539384,0.3920267,24.49898,22.86165,21.07429,19.90055,19.49248
620420,STAR,-4.710192e-05,64.97226,137.9098,-0.5897649,3.653133,24.36494,21.18584,19.61532,17.93032,17.03738
155896,QSO,0.937331,12.74468,13.54413,12.61497,12.26736,20.15818,20.06538,19.94809,19.97535,19.87617
839143,STAR,-6.631234e-05,295.8632,363.095,7.327429,60.85853,20.40309,17.98716,16.80444,16.31783,16.04263
1289411,GALAXY,0.3789684,17.00682,25.30923,0.183525,1.682128,23.86512,20.9137,19.1586,18.51915,18.16178
1178820,GALAXY,0.5915586,5.304778,8.094085,-0.1273389,0.3103528,24.51448,24.43008,21.86866,20.42676,20.11803
861320,STAR,-0.0002909409,235.2423,256.324,42.25065,103.9764,18.63983,17.38282,16.79449,16.5362,16.44035
1147824,GALAXY,0.2586139,7.202038,8.852006,2.482856,3.647386,23.68556,21.28666,20.76172,20.75561,21.42552
1162883,GALAXY,0.6306737,4.98124,8.479225,0.08754916,0.3285498,26.05566,21.64134,20.40519,19.23065,18.55426
830139,STAR,-1.026831e-05,345.3469,522.8504,6.886904,60.68511,21.24432,18.53209,17.07535,16.38506,15.90758
860121,STAR,-0.0001063911,70.1022,80.5162,9.075801,30.26506,20.14667,18.69204,18.12761,17.91589,17.83261
982197,STAR,0.0001186026,140.287,144.2913,40.94216,80.51828,18.65416,17.65173,17.29173,17.15621,17.0925
256222,QSO,1.254884,14.12428,13.64778,8.458123,9.298305,20.96306,20.92878,20.40418,20.29224,20.47944
1367156,GALAXY,0.4830724,14.96192,20.16276,0.3307447,1.427094,23.106,21.21757,19.59923,18.79806,18.37167
1296967,GALAXY,0.5213708,10.78592,16.91357,0.2601955,0.9717459,25.28177,22.50398,20.63508,19.58585,19.20526
1181861,GALAXY,0.240858,45.62557,63.07037,2.80406,7.963906,21.40617,19.33545,17.96661,17.44595,17.12967
1180307,GALAXY,0.1639738,78.04071,104.2316,5.629418,15.56183,20.4556,18.35197,17.1426,16.64408,16.26814
235657,QSO,2.430729,3.866964,5.166285,1.251734,2.485037,22.09033,21.23199,21.23229,21.12669,20.50161
553312,STAR,-3.288613e-05,78.78908,79.6932,25.32295,51.35873,18.98125,18.06197,17.81124,17.70233,17.72731
867345,STAR,0.0002942594,12.22112,21.20367,0.3939261,1.418288,25.77664,22.26883,20.74513,19.61857,19.11313
723056,STAR,-0.0006603423,7.319559,7.409345,1.713589,4.358202,21.86354,21.03912,20.55694,20.38152,20.25034
608223,STAR,-0.00058231,240.2551,228.5342,278.4247,327.5567,16.49582,15.58983,15.32969,15.24155,15.23124
27353,QSO,1.637016,8.538235,9.713861,2.559695,4.136921,20.92204,20.64278,20.37375,20.00742,19.95854
876496,STAR,-1.413979e-05,442.6988,514.578,32.65117,152.4337,19.21238,17.04325,16.18754,15.85179,15.68239
438330,QSO,1.111975,3.076958,3.569252,0.8996738,1.53984,21.28777,21.40308,20.98621,21.19198,20.61781
1022440,GALAXY,0.537587,7.114276,11.05898,0.2581628,0.5146168,24.97723,22.76322,20.93049,19.91002,19.17615
308924,QSO,1.403756,3.458412,3.463034,2.092587,2.40266,21.52555,21.31674,21.17746,21.15417,21.04623
834281,STAR,0.0001306946,264.3931,261.279,47.36502,160.3303,17.68031,16.72068,16.3656,16.26334,16.25021
1127351,GALAXY,0.1663234,50.08039,67.12794,3.426991,9.20093,20.99941,18.30328,17.0713,16.5473,16.14237
1416935,GALAXY,0.2957316,29.15319,44.33418,0.8189455,3.382013,21.41547,19.953,18.45662,17.83292,17.36027
180265,QSO,2.244031,2.994571,3.814731,1.485218,2.845334,21.80986,21.14452,21.11261,21.05503,20.86251
54145,QSO,0.2910577,50.31784,76.69324,20.1775,23.18888,19.456,19.27195,18.52835,18.18693,17.61683
1371783,GALAXY,0.8662063,3.188197,3.868144,1.004051,1.362248,22.86864,22.25533,21.97684,21.19475,21.10341
95038,QSO,0.9957649,31.96397,33.40726,22.7145,24.57378,19.65372,19.47158,19.22971,19.16628,19.13047
1493479,GALAXY,0.3095624,20.59586,29.40341,0.2608991,2.191926,21.53292,20.62953,18.9511,18.32117,17.85079
618158,STAR,-4.491864e-05,117.0543,128.9192,12.99891,46.72763,19.92072,18.20289,17.47041,17.19175,17.04489
1318678,GALAXY,0.5736609,3.630998,6.133624,-0.3562248,0.1866386,24.01254,23.73187,21.95206,20.84476,20.05566
622508,STAR,-0.0002669758,6.485754,13.74898,0.01024782,0.4862096,24.42832,23.18394,21.64549,20.4958,19.84434
1268701,GALAXY,0.6253145,5.964332,9.918662,-0.08449008,0.2796045,22.05761,21.78013,20.1363,18.76248,18.51736
1289252,GALAXY,0.7520627,3.035817,4.651139,0.8153098,1.007587,23.24031,21.91882,21.50291,21.02201,20.70768
994911,STAR,8.361398e-06,1.728841,9.202183,0.2040344,0.03366037,24.19714,24.60819,23.91512,21.88062,20.02391
288958,QSO,1.427842,15.25985,15.1079,14.30555,11.35218,20.44977,20.35653,19.95812,19.85493,19.75257
224016,QSO,1.763799,3.307131,3.757347,1.174064,1.780963,21.84749,21.36477,21.24642,20.95484,20.83424
244124,QSO,1.949019,2.347118,2.745295,3.113285,2.127551,21.25484,21.22158,21.10236,21.03504,21.07744
1132233,GALAXY,0.6434391,6.911889,10.33796,-0.1417206,0.3156633,23.66714,22.35165,20.70233,19.73979,19.45276
310976,QSO,1.554175,11.73725,13.53078,7.83712,8.056161,20.13748,19.84851,19.83467,19.64543,19.68851
722706,STAR,-0.0001136875,8.027938,8.659504,2.892243,5.358388,21.38847,20.64082,20.26422,20.10602,20.16582
19087,QSO,1.148456,10.8411,9.394398,4.85433,7.233093,19.90985,20.21218,19.81015,19.85228,20.19436
1038172,GALAXY,0.07117222,133.0144,166.5936,10.9697,40.89271,18.89425,16.9895,16.13944,15.76594,15.46691
864725,STAR,-0.0007738537,32.92227,34.93148,10.61843,21.22181,20.00933,19.11863,18.8361,18.73267,18.69071
246651,QSO,3.149594,17.03955,17.08136,2.496736,10.23545,21.46777,19.41168,19.09372,19.04365,19.11171
1424842,GALAXY,0.04594486,206.7262,261.474,23.9011,65.71188,17.45934,15.95654,15.23535,14.84612,14.52647
843326,STAR,-0.0005019729,106.3809,103.7675,31.75144,62.68452,19.09076,17.99671,17.50629,17.32089,17.23001
365888,QSO,1.177497,18.65768,19.07635,10.10268,11.37298,19.92357,19.73806,19.3815,19.36294,19.31818
1028505,GALAXY,0.01809234,31.67958,35.59446,11.46095,17.19658,18.39334,17.31454,16.87754,16.67648,16.58731
179852,QSO,1.361174,1.306589,1.181503,0.7852363,0.7004824,21.9006,21.80084,21.41051,21.42091,21.64498
910076,STAR,-0.000585112,6.300887,5.262108,4.564729,7.266875,21.34636,20.53296,20.40285,20.38128,20.44503
753411,STAR,0.0001650763,46.09108,50.3321,8.338923,22.41722,20.2908,18.97067,18.46105,18.22536,18.12295
1374585,GALAXY,0.36295,21.64716,30.59254,0.609089,2.666784,23.42873,20.79916,19.18675,18.57267,18.19961
997558,GALAXY,0.2543243,45.70965,60.97498,2.780677,6.360763,21.41244,19.34747,17.79595,17.24924,16.87877
511253,STAR,0.0006576073,23.33243,21.174,11.68311,17.88606,20.19181,19.21848,18.96067,18.8015,18.78147
563141,STAR,-0.0001778922,19.64152,22.16914,0.8038558,5.365103,23.21782,20.51027,19.50799,19.14932,18.8455
1373948,GALAXY,0.1307814,93.54957,125.3463,7.264973,22.60719,19.69853,17.76293,16.71098,16.27706,15.92376
928118,STAR,4.030429e-05,44.34938,46.60827,16.10807,29.54898,19.77183,18.86733,18.55686,18.44945,18.40959
101679,QSO,0.2086825,18.73581,15.04554,10.1159,9.125067,20.36914,19.95541,19.6142,19.34243,19.38015
1050896,GALAXY,0.04167697,592.5275,761.7463,84.62528,197.9081,16.11429,14.27801,13.51987,13.11476,12.85465
600214,STAR,0.0002238707,11.67171,12.00431,3.405456,7.861655,21.53116,20.12583,19.80421,19.65993,19.54229
527843,STAR,0.0001884977,143.8625,146.3437,52.21283,88.83576,18.5365,17.55069,17.2107,17.07728,17.05592
1252197,GALAXY,0.5412004,8.867725,13.57544,0.6798848,1.294165,21.77509,21.34493,20.15171,19.3842,19.01925
284686,QSO,1.382143,0.862836,0.799395,2.140734,0.8900889,22.52285,22.85826,21.93858,22.31643,21.88437
1085766,GALAXY,0.4635889,7.181136,10.63871,0.1478187,0.8383523,24.62697,22.29562,20.79443,20.02895,19.59206
503865,STAR,0.0002225675,21.39266,40.32438,0.4003477,1.491201,24.76386,22.00066,20.0609,19.15208,18.51371
59507,QSO,1.321983,24.84724,27.10984,13.52927,13.3199,19.07327,19.30184,18.95853,18.81785,18.79343
888431,STAR,-0.0004662591,154.6382,170.6922,21.23496,64.42358,19.47226,17.92697,17.25574,16.97705,16.86591
447058,QSO,0.7534032,7.33627,9.734466,2.291868,4.377034,21.37487,20.83643,20.53182,20.36392,20.36191
192575,QSO,0.8311393,2.763466,3.979939,1.014766,2.199971,23.39812,22.24398,22.04487,21.78235,21.10975
1247379,GALAXY,0.500927,8.01279,13.23768,-0.06455413,0.5096452,22.94239,22.38156,20.45883,19.51056,18.98171
521772,STAR,0.0001870817,21.98936,28.59816,0.4898873,4.337028,22.40975,20.73227,19.57086,19.0496,18.75463
494375,QSO,1.22552,1.968889,2.868364,1.294248,1.236147,22.90355,22.72627,22.19582,22.10285,21.62347
1224119,GALAXY,0.6564205,3.1527,5.099933,-0.1408447,0.1081451,24.6525,23.26348,21.7023,20.52325,19.65457
1249713,GALAXY,0.07898957,98.12598,115.9148,15.44314,35.76681,19.33168,18.05315,17.36201,16.99294,16.74348
115527,QSO,2.619797,2.421756,3.389028,1.133733,1.822037,22.37873,21.97151,21.73482,21.52118,20.85061
920451,STAR,2.619488e-05,23.00074,36.6428,-0.2519697,1.636476,23.11345,21.26553,19.8907,18.93266,18.4886
380369,QSO,1.691176,19.9639,20.51021,13.95657,16.24631,19.72364,19.52572,19.47712,19.136,19.14976
633547,STAR,-0.0006002379,66.44913,67.52667,34.89352,49.57861,19.18074,18.18432,17.97186,17.83791,17.82918
696934,STAR,-0.0001561681,630.3429,645.9639,167.7708,378.3137,17.20828,16.0344,15.64548,15.48893,15.46743
1084373,GALAXY,0.1211673,103.6357,136.9533,12.77794,26.04277,19.22857,17.56578,16.69599,16.24429,15.92924
1001368,GALAXY,0.4209834,5.604179,8.563554,0.3087585,0.7105497,21.7704,21.52926,20.05461,19.24684,18.71708
793005,STAR,-0.0003505619,49.11358,50.54097,10.69396,25.94102,20.15528,18.9135,18.43675,18.26188,18.21239
825611,STAR,-0.000237966,21.17064,32.49525,0.2061829,2.879889,25.45016,21.10289,19.87573,18.99922,18.45023
734017,STAR,-0.001023837,5.165968,5.533969,1.390344,3.089801,21.69441,21.07713,20.71766,20.61213,20.77257
1122603,GALAXY,0.1243871,113.0676,141.3582,10.70246,37.55607,19.36618,17.63346,16.77793,16.43482,16.15198
458492,QSO,2.436557,6.152148,7.724461,4.809771,7.567724,21.30636,20.40682,20.5926,20.69703,20.47689
950125,STAR,-2.419618e-05,21.26004,21.68824,8.537953,14.03032,20.76312,19.64916,19.30165,19.1851,19.08647
449670,QSO,0.8062701,3.061142,4.213917,1.683401,2.318356,22.0018,21.33753,21.31723,21.22876,20.92219
581630,STAR,7.447859e-05,633.6842,751.0699,31.90973,185.3877,18.91228,16.70652,15.79043,15.44197,15.25034
1370674,GALAXY,0.05008952,11.28786,12.5792,2.049111,5.345591,19.56349,18.29933,17.7717,17.51741,17.40355
1021364,GALAXY,0.005732589,10.65497,10.25078,6.81734,8.724094,18.99467,17.96449,17.70204,17.49004,17.55387
932592,STAR,-0.0005141294,12.89248,13.76674,4.917663,8.920465,21.01774,20.06699,19.79486,19.69129,19.51729
1397094,GALAXY,0.07503846,103.9384,132.4326,8.244293,30.32928,19.80979,17.98716,17.13829,16.72795,16.44558
985334,STAR,-0.0003094158,4.261497,4.089022,1.866161,3.423113,22.7406,21.15793,21.02679,20.99617,21.19484
450874,QSO,2.178373,7.135804,10.1333,5.346447,5.712468,20.43763,20.02695,19.95031,19.94417,19.68783
274171,QSO,1.98242,9.299009,10.34889,9.460101,7.535111,20.84539,20.48453,20.27854,20.11233,19.89456
176220,QSO,2.652271,6.60999,7.432888,3.672294,5.453732,21.01902,20.55307,20.51064,20.47495,20.49932
570519,STAR,-0.001054308,11.29878,13.17274,2.065236,5.277689,21.79015,20.65721,20.11588,19.9658,19.82033
1179487,GALAXY,0.1694413,31.50269,34.77193,7.624806,15.51855,19.30989,18.51134,18.04481,17.74455,17.61684
1310701,GALAXY,0.09302474,41.93533,45.4057,9.191254,22.28794,19.20616,18.21757,17.81552,17.53234,17.42511
1271415,GALAXY,0.07175512,83.69798,114.8087,6.149189,22.90696,20.03754,18.17801,17.31028,16.91582,16.63357
975750,STAR,-0.000241663,26.24212,52.88921,0.3873624,1.971161,23.5894,21.82164,20.23324,18.75117,17.96376
775964,STAR,0.0001014927,427.5765,460.608,67.40012,199.3069,18.20004,16.69423,16.15748,15.96701,15.8749
793530,STAR,-0.000512601,15.20144,17.29396,3.558093,8.195919,21.66233,20.32368,19.80447,19.61743,19.60839
160954,QSO,2.767478,9.436822,8.920962,8.994946,11.28351,20.44298,19.695,19.44882,19.34469,19.3064
747769,STAR,-0.0002773908,113.9214,115.0024,56.2047,103.0716,18.48677,17.39174,17.3673,17.39309,17.46328
1210867,GALAXY,0.5028741,8.51607,11.92373,0.437254,1.258597,24.91387,21.64668,20.21868,19.3733,18.89997
1067175,GALAXY,0.07611337,79.29262,113.6543,5.8818,17.41744,19.51127,17.52912,16.549,16.01143,15.56044
306897,QSO,2.61552,5.790489,6.978942,2.923554,4.141231,21.32892,20.78707,20.66769,20.55779,20.30697
759140,STAR,0.0001113522,31.54287,53.39632,0.2265109,2.479711,23.04203,21.22205,19.78892,18.58089,17.9515
548699,STAR,-0.0001701364,21.59911,20.95541,12.98462,20.75779,20.41441,19.19946,19.09339,19.11535,19.09165
958148,STAR,-0.001071615,3.075507,2.668906,1.017245,2.710391,22.17187,21.25388,21.17593,21.16723,20.89114
1227583,GALAXY,0.3869993,23.9978,33.47516,0.8879806,2.761621,23.22443,21.15442,19.3979,18.74591,18.33076
354547,QSO,1.100215,14.10921,14.33975,11.47299,11.88099,19.87197,19.73813,19.53679,19.50696,19.56095
978823,STAR,-3.058656e-05,106.3668,157.395,5.862834,20.1322,21.13023,19.21418,18.70385,18.71144,18.33982
91789,QSO,2.592084,1.206243,1.096889,0.4036265,0.731073,22.8841,22.55486,22.21233,22.41092,21.53938
1404475,GALAXY,0.04988518,333.7104,423.606,40.75521,105.3968,17.44249,15.83275,15.04234,14.63238,14.29509
511675,STAR,0.0002907701,13.67013,13.43777,0.3995711,5.34685,23.96131,20.35889,19.45561,19.17285,19.0243
90003,QSO,0.8584078,4.046061,5.584958,1.034721,1.785858,23.20958,22.26177,21.71193,21.14163,20.71114
841547,STAR,-0.0001756686,10.13982,19.77206,0.27139,0.5529797,22.22285,21.59879,20.36065,19.16638,18.60067
269273,QSO,1.043643,21.63632,20.43315,15.86332,16.09111,19.4752,19.29043,18.95614,18.95964,19.02213
1270480,GALAXY,0.1628206,70.6119,90.98183,11.59137,18.2198,19.24559,18.3899,17.55017,17.0701,16.77065
872035,STAR,-0.0002119759,139.2489,181.2858,3.469635,23.52341,21.58466,19.02987,17.75655,17.15812,16.79281
1390722,GALAXY,0.2028304,70.18172,94.18802,3.419291,11.44361,21.05033,18.7458,17.36926,16.85693,16.47027
1041905,GALAXY,0.1243066,73.7272,98.09458,8.074166,18.212,20.18087,18.37786,17.45568,16.97522,16.57459
1415328,GALAXY,0.0555402,197.4951,252.203,17.66555,59.9431,18.64644,16.72022,15.87043,15.4557,15.16515
982382,STAR,-7.803989e-05,41.5862,44.35182,13.94338,25.43245,19.79111,18.97947,18.65692,18.55365,18.51211
1202519,GALAXY,0.2695873,0.9727272,1.073677,0.1349355,0.3966884,22.32362,21.51523,20.73514,20.97424,20.42069
636982,STAR,-7.822158e-05,161.9674,172.3591,56.77416,106.5111,18.34608,17.47541,17.1452,16.98539,16.96752
1380818,GALAXY,0.1146309,34.5573,45.47446,3.943708,9.717377,19.81773,18.47525,17.76993,17.35006,17.07069
1239748,GALAXY,0.4750195,8.585265,12.83233,-0.003085169,0.7559318,26.3755,22.03059,20.56584,19.74974,19.40443
1278668,GALAXY,0.3297617,28.24911,38.04418,0.02040637,2.367688,24.74057,20.04332,18.28616,17.63623,17.24836
488153,QSO,2.317362,5.532804,6.918224,2.748435,4.96364,22.08732,21.19445,21.18255,21.16989,21.01708
1185498,GALAXY,0.2178052,47.19538,72.91859,1.267869,5.995089,22.07771,19.73848,18.21652,17.64239,17.24173
562031,STAR,9.931328e-05,727.5878,806.3993,23.29243,251.0993,18.86228,16.8348,16.05121,15.7471,15.57684
858976,STAR,-0.0006145384,4.936118,6.162315,0.03095048,1.476235,25.49354,21.91744,21.10539,20.95684,20.84472
867982,STAR,-0.0003811481,1.137716,3.850994,-0.02107768,0.2006578,25.11291,23.66877,21.94538,20.60778,19.36931
942290,STAR,1.461955e-05,9.287372,8.69701,4.416348,7.432315,20.71766,20.26586,20.19587,20.19805,20.26492
993601,STAR,-7.242829e-05,5.401643,5.322556,2.985582,3.998521,21.41507,20.96514,20.78142,20.75516,20.83906
637911,STAR,0.0001336478,5.726836,10.93906,-0.01095452,0.4953386,24.34589,22.07281,20.55009,19.41214,18.89054
320769,QSO,1.450683,4.538114,3.804375,2.667395,3.70138,21.5699,21.39805,21.18889,21.03606,21.06098
658365,STAR,8.929674e-05,57.417,68.49857,2.449619,14.33704,22.18022,19.86981,18.71173,18.29351,18.10805
1072992,GALAXY,0.3521633,23.16701,34.79707,0.7201804,2.431968,23.16434,20.79329,19.00815,18.41005,18.03859
401215,QSO,1.071203,3.328019,4.237597,2.532188,2.541601,21.66515,21.523,21.16644,21.28063,21.18522
1024475,GALAXY,0.3240064,2.994318,4.532899,0.5750006,0.8302645,24.14404,22.35101,21.3044,20.75759,20.48189
177374,QSO,1.912955,36.38617,40.43331,16.25061,16.29177,19.76218,19.55743,19.15078,18.77424,18.66474
3091,QSO,1.757195,11.53084,11.26577,7.693099,8.364705,20.6678,20.54289,20.41439,19.96876,19.9083
1246930,GALAXY,0.1327568,85.96544,112.5756,6.228191,20.72629,19.83587,17.80652,16.77966,16.32812,15.99929
1187005,GALAXY,0.4187813,7.775761,12.37702,0.03547103,0.6113292,23.41189,22.5812,20.60915,19.70384,19.35533
84822,QSO,3.098717,8.57571,9.701899,1.595653,5.640806,23.39292,20.98046,20.53599,20.59068,20.38133
727213,STAR,-0.0007447691,24.19441,23.98957,9.04899,16.27077,20.24905,19.37094,19.11625,19.02913,18.94547
446412,QSO,2.076165,2.403477,3.418619,2.24323,2.029949,22.33975,21.76606,21.95019,21.6718,21.34116
1255530,GALAXY,0.3069824,24.50394,35.95182,0.3715163,2.071018,22.57994,20.69446,18.9488,18.35863,17.96527
1264122,GALAXY,0.3320382,22.67725,33.60122,0.5703019,2.607064,22.89398,20.67304,19.03227,18.34665,17.98425
1322702,GALAXY,0.6709697,5.204732,7.925579,0.3020228,0.6345809,23.69203,23.28033,21.12444,19.72507,19.11222
307120,QSO,0.4844079,9.331881,12.78335,3.143675,3.625138,21.48789,20.7654,19.98252,19.31836,19.00199
513310,STAR,-3.966779e-05,19.6458,21.32687,2.784899,9.107061,21.31232,20.11499,19.50941,19.31829,19.18946
1403304,GALAXY,0.02371619,43.0657,49.45449,8.765466,18.25721,19.11877,17.72956,17.0977,16.82168,16.63834
46653,QSO,2.166435,2.652957,3.435545,2.30456,2.41469,22.49098,21.90645,21.80529,21.92863,21.1447
704419,STAR,-9.588563e-06,21397.19,23402.55,375.3837,5510.111,15.2338,13.10752,12.29217,11.99774,12.96411
922913,STAR,1.081716e-05,1024.568,1311.957,56.08774,335.5504,17.63577,16.09296,15.29626,14.91347,14.71249
287172,QSO,2.894236,3.721614,3.618611,1.160271,2.500229,24.03894,21.16998,20.97692,20.94892,21.23166
565685,STAR,-1.409635e-05,26.05904,18.73901,57.80146,52.2837,17.96365,18.24628,18.6814,19.02371,19.34525
351957,QSO,1.303606,4.279274,4.018807,3.471023,3.340584,21.8754,21.22987,20.88874,20.91467,20.61312
851924,STAR,3.945479e-05,98.58882,191.5746,1.82059,7.787344,23.19617,20.38086,18.91971,17.53317,16.73068
474638,QSO,1.0679,2.387973,2.675334,1.278163,1.503866,22.57894,22.24937,22.03409,21.87611,21.47808
1006273,GALAXY,0.2164634,45.40784,65.36948,2.125335,6.37975,20.14348,18.38614,17.06849,16.49769,16.1376
307659,QSO,0.7403435,3.37325,4.209803,1.924741,2.696538,21.81466,21.48945,21.32397,21.02423,21.02636
